date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15,3,0,3,3,0
2020-03-16,3,0,0,3,0
2020-03-17,3,0,0,3,0
2020-03-18,3,0,0,3,0
2020-03-19,3,0,0,0,0
2020-03-20,3,0,0,0,0
2020-03-21,3,0,0,0,0
2020-03-22,3,0,0,0,0
2020-03-23,3,0,0,0,0
2020-03-24,5,0,2,2,0
2020-03-25,5,0,0,2,0
2020-03-26,5,0,0,2,0
2020-03-27,5,0,0,2,0
2020-03-28,8,0,3,5,0
2020-03-29,9,0,1,6,0
2020-03-30,10,0,1,7,0
2020-03-31,10,0,0,7,0
2020-04-01,11,0,1,8,0
2020-04-02,15,0,4,12,0
2020-04-03,18,0,3,15,0
2020-04-04,18,0,0,13,0
2020-04-05,18,0,0,13,0
2020-04-06,26,0,8,21,0
2020-04-07,26,0,0,21,0
2020-04-08,44,0,18,39,0
2020-04-09,48,0,4,43,0
2020-04-10,55,0,7,46,0
2020-04-11,58,0,3,48,0
2020-04-12,63,0,5,53,0
2020-04-13,69,0,6,59,0
2020-04-14,74,0,5,62,0
2020-04-15,85,0,11,70,0
2020-04-16,96,0,11,74,0
2020-04-17,108,0,12,79,0
2020-04-18,129,0,21,91,0
2020-04-19,149,1,20,101,1
2020-04-20,169,1,20,109,0
2020-04-21,189,2,20,129,1
2020-04-22,213,2,24,151,0
2020-04-23,238,2,25,176,0
2020-04-24,263,2,25,201,0
2020-04-25,284,2,21,220,0
2020-04-26,306,2,22,242,0
2020-04-27,330,2,24,265,0
2020-04-28,356,4,26,291,2
2020-04-29,384,2,28,317,-2
2020-04-30,415,2,31,331,0
2020-05-01,446,2,31,357,0
2020-05-02,481,2,35,392,0
2020-05-03,520,2,39,414,0
2020-05-04,563,2,43,454,0
2020-05-05,610,2,47,498,0
2020-05-06,656,2,46,508,0
2020-05-07,703,2,47,555,0
2020-05-08,752,2,49,566,0
2020-05-09,801,2,49,615,0
2020-05-10,849,3,48,663,1
2020-05-11,897,3,48,704,0
2020-05-12,944,3,47,750,0
2020-05-13,990,3,46,783,0
2020-05-14,1036,3,46,802,0
2020-05-15,1083,3,47,825,0
2020-05-16,1133,3,50,846,0
2020-05-17,1186,4,53,877,1
2020-05-18,1240,4,54,930,0
2020-05-19,1298,4,58,980,0
2020-05-20,1377,4,79,1036,0
2020-05-21,1439,4,62,1057,0
2020-05-22,1503,4,64,1060,0
2020-05-23,1568,4,65,1105,0
2020-05-24,1633,5,65,1099,1
2020-05-25,1696,5,63,1157,0
2020-05-26,1764,5,68,1218,0
2020-05-27,1836,5,72,1248,0
2020-05-28,1906,5,70,1265,0
2020-05-29,1976,5,70,1302,0
2020-05-30,2048,5,72,1333,0
2020-05-31,2123,6,75,1405,1
2020-06-01,2194,6,71,1470,0
2020-06-02,2261,6,67,1519,0
2020-06-03,2326,7,65,1537,1
2020-06-04,2388,8,62,1553,1
2020-06-05,2452,8,64,1560,0
2020-06-06,2516,8,64,1578,0
2020-06-07,2577,8,61,1583,0
2020-06-08,2637,8,60,1619,0
2020-06-09,2697,8,60,1671,0
2020-06-10,2758,8,61,1666,0
2020-06-11,2817,8,59,1657,0
2020-06-12,2878,9,61,1668,1
2020-06-13,2937,9,59,1667,0
2020-06-14,2995,9,58,1717,0
2020-06-15,3053,10,58,1762,1
2020-06-16,3113,10,60,1794,0
2020-06-17,3171,11,58,1734,1
2020-06-18,3228,11,57,1757,0
2020-06-19,3285,11,57,1758,0
2020-06-20,3337,11,52,1701,0
2020-06-21,3388,12,51,1691,1
2020-06-22,3438,12,50,1723,0
2020-06-23,3487,12,49,1514,0
2020-06-24,3536,13,49,1445,1
2020-06-25,3583,13,47,1397,0
2020-06-26,3623,14,40,1406,1
2020-06-27,3663,14,40,1415,0
2020-06-28,3702,15,39,1403,1
2020-06-29,3741,16,39,1421,1
2020-06-30,3779,16,38,1421,0
2020-07-01,3816,16,37,1407,0
2020-07-02,3852,17,36,1438,1
2020-07-03,3888,17,36,1415,0
2020-07-04,3923,18,35,1362,1
2020-07-05,3958,18,35,1397,0
2020-07-06,3992,18,34,1431,0
2020-07-07,4026,18,34,1350,0
