date,total_cases,cured,total_deaths
2020-03-15,1,0,0
2020-03-16,1,0,0
2020-03-17,1,0,0
2020-03-18,1,0,0
2020-03-19,1,0,0
2020-03-20,1,0,0
2020-03-21,1,0,0
2020-03-22,1,0,0
2020-03-23,1,0,0
2020-03-24,1,0,0
2020-03-25,1,0,0
2020-03-26,1,0,0
2020-03-27,1,0,0
2020-03-28,1,0,0
2020-03-29,2,0,0
2020-03-30,5,0,0
2020-03-31,5,1,0
2020-04-01,5,1,0
2020-04-02,6,1,0
2020-04-03,6,1,0
2020-04-04,7,1,0
2020-04-05,7,1,0
2020-04-06,11,1,0
2020-04-07,14,1,0
2020-04-08,18,1,0
2020-04-09,18,1,0
2020-04-10,26,1,0
2020-04-11,26,2,0
2020-04-12,31,3,0
2020-04-13,31,3,1
2020-04-14,41,3,1
2020-04-15,45,3,1
2020-04-16,58,3,2
2020-04-17,70,9,2
2020-04-18,81,9,2
2020-04-19,90,11,2
2020-04-20,112,11,2
2020-04-21,122,11,2
2020-04-22,144,12,2
2020-04-23,176,13,2
2020-04-24,202,16,2
2020-04-25,221,28,2
2020-04-26,242,31,2
2020-04-27,269,31,2
2020-04-28,299,31,3
2020-04-29,327,38,3
2020-04-30,355,40,4
2020-05-01,383,47,5
2020-05-02,419,47,5
2020-05-03,454,59,5
2020-05-04,485,66,5
2020-05-05,524,71,5
2020-05-06,540,71,5
2020-05-07,574,91,6
2020-05-08,613,118,6
2020-05-09,659,183,6
2020-05-10,707,208,6
2020-05-11,798,208,6
2020-05-12,852,208,8
2020-05-13,942,228,8
2020-05-14,994,269,8
2020-05-15,1073,299,9
2020-05-16,1149,347,9
2020-05-17,1222,361,9
2020-05-18,1292,367,9
2020-05-19,1361,395,11
2020-05-20,1428,443,12
2020-05-21,1499,464,12
2020-05-22,1581,520,12
2020-05-23,1654,583,12
2020-05-24,1736,588,13
2020-05-25,1825,602,15
2020-05-26,1901,658,15
2020-05-27,1980,716,15
2020-05-28,2059,771,15
2020-05-29,2140,805,18
2020-05-30,2223,876,18
2020-05-31,2310,910,19
2020-06-01,2392,915,19
2020-06-02,2471,999,20
2020-06-03,2548,1082,22
2020-06-04,2624,1151,22
2020-06-05,2695,1236,22
2020-06-06,2769,1326,25
2020-06-07,2840,1337,27
2020-06-08,2913,1356,27
2020-06-09,2988,1467,28
2020-06-10,3061,1608,32
2020-06-11,3137,1878,33
2020-06-12,3207,2035,33
2020-06-13,3284,2056,34
2020-06-14,3364,2083,36
2020-06-15,3442,2106,36
2020-06-16,3514,2264,36
2020-06-17,3592,2397,36
2020-06-18,3666,2504,38
2020-06-19,3747,2596,38
2020-06-20,3820,2678,38
2020-06-21,3896,2698,38
2020-06-22,3976,2711,39
