date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-17,1,0,1,1,0
2020-03-18,1,0,0,1,0
2020-03-19,1,0,0,1,0
2020-03-20,1,0,0,1,0
2020-03-21,1,0,0,1,0
2020-03-22,1,0,0,1,0
2020-03-23,1,0,0,1,0
2020-03-24,1,0,0,1,0
2020-03-25,1,0,0,1,0
2020-03-26,2,0,1,2,0
2020-03-27,2,0,0,2,0
2020-03-28,2,0,0,2,0
2020-03-29,2,0,0,2,0
2020-03-30,3,0,1,3,0
2020-03-31,3,0,0,3,0
2020-04-01,3,0,0,3,0
2020-04-02,3,0,0,3,0
2020-04-03,3,0,0,3,0
2020-04-04,3,0,0,2,0
2020-04-05,3,0,0,2,0
2020-04-06,5,0,2,4,0
2020-04-07,5,0,0,4,0
2020-04-08,6,0,1,5,0
2020-04-09,6,0,0,5,0
2020-04-10,9,0,3,6,0
2020-04-11,12,0,3,9,0
2020-04-12,12,0,0,9,0
2020-04-13,12,0,0,9,0
2020-04-14,20,0,8,17,0
2020-04-15,26,0,6,23,0
2020-04-16,27,0,1,24,0
2020-04-17,38,0,11,35,0
2020-04-18,46,0,8,43,0
2020-04-19,68,0,22,65,0
2020-04-20,76,0,8,73,0
2020-04-21,84,0,8,80,0
2020-04-22,87,0,3,83,0
2020-04-23,99,0,12,91,0
2020-04-24,102,1,3,92,1
2020-04-25,151,2,49,141,1
2020-04-26,176,2,25,161,0
2020-04-27,184,2,8,169,0
2020-04-28,206,7,22,189,5
2020-04-29,228,7,22,208,0
2020-04-30,232,7,4,212,0
2020-05-01,257,7,25,235,0
2020-05-02,266,7,9,244,0
2020-05-03,272,7,6,250,0
2020-05-04,302,7,30,277,0
2020-05-05,318,8,16,286,1
2020-05-06,340,8,22,305,0
2020-05-07,352,8,12,302,0
2020-05-08,367,8,15,317,0
2020-05-09,403,8,36,309,0
2020-05-10,425,8,22,329,0
2020-05-11,466,8,41,370,0
2020-05-12,503,8,37,401,0
2020-05-13,524,9,21,378,1
2020-05-14,532,9,8,378,0
2020-05-15,557,9,25,365,0
2020-05-16,595,10,38,367,1
2020-05-17,618,10,23,381,0
2020-05-18,642,10,24,393,0
2020-05-19,667,10,25,368,0
2020-05-20,695,10,28,366,0
2020-05-21,724,10,29,358,0
2020-05-22,747,10,23,353,0
