date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-04-01,3,0,3,3,0
2020-04-02,3,0,0,3,0
2020-04-03,4,0,1,4,0
2020-04-04,4,0,0,4,0
2020-04-05,4,0,0,4,0
2020-04-06,4,0,0,4,0
2020-04-07,4,0,0,4,0
2020-04-08,10,0,6,10,0
2020-04-09,20,0,10,17,0
2020-04-10,21,0,1,18,0
2020-04-11,42,0,21,39,0
2020-04-12,43,0,1,40,0
2020-04-13,58,0,15,55,0
2020-04-14,58,0,0,55,0
2020-04-15,89,0,31,86,0
2020-04-16,120,2,31,115,2
2020-04-17,145,2,25,137,0
2020-04-18,170,2,25,162,0
2020-04-19,196,2,26,188,0
2020-04-20,220,2,24,209,0
2020-04-21,242,3,22,231,1
2020-04-22,276,3,34,250,0
2020-04-23,308,3,32,281,0
2020-04-24,345,3,37,309,0
2020-04-25,389,4,44,351,1
2020-04-26,456,4,67,418,0
2020-04-27,525,4,69,479,0
2020-04-28,590,4,65,544,0
2020-04-29,658,4,68,592,0
2020-04-30,726,4,68,651,0
2020-05-01,792,4,66,698,0
2020-05-02,861,4,69,758,0
2020-05-03,928,4,67,802,0
2020-05-04,997,4,69,871,0
2020-05-05,1062,4,65,928,0
2020-05-06,1129,4,67,953,0
2020-05-07,1197,4,68,1002,0
2020-05-08,1268,6,71,1049,2
2020-05-09,1339,6,71,1066,0
2020-05-10,1410,6,71,1112,0
2020-05-11,1484,6,74,1183,0
2020-05-12,1554,6,70,1225,0
2020-05-13,1621,6,67,1252,0
2020-05-14,1697,6,76,1298,0
2020-05-15,1777,7,80,1341,1
2020-05-16,1855,7,78,1366,0
2020-05-17,1936,7,81,1400,0
2020-05-18,2015,7,79,1464,0
2020-05-19,2095,7,80,1489,0
2020-05-20,2177,7,82,1516,0
2020-05-21,2258,7,81,1520,0
2020-05-22,2339,8,81,1535,1
2020-05-23,2422,8,83,1548,0
2020-05-24,2507,8,85,1603,0
2020-05-25,2581,8,74,1662,0
2020-05-26,2648,9,67,1624,1
2020-05-27,2719,9,71,1521,0
2020-05-28,2787,10,68,1583,1
2020-05-29,2851,10,64,1600,0
2020-05-30,2922,10,71,1583,0
2020-05-31,3000,13,78,1612,3
2020-06-01,3063,13,63,1663,0
2020-06-02,3123,13,60,1671,0
2020-06-03,3199,13,76,1686,0
2020-06-04,3272,15,73,1676,2
2020-06-05,3357,15,85,1689,0
2020-06-06,3425,15,68,1650,0
2020-06-07,3501,16,76,1699,1
2020-06-08,3561,16,60,1758,0
2020-06-09,3619,17,58,1761,1
2020-06-10,3690,19,71,1739,2
2020-06-11,3769,19,79,1724,0
2020-06-12,3839,20,70,1736,1
2020-06-13,3922,20,83,1805,0
2020-06-14,3994,22,72,1842,2
2020-06-15,4058,22,64,1888,0
2020-06-16,4118,22,60,1841,0
2020-06-17,4181,23,63,1843,1
2020-06-18,4256,23,75,1911,0
2020-06-19,4333,25,77,1823,2
2020-06-20,4403,26,70,1838,1
2020-06-21,4482,26,79,1901,0
2020-06-22,4550,27,68,1963,1
2020-06-23,4607,28,57,1948,1
2020-06-24,4673,30,66,1956,2
2020-06-25,4747,30,74,2005,0
2020-06-26,4817,31,70,2039,1
2020-06-27,4882,32,65,2043,1
2020-06-28,4958,32,76,2108,0
