date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19,1,0,1,1,0
2020-03-20,1,0,0,1,0
2020-03-21,2,0,1,2,0
2020-03-22,2,0,0,2,0
2020-03-23,2,0,0,2,0
2020-03-24,2,0,0,2,0
2020-03-25,2,0,0,2,0
2020-03-26,4,0,2,4,0
2020-03-27,4,0,0,4,0
2020-03-28,4,0,0,4,0
2020-03-29,5,0,1,5,0
2020-03-30,5,0,0,5,0
2020-03-31,7,0,2,7,0
2020-04-01,8,0,1,8,0
2020-04-02,8,0,0,6,0
2020-04-03,16,0,8,14,0
2020-04-04,16,0,0,14,0
2020-04-05,19,0,3,17,0
2020-04-06,19,0,0,17,0
2020-04-07,38,0,19,36,0
2020-04-08,41,0,3,38,0
2020-04-09,41,0,0,38,0
2020-04-10,41,0,0,37,0
2020-04-11,41,0,0,36,0
2020-04-12,41,0,0,36,0
2020-04-13,41,0,0,36,0
2020-04-14,56,0,15,51,0
2020-04-15,71,0,15,62,0
2020-04-16,110,0,39,95,0
2020-04-17,128,0,18,113,0
2020-04-18,161,0,33,142,0
2020-04-19,175,0,14,155,0
2020-04-20,188,0,13,167,0
2020-04-21,197,1,9,168,1
2020-04-22,203,1,6,174,0
2020-04-23,215,1,12,179,0
2020-04-24,217,1,2,178,0
2020-04-25,233,1,16,189,0
2020-04-26,274,1,41,221,0
2020-04-27,297,2,23,242,1
2020-04-28,338,2,41,279,0
2020-04-29,366,2,28,299,0
2020-04-30,387,3,21,307,1
2020-05-01,405,3,18,325,0
2020-05-02,414,3,9,302,0
2020-05-03,449,3,35,331,0
2020-05-04,467,4,18,332,1
2020-05-05,508,4,41,358,0
2020-05-06,537,4,29,376,0
2020-05-07,551,4,14,373,0
2020-05-08,583,4,32,381,0
2020-05-09,626,4,43,407,0
2020-05-10,693,4,67,446,0
2020-05-11,777,4,84,525,0
2020-05-12,822,6,45,557,2
2020-05-13,865,6,43,574,0
2020-05-14,926,6,61,584,0
2020-05-15,965,8,39,609,2
2020-05-16,1048,8,83,688,0
2020-05-17,1166,9,118,777,1
2020-05-18,1252,9,86,856,0
2020-05-19,1308,11,56,855,2
2020-05-20,1371,12,63,893,1
2020-05-21,1430,12,59,928,0
2020-05-22,1510,13,80,990,1
2020-05-23,1568,15,58,1023,2
2020-05-24,1670,17,102,1091,2
2020-05-25,1755,17,85,1165,0
2020-05-26,1849,17,94,1214,0
2020-05-27,1924,17,75,1255,0
2020-05-28,2028,17,104,1312,0
2020-05-29,2133,17,105,1405,0
2020-05-30,2300,18,167,1548,1
2020-05-31,2436,18,136,1654,0
2020-06-01,2587,18,151,1778,0
2020-06-02,2736,18,149,1866,0
2020-06-03,2847,18,111,1911,0
2020-06-04,2987,18,140,2008,0
2020-06-05,3104,18,117,2060,0
2020-06-06,3231,20,127,2119,2
2020-06-07,3346,20,115,2220,0
2020-06-08,3475,21,129,2289,1
2020-06-09,3624,21,149,2420,0
2020-06-10,3821,23,197,2353,2
2020-06-11,4007,24,186,2448,1
2020-06-12,4157,24,150,2500,0
2020-06-13,4340,26,183,2536,2
2020-06-14,4569,27,229,2623,1
2020-06-15,4753,27,184,2677,0
2020-06-16,4973,29,220,2731,2
2020-06-17,5210,30,237,2748,1
