date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-29,1,0,1,1,0
2020-03-30,1,0,0,1,0
2020-03-31,1,0,0,1,0
2020-04-01,1,0,0,1,0
2020-04-02,1,0,0,1,0
2020-04-03,1,0,0,1,0
2020-04-04,4,0,3,4,0
2020-04-05,4,0,0,4,0
2020-04-06,4,0,0,4,0
2020-04-07,4,0,0,4,0
2020-04-08,4,0,0,4,0
2020-04-09,4,0,0,3,0
2020-04-10,4,0,0,3,0
2020-04-11,6,0,2,5,0
2020-04-12,6,0,0,5,0
2020-04-13,6,0,0,5,0
2020-04-14,6,0,0,5,0
2020-04-15,6,0,0,5,0
2020-04-16,9,0,3,5,0
2020-04-17,11,0,2,7,0
2020-04-18,14,0,3,10,0
2020-04-19,16,0,2,12,0
2020-04-20,20,0,4,16,0
2020-04-21,20,0,0,16,0
2020-04-22,23,0,3,19,0
2020-04-23,25,0,2,20,0
2020-04-24,28,0,3,23,0
2020-04-25,33,0,5,28,0
2020-04-26,36,0,3,31,0
2020-04-27,40,0,4,35,0
2020-04-28,41,0,1,31,0
2020-04-29,46,0,5,36,0
2020-04-30,56,1,10,46,1
2020-05-01,67,1,11,55,0
2020-05-02,72,1,5,59,0
2020-05-03,79,1,7,66,0
2020-05-04,84,1,5,70,0
2020-05-05,98,1,14,84,0
2020-05-06,106,1,8,90,0
2020-05-07,112,1,6,96,0
2020-05-08,123,1,11,103,0
2020-05-09,135,1,12,115,0
2020-05-10,140,1,5,116,0
2020-05-11,152,1,12,128,0
2020-05-12,169,1,17,139,0
2020-05-13,182,1,13,147,0
2020-05-14,194,1,12,153,0
2020-05-15,204,1,10,160,0
2020-05-16,212,1,8,163,0
2020-05-17,222,1,10,171,0
2020-05-18,238,1,16,184,0
2020-05-19,247,1,9,182,0
2020-05-20,277,1,30,206,0
2020-05-21,294,1,17,219,0
2020-05-22,317,1,23,233,0
2020-05-23,340,1,23,245,0
2020-05-24,355,5,15,260,4
2020-05-25,385,5,30,290,0
2020-05-26,401,5,16,288,0
2020-05-27,414,5,13,281,0
2020-05-28,433,5,19,294,0
2020-05-29,461,5,28,310,0
2020-05-30,486,5,25,325,0
2020-05-31,506,5,20,343,0
2020-06-01,528,5,22,361,0
2020-06-02,546,5,18,358,0
2020-06-03,566,5,20,368,0
2020-06-04,588,5,22,372,0
2020-06-05,615,5,27,387,0
2020-06-06,657,5,42,408,0
2020-06-07,702,5,45,450,0
2020-06-08,748,5,46,496,0
2020-06-09,796,5,48,535,0
2020-06-10,835,5,39,539,0
2020-06-11,873,5,38,548,0
2020-06-12,914,5,41,569,0
2020-06-13,973,5,59,623,0
2020-06-14,1018,6,45,659,1
2020-06-15,1062,6,44,691,0
2020-06-16,1100,6,38,691,0
2020-06-17,1138,7,38,689,1
2020-06-18,1181,7,43,701,0
2020-06-19,1230,7,49,739,0
2020-06-20,1283,7,53,768,0
2020-06-21,1340,7,57,820,0
2020-06-22,1399,7,59,859,0
2020-06-23,1444,7,45,869,0
2020-06-24,1490,7,46,893,0
2020-06-25,1528,9,38,919,2
2020-06-26,1572,9,44,905,0
2020-06-27,1610,9,38,920,0
2020-06-28,1651,9,41,949,0
2020-06-29,1682,9,31,978,0
2020-06-30,1707,11,25,921,2
