date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-24,1,0,1,1,0
2020-03-25,1,0,0,1,0
2020-03-26,1,0,0,1,0
2020-03-27,4,0,3,4,0
2020-03-28,4,0,0,4,0
2020-03-29,4,0,0,4,0
2020-03-30,4,0,0,4,0
2020-03-31,4,0,0,4,0
2020-04-01,8,0,4,8,0
2020-04-02,8,0,0,8,0
2020-04-03,8,0,0,8,0
2020-04-04,8,0,0,7,0
2020-04-05,8,0,0,7,0
2020-04-06,15,0,7,14,0
2020-04-07,26,0,11,25,0
2020-04-08,26,0,0,24,0
2020-04-09,26,0,0,24,0
2020-04-10,28,0,2,23,0
2020-04-11,33,0,5,28,0
2020-04-12,38,0,5,31,0
2020-04-13,44,0,6,37,0
2020-04-14,46,0,2,39,0
2020-04-15,47,0,1,40,0
2020-04-16,58,0,11,51,0
2020-04-17,62,0,4,55,0
2020-04-18,79,1,17,56,1
2020-04-19,93,1,14,70,0
2020-04-20,111,1,18,86,0
2020-04-21,134,1,23,109,0
2020-04-22,145,2,11,115,1
2020-04-23,165,2,20,134,0
2020-04-24,186,3,21,154,1
2020-04-25,212,5,26,178,2
2020-04-26,242,6,30,205,1
2020-04-27,272,8,30,235,2
2020-04-28,297,8,25,253,0
2020-04-29,313,8,16,267,0
2020-04-30,344,8,31,298,0
2020-05-01,386,8,42,320,0
2020-05-02,432,9,46,344,1
2020-05-03,474,10,42,386,1
2020-05-04,516,12,42,425,2
2020-05-05,578,12,62,469,0
2020-05-06,647,12,69,538,0
2020-05-07,711,12,64,517,0
2020-05-08,791,12,80,558,0
2020-05-09,893,12,102,606,0
2020-05-10,1012,12,119,718,0
2020-05-11,1061,12,49,747,0
2020-05-12,1135,12,74,819,0
2020-05-13,1259,13,124,930,1
2020-05-14,1355,13,96,970,0
2020-05-15,1445,13,90,1038,0
2020-05-16,1531,14,86,1069,1
2020-05-17,1596,14,65,1132,0
2020-05-18,1661,13,65,1197,-1
2020-05-19,1747,13,86,1228,0
2020-05-20,1831,13,84,1241,0
2020-05-21,1913,13,82,1287,0
2020-05-22,2002,13,89,1362,0
2020-05-23,2109,14,107,1418,1
2020-05-24,2207,15,98,1509,1
2020-05-25,2296,15,89,1595,0
2020-05-26,2384,16,88,1659,1
2020-05-27,2470,16,86,1689,0
2020-05-28,2581,16,111,1752,0
2020-05-29,2714,18,133,1802,2
2020-05-30,2868,18,154,1887,0
2020-05-31,3026,19,158,2003,1
2020-06-01,3215,20,189,2184,1
2020-06-02,3334,20,119,2237,0
2020-06-03,3432,20,98,2267,0
2020-06-04,3541,21,109,2306,1
2020-06-05,3669,21,128,2348,0
2020-06-06,3794,21,125,2394,0
2020-06-07,3913,23,119,2512,2
2020-06-08,4030,23,117,2602,0
2020-06-09,4122,24,92,2624,1
2020-06-10,4238,24,116,2687,0
2020-06-11,4346,25,108,2719,1
2020-06-12,4460,25,114,2728,0
2020-06-13,4569,27,109,2830,2
2020-06-14,4677,27,108,2937,0
2020-06-15,4783,29,106,3028,2
2020-06-16,4887,29,104,3028,0
2020-06-17,4991,31,104,3014,2
2020-06-18,5100,31,109,2972,0
2020-06-19,5207,32,107,3003,1
2020-06-20,5312,32,105,3023,0
2020-06-21,5410,33,98,3082,1
2020-06-22,5518,33,108,3173,0
2020-06-23,5622,34,104,3168,1
2020-06-24,5724,34,102,3112,0
2020-06-25,5825,35,101,3134,1
2020-06-26,5935,35,110,3169,0
2020-06-27,6037,36,102,3198,1
2020-06-28,6135,36,98,3279,0
2020-06-29,6232,37,97,3366,1
2020-06-30,6327,39,95,3422,2
2020-07-01,6419,39,92,3391,0
2020-07-02,6508,41,89,3451,2
2020-07-03,6597,41,89,3424,0
2020-07-04,6688,43,91,3393,2
2020-07-05,6783,43,95,3476,0
2020-07-06,6877,44,94,3548,1
2020-07-07,6969,45,92,3549,1
2020-07-08,7058,45,89,3494,0
2020-07-09,7146,45,88,3415,0
2020-07-10,7240,47,94,3403,2
2020-07-11,7332,47,92,3359,0
2020-07-12,7428,48,96,3449,1
2020-07-13,7516,48,88,3511,0
2020-07-14,7601,50,85,3482,2
2020-07-15,7694,50,93,3423,0
2020-07-16,7785,51,91,3382,1
2020-07-17,7879,52,94,3331,1
2020-07-18,7968,52,89,3376,0
2020-07-19,8056,53,88,3442,1
2020-07-20,8149,53,93,3526,0
2020-07-21,8244,54,95,3557,1
2020-07-22,8340,55,96,3548,1
2020-07-23,8431,55,91,3537,0
2020-07-24,8517,57,86,3554,2
2020-07-25,8602,57,85,3551,0
2020-07-26,8689,58,87,3635,1
2020-07-27,8778,59,89,3715,1
2020-07-28,8870,61,92,3660,2
2020-07-29,8958,61,88,3644,0
2020-07-30,9052,61,94,3604,0
2020-07-31,9142,62,90,3577,1
2020-08-01,9237,63,95,3592,1
2020-08-02,9328,64,91,3683,1
2020-08-03,9425,65,97,3780,1
2020-08-04,9517,65,92,3709,0
2020-08-05,9613,67,96,3714,2
2020-08-06,9711,68,98,3668,1
2020-08-07,9804,69,93,3621,1
2020-08-08,9892,70,88,3592,1
2020-08-09,9998,72,106,3673,2
2020-08-10,10095,72,97,3739,0
2020-08-11,10190,73,95,3699,1
2020-08-12,10281,75,91,3703,2
2020-08-13,10383,75,102,3714,0
2020-08-14,10480,77,97,3743,2
2020-08-15,10576,78,96,3742,1
2020-08-16,10668,79,92,3818,1
2020-08-17,10763,79,95,3901,0
2020-08-18,10852,80,89,3855,1
2020-08-19,10939,80,87,3788,0
2020-08-20,11023,82,84,3680,2
2020-08-21,11105,83,82,3643,1
2020-08-22,11190,84,85,3591,1
2020-08-23,11299,84,109,3691,0
2020-08-24,11411,85,112,3715,1
2020-08-25,11509,85,98,3672,0
2020-08-26,11617,87,108,3651,2
2020-08-27,11729,87,112,3474,0
2020-08-28,11836,90,107,3430,3
2020-08-29,11934,93,98,3399,3
2020-08-30,12030,97,96,3487,4
2020-08-31,12125,101,95,3528,4
2020-09-01,12216,104,91,3478,3
2020-09-02,12309,106,93,3424,2
2020-09-03,12407,108,98,3388,2
2020-09-04,12503,110,96,3188,2
2020-09-05,12607,112,104,3076,2
2020-09-06,12709,115,102,3097,3
2020-09-07,12806,117,97,3020,2
2020-09-08,12901,118,95,2505,1
2020-09-09,12993,120,92,1968,2
2020-09-10,13087,121,94,1806,1
2020-09-11,13183,122,96,1700,1
2020-09-12,13280,123,97,1628,1
2020-09-13,13375,125,95,1717,2
2020-09-14,13473,125,98,1804,0
2020-09-15,13570,126,97,1753,1
2020-09-16,13674,127,104,1709,1
2020-09-17,13772,128,98,1661,1
2020-09-18,13869,129,97,1635,1
2020-09-19,13965,130,96,1631,1
2020-09-20,14063,131,98,1700,1
2020-09-21,14158,131,95,1782,0
2020-09-22,14256,132,98,1747,1
2020-09-23,14360,134,104,1771,2
2020-09-24,14468,136,108,1867,2
2020-09-25,14577,138,109,1909,2
2020-09-26,14680,140,103,1881,2
2020-09-27,14786,141,106,1962,1
