date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-25,4,0,4,4,0
2020-03-26,6,0,2,6,0
2020-03-27,6,0,0,6,0
2020-03-28,6,0,0,6,0
2020-03-29,6,1,0,6,1
2020-03-30,9,1,3,9,0
2020-03-31,9,2,0,9,1
2020-04-01,9,2,0,9,0
2020-04-02,9,2,0,9,0
2020-04-03,9,2,0,9,0
2020-04-04,9,2,0,7,0
2020-04-05,9,2,0,6,0
2020-04-06,10,2,1,7,0
2020-04-07,14,2,4,11,0
2020-04-08,14,2,0,11,0
2020-04-09,16,2,2,11,0
2020-04-10,16,2,0,11,0
2020-04-11,16,2,0,10,0
2020-04-12,16,2,0,10,0
2020-04-13,21,2,5,15,0
2020-04-14,21,2,0,15,0
2020-04-15,27,4,6,19,2
2020-04-16,32,4,5,24,0
2020-04-17,37,4,5,29,0
2020-04-18,42,6,5,34,2
2020-04-19,44,6,2,36,0
2020-04-20,52,6,8,43,0
2020-04-21,58,6,6,49,0
2020-04-22,62,6,4,53,0
2020-04-23,66,6,4,57,0
2020-04-24,81,6,15,72,0
2020-04-25,93,6,12,84,0
2020-04-26,110,7,17,101,1
2020-04-27,124,8,14,111,1
2020-04-28,128,8,4,114,0
2020-04-29,142,8,14,128,0
2020-04-30,149,8,7,132,0
2020-05-01,153,8,4,136,0
2020-05-02,177,8,24,158,0
2020-05-03,195,8,18,176,0
2020-05-04,196,8,1,177,0
2020-05-05,214,8,18,190,0
2020-05-06,226,8,12,191,0
2020-05-07,243,8,17,202,0
2020-05-08,270,8,27,219,0
2020-05-09,277,8,7,218,0
2020-05-10,293,8,16,227,0
2020-05-11,308,8,15,241,0
2020-05-12,328,8,20,261,0
2020-05-13,339,8,11,243,0
2020-05-14,351,8,12,249,0
2020-05-15,367,8,16,255,0
2020-05-16,386,9,19,254,1
2020-05-17,405,9,19,273,0
2020-05-18,424,9,19,292,0
2020-05-19,451,9,27,309,0
2020-05-20,461,9,10,300,0
2020-05-21,494,9,33,322,0
2020-05-22,513,9,19,330,0
2020-05-23,543,9,30,342,0
2020-05-24,566,9,23,365,0
2020-05-25,592,10,26,384,1
2020-05-26,608,10,16,370,0
2020-05-27,629,10,21,361,0
2020-05-28,671,10,42,378,0
2020-05-29,723,10,52,417,0
2020-05-30,765,10,42,433,0
2020-05-31,824,10,59,484,0
2020-06-01,887,10,63,547,0
2020-06-02,910,10,23,551,0
2020-06-03,954,10,44,586,0
2020-06-04,1066,10,112,663,0
2020-06-05,1131,11,65,711,1
