date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-26,1,0,1,1,0
2020-03-27,1,0,0,1,0
2020-03-28,1,0,0,1,0
2020-03-29,1,0,0,1,0
2020-03-30,4,0,3,4,0
2020-03-31,4,0,0,4,0
2020-04-01,4,0,0,4,0
2020-04-02,5,0,1,5,0
2020-04-03,5,0,0,5,0
2020-04-04,7,0,2,7,0
2020-04-05,7,0,0,7,0
2020-04-06,13,0,6,13,0
2020-04-07,13,0,0,13,0
2020-04-08,13,0,0,13,0
2020-04-09,13,0,0,11,0
2020-04-10,20,0,7,18,0
2020-04-11,20,0,0,18,0
2020-04-12,20,0,0,15,0
2020-04-13,20,0,0,15,0
2020-04-14,27,0,7,21,0
2020-04-15,27,0,0,15,0
2020-04-16,43,1,16,28,1
2020-04-17,79,2,36,64,1
2020-04-18,84,2,5,69,0
2020-04-19,91,2,7,76,0
2020-04-20,100,2,9,84,0
2020-04-21,108,2,8,87,0
2020-04-22,113,3,5,87,1
2020-04-23,114,3,1,82,0
2020-04-24,117,3,3,85,0
2020-04-25,119,3,2,87,0
2020-04-26,134,3,15,102,0
2020-04-27,142,3,8,110,0
2020-04-28,150,3,8,118,0
2020-04-29,154,3,4,117,0
2020-04-30,163,3,9,115,0
2020-05-01,165,3,2,117,0
2020-05-02,168,5,3,119,2
2020-05-03,178,6,10,102,1
2020-05-04,185,6,7,87,0
2020-05-05,190,7,5,83,1
2020-05-06,202,7,12,95,0
2020-05-07,206,7,4,92,0
2020-05-08,212,7,6,98,0
2020-05-09,220,7,8,80,0
2020-05-10,224,7,4,51,0
2020-05-11,241,7,17,68,0
2020-05-12,252,7,11,68,0
2020-05-13,271,8,19,84,1
2020-05-14,276,8,5,69,0
2020-05-15,307,8,31,93,0
2020-05-16,347,8,40,125,0
2020-05-17,398,8,51,176,0
2020-05-18,430,8,32,190,0
2020-05-19,461,8,31,212,0
2020-05-20,525,8,64,262,0
2020-05-21,561,8,36,287,0
2020-05-22,591,8,30,301,0
2020-05-23,622,9,31,332,1
2020-05-24,671,9,49,376,0
2020-05-25,696,9,25,401,0
2020-05-26,721,9,25,421,0
2020-05-27,759,9,38,452,0
2020-05-28,783,9,24,461,0
2020-05-29,794,9,11,462,0
2020-05-30,813,9,19,459,0
2020-05-31,854,9,41,483,0
2020-06-01,874,9,20,480,0
2020-06-02,890,9,16,477,0
2020-06-03,904,9,14,439,0
2020-06-04,937,9,33,450,0
2020-06-05,962,9,25,443,0
2020-06-06,995,10,33,455,1
2020-06-07,1025,10,30,448,0
2020-06-08,1069,10,44,463,0
2020-06-09,1115,10,46,497,0
2020-06-10,1158,12,43,507,2
2020-06-11,1213,12,55,539,0
2020-06-12,1251,12,38,543,0
2020-06-13,1278,12,27,526,0
2020-06-14,1311,12,33,540,0
2020-06-15,1340,12,29,544,0
2020-06-16,1389,12,49,572,0
2020-06-17,1415,12,26,557,0
2020-06-18,1446,12,31,550,0
2020-06-19,1484,12,38,567,0
2020-06-20,1511,12,27,565,0
2020-06-21,1541,12,30,554,0
2020-06-22,1569,12,28,567,0
2020-06-23,1607,12,38,579,0
2020-06-24,1647,12,40,551,0
2020-06-25,1682,12,35,563,0
2020-06-26,1712,12,30,563,0
2020-06-27,1746,12,34,564,0
2020-06-28,1795,12,49,556,0
2020-06-29,1847,12,52,556,0
2020-06-30,1898,14,51,596,2
2020-07-01,1935,14,37,595,0
2020-07-02,1981,14,46,618,0
2020-07-03,2039,14,58,625,0
2020-07-04,2068,14,29,629,0
2020-07-05,2094,14,26,623,0
2020-07-06,2121,14,27,619,0
2020-07-07,2145,14,24,599,0
2020-07-08,2167,14,22,566,0
2020-07-09,2187,14,20,561,0
2020-07-10,2205,14,18,534,0
2020-07-11,2224,14,19,523,0
2020-07-12,2242,14,18,508,0
2020-07-13,2258,14,16,518,0
2020-07-14,2275,14,17,490,0
2020-07-15,2291,14,16,448,0
2020-07-16,2308,16,17,440,2
2020-07-17,2326,16,18,444,0
2020-07-18,2344,16,18,453,0
2020-07-19,2364,16,20,463,0
2020-07-20,2384,16,20,474,0
2020-07-21,2411,16,27,481,0
2020-07-22,2436,17,25,492,1
2020-07-23,2470,18,34,496,1
2020-07-24,2496,18,26,518,0
2020-07-25,2530,18,34,522,0
2020-07-26,2568,20,38,545,2
2020-07-27,2604,20,36,572,0
2020-07-28,2642,20,38,599,0
2020-07-29,2679,20,37,609,0
2020-07-30,2714,20,35,633,0
2020-07-31,2747,20,33,635,0
2020-08-01,2775,20,28,645,0
2020-08-02,2803,20,28,666,0
2020-08-03,2830,20,27,675,0
2020-08-04,2855,21,25,691,1
2020-08-05,2880,21,25,700,0
2020-08-06,2906,21,26,699,0
2020-08-07,2930,21,24,676,0
2020-08-08,2955,21,25,667,0
2020-08-09,2975,21,20,687,0
2020-08-10,2995,21,20,676,0
2020-08-11,3016,21,21,638,0
2020-08-12,3035,22,19,592,1
2020-08-13,3055,22,20,576,0
2020-08-14,3076,22,21,574,0
2020-08-15,3095,23,19,557,1
2020-08-16,3113,23,18,575,0
2020-08-17,3129,23,16,546,0
2020-08-18,3144,24,15,539,1
2020-08-19,3161,24,17,532,0
2020-08-20,3179,24,18,525,0
2020-08-21,3195,25,16,522,1
2020-08-22,3214,25,19,520,0
2020-08-23,3234,25,20,516,0
2020-08-24,3254,25,20,513,0
2020-08-25,3273,26,19,511,1
2020-08-26,3291,26,18,505,0
2020-08-27,3308,26,17,505,0
2020-08-28,3327,27,19,505,1
2020-08-29,3346,27,19,500,0
