date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-30,2,0,2,2,0
2020-03-31,2,0,0,2,0
2020-04-01,2,0,0,2,0
2020-04-02,4,0,2,4,0
2020-04-03,4,0,0,4,0
2020-04-04,4,0,0,4,0
2020-04-05,13,0,9,13,0
2020-04-06,13,0,0,13,0
2020-04-07,13,0,0,13,0
2020-04-08,40,0,27,40,0
2020-04-09,41,0,1,39,0
2020-04-10,63,1,22,61,1
2020-04-11,63,1,0,60,0
2020-04-12,70,1,7,65,0
2020-04-13,80,1,10,75,0
2020-04-14,91,1,11,86,0
2020-04-15,118,1,27,110,0
2020-04-16,147,1,29,139,0
2020-04-17,179,1,32,155,0
2020-04-18,219,1,40,195,0
2020-04-19,262,1,43,238,0
2020-04-20,291,1,29,267,0
2020-04-21,311,1,20,265,0
2020-04-22,333,1,22,287,0
2020-04-23,348,1,15,302,0
2020-04-24,377,1,29,331,0
2020-04-25,407,1,30,361,0
2020-04-26,431,3,24,385,2
2020-04-27,462,3,31,416,0
2020-04-28,500,3,38,419,0
2020-04-29,535,2,35,261,-1
2020-04-30,566,2,31,262,0
2020-05-01,597,3,31,265,1
2020-05-02,628,3,31,255,0
2020-05-03,668,4,40,271,1
2020-05-04,717,4,49,301,0
2020-05-05,750,4,33,306,0
2020-05-06,783,4,33,325,0
2020-05-07,814,4,31,306,0
2020-05-08,845,4,31,308,0
2020-05-09,882,5,37,293,1
2020-05-10,903,5,21,309,0
2020-05-11,928,5,25,305,0
2020-05-12,964,6,36,316,1
2020-05-13,996,7,32,300,1
2020-05-14,1033,7,37,275,0
2020-05-15,1078,7,45,269,0
2020-05-16,1130,7,52,270,0
2020-05-17,1184,7,54,323,0
2020-05-18,1235,7,51,371,0
2020-05-19,1285,8,50,375,1
2020-05-20,1322,8,37,363,0
2020-05-21,1360,8,38,371,0
2020-05-22,1397,8,37,374,0
2020-05-23,1438,8,41,369,0
2020-05-24,1479,9,41,403,1
2020-05-25,1518,10,39,439,1
2020-05-26,1559,10,41,404,0
2020-05-27,1602,10,43,385,0
2020-05-28,1643,10,41,365,0
2020-05-29,1689,11,46,363,1
2020-05-30,1733,13,44,375,2
2020-05-31,1774,13,41,404,0
2020-06-01,1815,13,41,436,0
2020-06-02,1854,13,39,409,0
2020-06-03,1894,13,40,381,0
2020-06-04,1933,13,39,351,0
2020-06-05,1975,14,42,342,1
2020-06-06,2019,15,44,320,1
2020-06-07,2061,15,42,343,0
2020-06-08,2104,16,43,377,1
2020-06-09,2151,16,47,330,0
2020-06-10,2193,16,42,276,0
2020-06-11,2236,16,43,275,0
2020-06-12,2283,17,47,257,1
2020-06-13,2331,18,48,244,1
2020-06-14,2375,18,44,275,0
2020-06-15,2419,19,44,296,1
2020-06-16,2462,19,43,264,0
2020-06-17,2510,19,48,255,0
2020-06-18,2557,19,47,187,0
2020-06-19,2602,19,45,166,0
2020-06-20,2642,20,40,99,1
2020-06-21,2679,20,37,124,0
2020-06-22,2710,20,31,152,0
2020-06-23,2745,20,35,78,0
2020-06-24,2783,21,38,25,1
2020-06-25,2819,21,36,8,0
2020-06-26,2849,22,30,38,1
2020-06-27,2880,22,31,69,0
2020-06-28,2905,23,25,90,1
2020-06-29,2930,23,25,112,0
2020-06-30,2959,23,29,135,0
2020-07-01,2990,23,31,160,0
2020-07-02,3020,23,30,185,0
2020-07-03,3045,23,25,203,0
2020-07-04,3073,24,28,225,1
2020-07-05,3100,24,27,247,0
2020-07-06,3128,24,28,271,0
2020-07-07,3157,24,29,293,0
2020-07-08,3184,24,27,314,0
2020-07-09,3213,24,29,337,0
2020-07-10,3241,26,28,358,2
2020-07-11,3268,26,27,377,0
2020-07-12,3296,26,28,404,0
2020-07-13,3325,26,29,431,0
2020-07-14,3353,29,28,449,3
2020-07-15,3380,30,27,455,1
2020-07-16,3409,31,29,479,1
2020-07-17,3436,31,27,496,0
2020-07-18,3464,31,28,516,0
2020-07-19,3493,31,29,545,0
2020-07-20,3520,31,27,572,0
2020-07-21,3548,31,28,572,0
2020-07-22,3574,31,26,565,0
2020-07-23,3601,31,27,560,0
2020-07-24,3627,31,26,551,0
2020-07-25,3652,31,25,552,0
2020-07-26,3675,31,23,575,0
2020-07-27,3697,31,22,596,0
2020-07-28,3716,31,19,578,0
2020-07-29,3734,33,18,558,2
2020-07-30,3752,33,18,553,0
2020-07-31,3770,34,18,557,1
2020-08-01,3786,34,16,535,0
2020-08-02,3800,34,14,549,0
2020-08-03,3815,34,15,564,0
