date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19,2,0,2,2,0
2020-03-20,2,0,0,2,0
2020-03-21,2,0,0,2,0
2020-03-22,2,0,0,2,0
2020-03-23,2,0,0,2,0
2020-03-24,6,0,4,6,0
2020-03-25,6,0,0,6,0
2020-03-26,6,0,0,6,0
2020-03-27,6,0,0,6,0
2020-03-28,6,0,0,6,0
2020-03-29,6,0,0,6,0
2020-03-30,6,0,0,6,0
2020-03-31,8,0,2,6,0
2020-04-01,12,0,4,10,0
2020-04-02,12,0,0,10,0
2020-04-03,12,0,0,10,0
2020-04-04,14,0,2,10,0
2020-04-05,14,0,0,10,0
2020-04-06,23,0,9,19,0
2020-04-07,23,0,0,14,0
2020-04-08,33,0,10,24,0
2020-04-09,33,0,0,24,0
2020-04-10,37,0,4,28,0
2020-04-11,37,0,0,27,0
2020-04-12,49,0,12,37,0
2020-04-13,60,0,11,48,0
2020-04-14,68,1,8,52,1
2020-04-15,75,1,7,56,0
2020-04-16,89,2,14,69,1
2020-04-17,108,2,19,84,0
2020-04-18,130,5,22,106,3
2020-04-19,156,5,26,128,0
2020-04-20,180,5,24,152,0
2020-04-21,211,6,31,181,1
2020-04-22,236,7,25,206,1
2020-04-23,261,7,25,231,0
2020-04-24,291,7,30,253,0
2020-04-25,313,8,22,275,1
2020-04-26,338,8,25,296,0
2020-04-27,358,8,20,301,0
2020-04-28,420,8,62,363,0
2020-04-29,459,8,39,402,0
2020-04-30,493,9,34,419,1
2020-05-01,529,9,36,455,0
2020-05-02,565,9,36,481,0
2020-05-03,602,9,37,489,0
2020-05-04,636,11,34,505,2
2020-05-05,667,12,31,527,1
2020-05-06,697,12,30,549,0
2020-05-07,731,12,34,513,0
2020-05-08,766,12,35,505,0
2020-05-09,809,12,43,482,0
2020-05-10,848,12,39,516,0
2020-05-11,899,12,51,557,0
2020-05-12,943,12,44,588,0
2020-05-13,983,12,40,555,0
2020-05-14,1028,12,45,534,0
2020-05-15,1074,12,46,522,0
2020-05-16,1113,13,39,499,1
2020-05-17,1151,13,38,510,0
2020-05-18,1195,16,44,542,3
2020-05-19,1246,16,51,525,0
2020-05-20,1266,16,20,508,0
2020-05-21,1307,16,41,470,0
2020-05-22,1362,16,55,444,0
2020-05-23,1419,16,57,437,0
2020-05-24,1463,16,44,453,0
2020-05-25,1518,16,55,492,0
2020-05-26,1581,16,63,424,0
2020-05-27,1643,16,62,408,0
2020-05-28,1753,16,110,460,0
2020-05-29,1857,16,104,515,0
2020-05-30,1946,16,89,533,0
2020-05-31,2028,16,82,609,0
2020-06-01,2139,16,111,706,0
2020-06-02,2234,16,95,735,0
2020-06-03,2361,16,127,794,0
2020-06-04,2466,16,105,871,0
2020-06-05,2592,18,126,968,2
2020-06-06,2698,18,106,1010,0
2020-06-07,2837,18,139,1145,0
2020-06-08,3065,18,228,1366,0
2020-06-09,3285,18,220,1546,0
2020-06-10,3527,18,242,1710,0
2020-06-11,3766,19,239,1907,1
2020-06-12,3993,21,227,2049,2
2020-06-13,4221,21,228,2268,0
2020-06-14,4440,22,219,2454,1
2020-06-15,4660,22,220,2644,0
2020-06-16,4861,24,201,2745,2
2020-06-17,5062,27,201,2665,3
2020-06-18,5258,28,196,2642,1
2020-06-19,5461,30,203,2600,2
2020-06-20,5663,30,202,2619,0
2020-06-21,5863,30,200,2775,0
2020-06-22,6062,30,199,2884,0
2020-06-23,6259,31,197,2619,1
2020-06-24,6457,33,198,2410,2
2020-06-25,6653,33,196,2588,0
2020-06-26,6846,34,193,2672,1
2020-06-27,7036,35,190,2816,1
2020-06-28,7224,35,188,2996,0
2020-06-29,7409,35,185,3175,0
