Entity,Date,Stringency Index (OxBSG)
Norway,2020-01-01,0.0
Norway,2020-01-02,0.0
Norway,2020-01-03,0.0
Norway,2020-01-04,0.0
Norway,2020-01-05,0.0
Norway,2020-01-06,0.0
Norway,2020-01-07,0.0
Norway,2020-01-08,0.0
Norway,2020-01-09,0.0
Norway,2020-01-10,0.0
Norway,2020-01-11,0.0
Norway,2020-01-12,0.0
Norway,2020-01-13,0.0
Norway,2020-01-14,0.0
Norway,2020-01-15,0.0
Norway,2020-01-16,0.0
Norway,2020-01-17,0.0
Norway,2020-01-18,0.0
Norway,2020-01-19,0.0
Norway,2020-01-20,0.0
Norway,2020-01-21,0.0
Norway,2020-01-22,0.0
Norway,2020-01-23,0.0
Norway,2020-01-24,0.0
Norway,2020-01-25,0.0
Norway,2020-01-26,0.0
Norway,2020-01-27,0.0
Norway,2020-01-28,0.0
Norway,2020-01-29,0.0
Norway,2020-01-30,0.0
Norway,2020-01-31,11.11
Norway,2020-02-01,11.11
Norway,2020-02-02,11.11
Norway,2020-02-03,11.11
Norway,2020-02-04,11.11
Norway,2020-02-05,11.11
Norway,2020-02-06,11.11
Norway,2020-02-07,11.11
Norway,2020-02-08,11.11
Norway,2020-02-09,11.11
Norway,2020-02-10,11.11
Norway,2020-02-11,11.11
Norway,2020-02-12,11.11
Norway,2020-02-13,11.11
Norway,2020-02-14,11.11
Norway,2020-02-15,11.11
Norway,2020-02-16,11.11
Norway,2020-02-17,11.11
Norway,2020-02-18,11.11
Norway,2020-02-19,11.11
Norway,2020-02-20,11.11
Norway,2020-02-21,11.11
Norway,2020-02-22,11.11
Norway,2020-02-23,11.11
Norway,2020-02-24,11.11
Norway,2020-02-25,11.11
Norway,2020-02-26,11.11
Norway,2020-02-27,11.11
Norway,2020-02-28,11.11
Norway,2020-02-29,11.11
Norway,2020-03-01,11.11
Norway,2020-03-02,11.11
Norway,2020-03-03,11.11
Norway,2020-03-04,11.11
Norway,2020-03-05,11.11
Norway,2020-03-06,11.11
Norway,2020-03-07,11.11
Norway,2020-03-08,11.11
Norway,2020-03-09,11.11
Norway,2020-03-10,14.81
Norway,2020-03-11,20.37
Norway,2020-03-12,40.74
Norway,2020-03-13,40.74
Norway,2020-03-14,46.3
Norway,2020-03-15,51.85
Norway,2020-03-16,60.19
Norway,2020-03-17,60.19
Norway,2020-03-18,60.19
Norway,2020-03-19,62.96
Norway,2020-03-20,62.96
Norway,2020-03-21,62.96
Norway,2020-03-22,62.96
Norway,2020-03-23,62.96
Norway,2020-03-24,79.63
Norway,2020-03-25,79.63
Norway,2020-03-26,79.63
Norway,2020-03-27,79.63
Norway,2020-03-28,79.63
Norway,2020-03-29,79.63
Norway,2020-03-30,79.63
Norway,2020-03-31,79.63
Norway,2020-04-01,79.63
Norway,2020-04-02,79.63
Norway,2020-04-03,79.63
Norway,2020-04-04,79.63
Norway,2020-04-05,79.63
Norway,2020-04-06,79.63
Norway,2020-04-07,79.63
Norway,2020-04-08,79.63
Norway,2020-04-09,79.63
Norway,2020-04-10,79.63
Norway,2020-04-11,79.63
Norway,2020-04-12,79.63
Norway,2020-04-13,79.63
Norway,2020-04-14,79.63
Norway,2020-04-15,79.63
Norway,2020-04-16,79.63
Norway,2020-04-17,79.63
Norway,2020-04-18,79.63
Norway,2020-04-19,79.63
Norway,2020-04-20,70.37
Norway,2020-04-21,67.59
Norway,2020-04-22,67.59
Norway,2020-04-23,67.59
Norway,2020-04-24,67.59
Norway,2020-04-25,67.59
Norway,2020-04-26,67.59
Norway,2020-04-27,67.59
Norway,2020-04-28,67.59
Norway,2020-04-29,67.59
Norway,2020-04-30,67.59
Norway,2020-05-01,67.59
Norway,2020-05-02,67.59
Norway,2020-05-03,67.59
Norway,2020-05-04,67.59
Norway,2020-05-05,67.59
Norway,2020-05-06,67.59
Norway,2020-05-07,67.59
Norway,2020-05-08,67.59
Norway,2020-05-09,67.59
Norway,2020-05-10,67.59
Norway,2020-05-11,60.19
Norway,2020-05-12,60.19
Norway,2020-05-13,60.19
Norway,2020-05-14,54.63
