Entity,Date,Stringency Index (OxBSG)
South Korea,2020-01-01,0.0
South Korea,2020-01-02,0.0
South Korea,2020-01-03,0.0
South Korea,2020-01-04,0.0
South Korea,2020-01-05,0.0
South Korea,2020-01-06,0.0
South Korea,2020-01-07,0.0
South Korea,2020-01-08,0.0
South Korea,2020-01-09,0.0
South Korea,2020-01-10,0.0
South Korea,2020-01-11,0.0
South Korea,2020-01-12,0.0
South Korea,2020-01-13,0.0
South Korea,2020-01-14,0.0
South Korea,2020-01-15,0.0
South Korea,2020-01-16,0.0
South Korea,2020-01-17,0.0
South Korea,2020-01-18,0.0
South Korea,2020-01-19,0.0
South Korea,2020-01-20,0.0
South Korea,2020-01-21,0.0
South Korea,2020-01-22,0.0
South Korea,2020-01-23,0.0
South Korea,2020-01-24,0.0
South Korea,2020-01-25,0.0
South Korea,2020-01-26,0.0
South Korea,2020-01-27,0.0
South Korea,2020-01-28,0.0
South Korea,2020-01-29,0.0
South Korea,2020-01-30,0.0
South Korea,2020-01-31,2.78
South Korea,2020-02-01,13.89
South Korea,2020-02-02,13.89
South Korea,2020-02-03,19.44
South Korea,2020-02-04,27.78
South Korea,2020-02-05,27.78
South Korea,2020-02-06,31.48
South Korea,2020-02-07,31.48
South Korea,2020-02-08,31.48
South Korea,2020-02-09,31.48
South Korea,2020-02-10,31.48
South Korea,2020-02-11,31.48
South Korea,2020-02-12,31.48
South Korea,2020-02-13,31.48
South Korea,2020-02-14,31.48
South Korea,2020-02-15,31.48
South Korea,2020-02-16,31.48
South Korea,2020-02-17,31.48
South Korea,2020-02-18,31.48
South Korea,2020-02-19,31.48
South Korea,2020-02-20,31.48
South Korea,2020-02-21,45.37
South Korea,2020-02-22,45.37
South Korea,2020-02-23,50.0
South Korea,2020-02-24,55.56
South Korea,2020-02-25,55.56
South Korea,2020-02-26,55.56
South Korea,2020-02-27,55.56
South Korea,2020-02-28,55.56
South Korea,2020-02-29,55.56
South Korea,2020-03-01,55.56
South Korea,2020-03-02,55.56
South Korea,2020-03-03,55.56
South Korea,2020-03-04,55.56
South Korea,2020-03-05,55.56
South Korea,2020-03-06,55.56
South Korea,2020-03-07,55.56
South Korea,2020-03-08,55.56
South Korea,2020-03-09,55.56
South Korea,2020-03-10,55.56
South Korea,2020-03-11,55.56
South Korea,2020-03-12,55.56
South Korea,2020-03-13,55.56
South Korea,2020-03-14,55.56
South Korea,2020-03-15,55.56
South Korea,2020-03-16,55.56
South Korea,2020-03-17,55.56
South Korea,2020-03-18,55.56
South Korea,2020-03-19,55.56
South Korea,2020-03-20,55.56
South Korea,2020-03-21,69.44
South Korea,2020-03-22,75.93
South Korea,2020-03-23,75.93
South Korea,2020-03-24,75.93
South Korea,2020-03-25,75.93
South Korea,2020-03-26,75.93
South Korea,2020-03-27,75.93
South Korea,2020-03-28,75.93
South Korea,2020-03-29,75.93
South Korea,2020-03-30,75.93
South Korea,2020-03-31,75.93
South Korea,2020-04-01,75.93
South Korea,2020-04-02,75.93
South Korea,2020-04-03,75.93
South Korea,2020-04-04,78.7
South Korea,2020-04-05,78.7
South Korea,2020-04-06,82.41
South Korea,2020-04-07,82.41
South Korea,2020-04-08,82.41
South Korea,2020-04-09,82.41
South Korea,2020-04-10,82.41
South Korea,2020-04-11,82.41
South Korea,2020-04-12,82.41
South Korea,2020-04-13,82.41
South Korea,2020-04-14,82.41
South Korea,2020-04-15,82.41
South Korea,2020-04-16,82.41
South Korea,2020-04-17,82.41
South Korea,2020-04-18,73.15
South Korea,2020-04-19,73.15
South Korea,2020-04-20,43.52
South Korea,2020-04-21,43.52
South Korea,2020-04-22,43.52
South Korea,2020-04-23,43.52
South Korea,2020-04-24,43.52
South Korea,2020-04-25,43.52
South Korea,2020-04-26,43.52
South Korea,2020-04-27,43.52
South Korea,2020-04-28,43.52
South Korea,2020-04-29,43.52
South Korea,2020-04-30,43.52
South Korea,2020-05-01,43.52
South Korea,2020-05-02,43.52
South Korea,2020-05-03,43.52
South Korea,2020-05-04,43.52
South Korea,2020-05-05,43.52
South Korea,2020-05-06,43.52
South Korea,2020-05-07,43.52
South Korea,2020-05-08,43.52
South Korea,2020-05-09,43.52
South Korea,2020-05-10,43.52
South Korea,2020-05-11,43.52
South Korea,2020-05-12,43.52
South Korea,2020-05-13,43.52
South Korea,2020-05-14,43.52
South Korea,2020-05-15,43.52
South Korea,2020-05-16,43.52
South Korea,2020-05-17,43.52
South Korea,2020-05-18,43.52
South Korea,2020-05-19,43.52
South Korea,2020-05-20,39.81
South Korea,2020-05-21,39.81
South Korea,2020-05-22,39.81
South Korea,2020-05-23,39.81
South Korea,2020-05-24,39.81
South Korea,2020-05-25,39.81
South Korea,2020-05-26,39.81
South Korea,2020-05-27,39.81
South Korea,2020-05-28,39.81
South Korea,2020-05-29,56.94
South Korea,2020-05-30,56.94
South Korea,2020-05-31,56.94
South Korea,2020-06-01,56.94
South Korea,2020-06-02,56.94
South Korea,2020-06-03,56.94
South Korea,2020-06-04,56.94
South Korea,2020-06-05,56.94
South Korea,2020-06-06,56.94
South Korea,2020-06-07,56.94
South Korea,2020-06-08,56.94
South Korea,2020-06-09,56.94
South Korea,2020-06-10,56.94
South Korea,2020-06-11,56.94
South Korea,2020-06-12,56.94
South Korea,2020-06-13,56.94
South Korea,2020-06-14,56.94
South Korea,2020-06-15,56.94
South Korea,2020-06-16,56.94
South Korea,2020-06-17,56.94
South Korea,2020-06-18,56.94
South Korea,2020-06-19,56.94
South Korea,2020-06-20,56.94
South Korea,2020-06-21,56.94
South Korea,2020-06-22,56.94
South Korea,2020-06-23,56.94
South Korea,2020-06-24,56.94
South Korea,2020-06-25,56.94
South Korea,2020-06-26,56.94
South Korea,2020-06-27,56.94
South Korea,2020-06-28,56.94
South Korea,2020-06-29,56.94
South Korea,2020-06-30,56.94
South Korea,2020-07-01,56.94
South Korea,2020-07-02,56.94
South Korea,2020-07-03,56.94
South Korea,2020-07-04,54.17
South Korea,2020-07-05,54.17
South Korea,2020-07-06,54.17
South Korea,2020-07-07,54.17
South Korea,2020-07-08,54.17
South Korea,2020-07-09,54.17
South Korea,2020-07-10,54.17
South Korea,2020-07-11,48.61
South Korea,2020-07-12,48.61
South Korea,2020-07-13,48.61
South Korea,2020-07-14,48.61
South Korea,2020-07-15,48.61
South Korea,2020-07-16,48.61
South Korea,2020-07-17,48.61
South Korea,2020-07-18,48.61
South Korea,2020-07-19,48.61
South Korea,2020-07-20,48.61
South Korea,2020-07-21,48.61
South Korea,2020-07-22,48.61
South Korea,2020-07-23,48.61
South Korea,2020-07-24,48.61
South Korea,2020-07-25,48.61
South Korea,2020-07-26,48.61
South Korea,2020-07-27,48.61
South Korea,2020-07-28,48.61
South Korea,2020-07-29,48.61
South Korea,2020-07-30,48.61
South Korea,2020-07-31,48.61
South Korea,2020-08-01,48.61
South Korea,2020-08-02,48.61
South Korea,2020-08-03,48.61
South Korea,2020-08-04,48.61
South Korea,2020-08-05,48.61
South Korea,2020-08-06,48.61
South Korea,2020-08-07,48.61
South Korea,2020-08-08,48.61
South Korea,2020-08-09,48.61
South Korea,2020-08-10,48.61
South Korea,2020-08-11,48.61
South Korea,2020-08-12,48.61
South Korea,2020-08-13,48.61
South Korea,2020-08-14,48.61
South Korea,2020-08-15,48.61
South Korea,2020-08-16,54.17
South Korea,2020-08-17,54.17
South Korea,2020-08-18,54.17
South Korea,2020-08-19,54.17
South Korea,2020-08-20,54.17
South Korea,2020-08-21,54.17
South Korea,2020-08-22,54.17
South Korea,2020-08-23,54.17
South Korea,2020-08-24,54.17
South Korea,2020-08-25,54.17
South Korea,2020-08-26,54.17
South Korea,2020-08-27,54.17
South Korea,2020-08-28,54.17
South Korea,2020-08-29,54.17
South Korea,2020-08-30,54.17
South Korea,2020-08-31,54.17
South Korea,2020-09-01,54.17
South Korea,2020-09-02,54.17
South Korea,2020-09-03,54.17
South Korea,2020-09-04,54.17
South Korea,2020-09-05,54.17
South Korea,2020-09-06,54.17
South Korea,2020-09-07,54.17
South Korea,2020-09-08,54.17
South Korea,2020-09-09,54.17
South Korea,2020-09-10,54.17
South Korea,2020-09-11,54.17
South Korea,2020-09-12,54.17
South Korea,2020-09-13,54.17
South Korea,2020-09-14,54.17
South Korea,2020-09-15,54.17
South Korea,2020-09-16,54.17
South Korea,2020-09-17,54.17
South Korea,2020-09-18,54.17
South Korea,2020-09-19,54.17
South Korea,2020-09-20,54.17
South Korea,2020-09-21,54.17
South Korea,2020-09-22,54.17
South Korea,2020-09-23,54.17
South Korea,2020-09-24,54.17
South Korea,2020-09-25,54.17
