Entity,Date,Stringency Index (OxBSG)
Cuba,2020-01-01,0.0
Cuba,2020-01-02,0.0
Cuba,2020-01-03,0.0
Cuba,2020-01-04,0.0
Cuba,2020-01-05,0.0
Cuba,2020-01-06,0.0
Cuba,2020-01-07,0.0
Cuba,2020-01-08,0.0
Cuba,2020-01-09,0.0
Cuba,2020-01-10,0.0
Cuba,2020-01-11,0.0
Cuba,2020-01-12,0.0
Cuba,2020-01-13,0.0
Cuba,2020-01-14,0.0
Cuba,2020-01-15,0.0
Cuba,2020-01-16,0.0
Cuba,2020-01-17,0.0
Cuba,2020-01-18,0.0
Cuba,2020-01-19,0.0
Cuba,2020-01-20,0.0
Cuba,2020-01-21,0.0
Cuba,2020-01-22,0.0
Cuba,2020-01-23,0.0
Cuba,2020-01-24,0.0
Cuba,2020-01-25,0.0
Cuba,2020-01-26,0.0
Cuba,2020-01-27,0.0
Cuba,2020-01-28,11.11
Cuba,2020-01-29,11.11
Cuba,2020-01-30,11.11
Cuba,2020-01-31,11.11
Cuba,2020-02-01,11.11
Cuba,2020-02-02,11.11
Cuba,2020-02-03,11.11
Cuba,2020-02-04,11.11
Cuba,2020-02-05,11.11
Cuba,2020-02-06,11.11
Cuba,2020-02-07,11.11
Cuba,2020-02-08,11.11
Cuba,2020-02-09,11.11
Cuba,2020-02-10,11.11
Cuba,2020-02-11,11.11
Cuba,2020-02-12,11.11
Cuba,2020-02-13,11.11
Cuba,2020-02-14,11.11
Cuba,2020-02-15,11.11
Cuba,2020-02-16,11.11
Cuba,2020-02-17,11.11
Cuba,2020-02-18,11.11
Cuba,2020-02-19,11.11
Cuba,2020-02-20,11.11
Cuba,2020-02-21,13.89
Cuba,2020-02-22,13.89
Cuba,2020-02-23,13.89
Cuba,2020-02-24,13.89
Cuba,2020-02-25,13.89
Cuba,2020-02-26,13.89
Cuba,2020-02-27,13.89
Cuba,2020-02-28,13.89
Cuba,2020-02-29,13.89
Cuba,2020-03-01,13.89
Cuba,2020-03-02,13.89
Cuba,2020-03-03,13.89
Cuba,2020-03-04,13.89
Cuba,2020-03-05,13.89
Cuba,2020-03-06,13.89
Cuba,2020-03-07,13.89
Cuba,2020-03-08,13.89
Cuba,2020-03-09,13.89
Cuba,2020-03-10,13.89
Cuba,2020-03-11,13.89
Cuba,2020-03-12,13.89
Cuba,2020-03-13,13.89
Cuba,2020-03-14,13.89
Cuba,2020-03-15,13.89
Cuba,2020-03-16,13.89
Cuba,2020-03-17,13.89
Cuba,2020-03-18,13.89
Cuba,2020-03-19,13.89
Cuba,2020-03-20,30.56
Cuba,2020-03-21,30.56
Cuba,2020-03-22,30.56
Cuba,2020-03-23,41.67
Cuba,2020-03-24,66.67
Cuba,2020-03-25,66.67
Cuba,2020-03-26,66.67
Cuba,2020-03-27,66.67
Cuba,2020-03-28,66.67
Cuba,2020-03-29,66.67
Cuba,2020-03-30,66.67
Cuba,2020-03-31,66.67
Cuba,2020-04-01,66.67
Cuba,2020-04-02,66.67
Cuba,2020-04-03,66.67
Cuba,2020-04-04,66.67
Cuba,2020-04-05,66.67
Cuba,2020-04-06,66.67
Cuba,2020-04-07,70.37
Cuba,2020-04-08,70.37
Cuba,2020-04-09,70.37
Cuba,2020-04-10,70.37
Cuba,2020-04-11,73.15
Cuba,2020-04-12,73.15
Cuba,2020-04-13,73.15
Cuba,2020-04-14,73.15
Cuba,2020-04-15,73.15
Cuba,2020-04-16,73.15
Cuba,2020-04-17,83.33
Cuba,2020-04-18,83.33
Cuba,2020-04-19,83.33
Cuba,2020-04-20,83.33
Cuba,2020-04-21,83.33
Cuba,2020-04-22,83.33
Cuba,2020-04-23,83.33
Cuba,2020-04-24,83.33
Cuba,2020-04-25,83.33
Cuba,2020-04-26,83.33
Cuba,2020-04-27,83.33
Cuba,2020-04-28,83.33
Cuba,2020-04-29,83.33
Cuba,2020-04-30,83.33
Cuba,2020-05-01,83.33
Cuba,2020-05-02,83.33
Cuba,2020-05-03,83.33
Cuba,2020-05-04,83.33
Cuba,2020-05-05,85.19
Cuba,2020-05-06,85.19
Cuba,2020-05-07,85.19
Cuba,2020-05-08,85.19
Cuba,2020-05-09,85.19
Cuba,2020-05-10,85.19
Cuba,2020-05-11,100.0
Cuba,2020-05-12,100.0
Cuba,2020-05-13,100.0
Cuba,2020-05-14,100.0
Cuba,2020-05-15,100.0
Cuba,2020-05-16,100.0
Cuba,2020-05-17,100.0
Cuba,2020-05-18,100.0
Cuba,2020-05-19,100.0
Cuba,2020-05-20,100.0
Cuba,2020-05-21,100.0
Cuba,2020-05-22,100.0
Cuba,2020-05-23,100.0
Cuba,2020-05-24,100.0
Cuba,2020-05-25,100.0
Cuba,2020-05-26,100.0
Cuba,2020-05-27,100.0
Cuba,2020-05-28,100.0
Cuba,2020-05-29,100.0
Cuba,2020-05-30,100.0
Cuba,2020-05-31,100.0
Cuba,2020-06-01,100.0
Cuba,2020-06-02,100.0
Cuba,2020-06-03,100.0
Cuba,2020-06-04,100.0
Cuba,2020-06-05,100.0
Cuba,2020-06-06,100.0
Cuba,2020-06-07,100.0
Cuba,2020-06-08,100.0
Cuba,2020-06-09,100.0
Cuba,2020-06-10,100.0
Cuba,2020-06-11,100.0
Cuba,2020-06-12,100.0
Cuba,2020-06-13,100.0
Cuba,2020-06-14,100.0
Cuba,2020-06-15,100.0
Cuba,2020-06-16,100.0
Cuba,2020-06-17,100.0
Cuba,2020-06-18,86.11
Cuba,2020-06-19,86.11
Cuba,2020-06-20,86.11
Cuba,2020-06-21,86.11
Cuba,2020-06-22,86.11
Cuba,2020-06-23,86.11
Cuba,2020-06-24,86.11
Cuba,2020-06-25,86.11
Cuba,2020-06-26,86.11
Cuba,2020-06-27,86.11
Cuba,2020-06-28,86.11
Cuba,2020-06-29,86.11
Cuba,2020-06-30,86.11
Cuba,2020-07-01,86.11
Cuba,2020-07-02,86.11
Cuba,2020-07-03,66.67
Cuba,2020-07-04,66.67
Cuba,2020-07-05,66.67
Cuba,2020-07-06,66.67
Cuba,2020-07-07,66.67
Cuba,2020-07-08,66.67
Cuba,2020-07-09,66.67
Cuba,2020-07-10,66.67
Cuba,2020-07-11,66.67
Cuba,2020-07-12,66.67
Cuba,2020-07-13,66.67
Cuba,2020-07-14,66.67
Cuba,2020-07-15,66.67
Cuba,2020-07-16,66.67
Cuba,2020-07-17,66.67
Cuba,2020-07-18,66.67
Cuba,2020-07-19,66.67
Cuba,2020-07-20,66.67
Cuba,2020-07-21,66.67
Cuba,2020-07-22,66.67
Cuba,2020-07-23,66.67
Cuba,2020-07-24,66.67
Cuba,2020-07-25,66.67
Cuba,2020-07-26,66.67
Cuba,2020-07-27,66.67
Cuba,2020-07-28,66.67
Cuba,2020-07-29,66.67
Cuba,2020-07-30,66.67
Cuba,2020-07-31,66.67
Cuba,2020-08-01,66.67
Cuba,2020-08-02,66.67
Cuba,2020-08-03,66.67
Cuba,2020-08-04,66.67
Cuba,2020-08-05,66.67
Cuba,2020-08-06,66.67
Cuba,2020-08-07,66.67
Cuba,2020-08-08,66.67
Cuba,2020-08-09,75.0
Cuba,2020-08-10,75.0
Cuba,2020-08-11,82.41
Cuba,2020-08-12,82.41
Cuba,2020-08-13,82.41
Cuba,2020-08-14,82.41
Cuba,2020-08-15,82.41
Cuba,2020-08-16,82.41
Cuba,2020-08-17,82.41
Cuba,2020-08-18,82.41
Cuba,2020-08-19,82.41
Cuba,2020-08-20,82.41
Cuba,2020-08-21,82.41
Cuba,2020-08-22,82.41
Cuba,2020-08-23,82.41
Cuba,2020-08-24,82.41
Cuba,2020-08-25,82.41
Cuba,2020-08-26,82.41
Cuba,2020-08-27,82.41
Cuba,2020-08-28,82.41
Cuba,2020-08-29,82.41
Cuba,2020-08-30,82.41
Cuba,2020-08-31,82.41
Cuba,2020-09-01,86.11
Cuba,2020-09-02,86.11
Cuba,2020-09-03,86.11
Cuba,2020-09-04,86.11
Cuba,2020-09-05,86.11
Cuba,2020-09-06,86.11
Cuba,2020-09-07,86.11
Cuba,2020-09-08,86.11
Cuba,2020-09-09,86.11
Cuba,2020-09-10,86.11
Cuba,2020-09-11,86.11
Cuba,2020-09-12,86.11
Cuba,2020-09-13,86.11
Cuba,2020-09-14,86.11
Cuba,2020-09-15,86.11
Cuba,2020-09-16,86.11
Cuba,2020-09-17,86.11
Cuba,2020-09-18,86.11
Cuba,2020-09-19,86.11
Cuba,2020-09-20,86.11
Cuba,2020-09-21,86.11
Cuba,2020-09-22,86.11
Cuba,2020-09-23,84.26
Cuba,2020-09-24,84.26
Cuba,2020-09-25,84.26
Cuba,2020-09-26,84.26
Cuba,2020-09-27,84.26
Cuba,2020-09-28,84.26
Cuba,2020-09-29,84.26
Cuba,2020-09-30,84.26
