Entity,Date,Stringency Index (OxBSG)
Kazakhstan,2020-01-01,0.0
Kazakhstan,2020-01-02,0.0
Kazakhstan,2020-01-03,0.0
Kazakhstan,2020-01-04,0.0
Kazakhstan,2020-01-05,0.0
Kazakhstan,2020-01-06,0.0
Kazakhstan,2020-01-07,0.0
Kazakhstan,2020-01-08,0.0
Kazakhstan,2020-01-09,0.0
Kazakhstan,2020-01-10,0.0
Kazakhstan,2020-01-11,0.0
Kazakhstan,2020-01-12,0.0
Kazakhstan,2020-01-13,0.0
Kazakhstan,2020-01-14,0.0
Kazakhstan,2020-01-15,0.0
Kazakhstan,2020-01-16,0.0
Kazakhstan,2020-01-17,0.0
Kazakhstan,2020-01-18,0.0
Kazakhstan,2020-01-19,0.0
Kazakhstan,2020-01-20,0.0
Kazakhstan,2020-01-21,0.0
Kazakhstan,2020-01-22,0.0
Kazakhstan,2020-01-23,0.0
Kazakhstan,2020-01-24,0.0
Kazakhstan,2020-01-25,0.0
Kazakhstan,2020-01-26,0.0
Kazakhstan,2020-01-27,0.0
Kazakhstan,2020-01-28,0.0
Kazakhstan,2020-01-29,0.0
Kazakhstan,2020-01-30,0.0
Kazakhstan,2020-01-31,0.0
Kazakhstan,2020-02-01,0.0
Kazakhstan,2020-02-02,0.0
Kazakhstan,2020-02-03,0.0
Kazakhstan,2020-02-04,0.0
Kazakhstan,2020-02-05,0.0
Kazakhstan,2020-02-06,0.0
Kazakhstan,2020-02-07,0.0
Kazakhstan,2020-02-08,0.0
Kazakhstan,2020-02-09,0.0
Kazakhstan,2020-02-10,0.0
Kazakhstan,2020-02-11,0.0
Kazakhstan,2020-02-12,0.0
Kazakhstan,2020-02-13,0.0
Kazakhstan,2020-02-14,0.0
Kazakhstan,2020-02-15,0.0
Kazakhstan,2020-02-16,0.0
Kazakhstan,2020-02-17,0.0
Kazakhstan,2020-02-18,0.0
Kazakhstan,2020-02-19,0.0
Kazakhstan,2020-02-20,0.0
Kazakhstan,2020-02-21,0.0
Kazakhstan,2020-02-22,0.0
Kazakhstan,2020-02-23,0.0
Kazakhstan,2020-02-24,0.0
Kazakhstan,2020-02-25,0.0
Kazakhstan,2020-02-26,0.0
Kazakhstan,2020-02-27,0.0
Kazakhstan,2020-02-28,0.0
Kazakhstan,2020-02-29,0.0
Kazakhstan,2020-03-01,0.0
Kazakhstan,2020-03-02,0.0
Kazakhstan,2020-03-03,0.0
Kazakhstan,2020-03-04,0.0
Kazakhstan,2020-03-05,0.0
Kazakhstan,2020-03-06,0.0
Kazakhstan,2020-03-07,0.0
Kazakhstan,2020-03-08,0.0
Kazakhstan,2020-03-09,0.0
Kazakhstan,2020-03-10,0.0
Kazakhstan,2020-03-11,0.0
Kazakhstan,2020-03-12,13.89
Kazakhstan,2020-03-13,19.44
Kazakhstan,2020-03-14,19.44
Kazakhstan,2020-03-15,19.44
Kazakhstan,2020-03-16,47.22
Kazakhstan,2020-03-17,47.22
Kazakhstan,2020-03-18,55.56
Kazakhstan,2020-03-19,80.09
Kazakhstan,2020-03-20,80.09
Kazakhstan,2020-03-21,80.09
Kazakhstan,2020-03-22,80.09
Kazakhstan,2020-03-23,80.09
Kazakhstan,2020-03-24,80.09
Kazakhstan,2020-03-25,80.09
Kazakhstan,2020-03-26,80.09
Kazakhstan,2020-03-27,80.09
Kazakhstan,2020-03-28,80.09
Kazakhstan,2020-03-29,80.09
Kazakhstan,2020-03-30,89.35
Kazakhstan,2020-03-31,89.35
Kazakhstan,2020-04-01,89.35
Kazakhstan,2020-04-02,89.35
Kazakhstan,2020-04-03,89.35
Kazakhstan,2020-04-04,89.35
Kazakhstan,2020-04-05,89.35
Kazakhstan,2020-04-06,89.35
Kazakhstan,2020-04-07,89.35
Kazakhstan,2020-04-08,89.35
Kazakhstan,2020-04-09,89.35
Kazakhstan,2020-04-10,89.35
Kazakhstan,2020-04-11,89.35
Kazakhstan,2020-04-12,89.35
Kazakhstan,2020-04-13,89.35
Kazakhstan,2020-04-14,89.35
Kazakhstan,2020-04-15,89.35
Kazakhstan,2020-04-16,89.35
Kazakhstan,2020-04-17,89.35
Kazakhstan,2020-04-18,89.35
Kazakhstan,2020-04-19,89.35
Kazakhstan,2020-04-20,89.35
Kazakhstan,2020-04-21,89.35
Kazakhstan,2020-04-22,89.35
Kazakhstan,2020-04-23,89.35
Kazakhstan,2020-04-24,89.35
Kazakhstan,2020-04-25,89.35
Kazakhstan,2020-04-26,89.35
Kazakhstan,2020-04-27,89.35
Kazakhstan,2020-04-28,89.35
Kazakhstan,2020-04-29,89.35
Kazakhstan,2020-04-30,89.35
Kazakhstan,2020-05-01,89.35
Kazakhstan,2020-05-02,89.35
Kazakhstan,2020-05-03,89.35
Kazakhstan,2020-05-04,89.35
Kazakhstan,2020-05-05,89.35
Kazakhstan,2020-05-06,89.35
Kazakhstan,2020-05-07,89.35
Kazakhstan,2020-05-08,89.35
Kazakhstan,2020-05-09,89.35
Kazakhstan,2020-05-10,89.35
Kazakhstan,2020-05-11,81.94
Kazakhstan,2020-05-12,81.94
Kazakhstan,2020-05-13,81.94
Kazakhstan,2020-05-14,81.94
Kazakhstan,2020-05-15,81.94
Kazakhstan,2020-05-16,81.94
Kazakhstan,2020-05-17,81.94
Kazakhstan,2020-05-18,83.8
Kazakhstan,2020-05-19,83.8
Kazakhstan,2020-05-20,83.8
Kazakhstan,2020-05-21,83.8
Kazakhstan,2020-05-22,83.8
Kazakhstan,2020-05-23,83.8
Kazakhstan,2020-05-24,83.8
Kazakhstan,2020-05-25,83.8
Kazakhstan,2020-05-26,83.8
Kazakhstan,2020-05-27,83.8
Kazakhstan,2020-05-28,83.8
Kazakhstan,2020-05-29,83.8
Kazakhstan,2020-05-30,83.8
Kazakhstan,2020-05-31,83.8
Kazakhstan,2020-06-01,81.02
Kazakhstan,2020-06-02,81.02
Kazakhstan,2020-06-03,81.02
Kazakhstan,2020-06-04,81.02
Kazakhstan,2020-06-05,81.02
Kazakhstan,2020-06-06,81.02
Kazakhstan,2020-06-07,81.02
Kazakhstan,2020-06-08,81.02
Kazakhstan,2020-06-09,81.02
Kazakhstan,2020-06-10,81.02
Kazakhstan,2020-06-11,83.8
Kazakhstan,2020-06-12,83.8
Kazakhstan,2020-06-13,83.8
Kazakhstan,2020-06-14,83.8
Kazakhstan,2020-06-15,83.8
Kazakhstan,2020-06-16,83.8
Kazakhstan,2020-06-17,83.8
Kazakhstan,2020-06-18,83.8
Kazakhstan,2020-06-19,83.8
Kazakhstan,2020-06-20,83.8
Kazakhstan,2020-06-21,83.8
Kazakhstan,2020-06-22,83.8
Kazakhstan,2020-06-23,83.8
Kazakhstan,2020-06-24,83.8
Kazakhstan,2020-06-25,83.8
Kazakhstan,2020-06-26,83.8
Kazakhstan,2020-06-27,83.8
Kazakhstan,2020-06-28,83.8
Kazakhstan,2020-06-29,83.8
Kazakhstan,2020-06-30,83.8
Kazakhstan,2020-07-01,83.8
Kazakhstan,2020-07-02,83.8
Kazakhstan,2020-07-03,83.8
Kazakhstan,2020-07-04,83.8
Kazakhstan,2020-07-05,83.33
Kazakhstan,2020-07-06,83.33
Kazakhstan,2020-07-07,83.33
Kazakhstan,2020-07-08,83.33
Kazakhstan,2020-07-09,83.33
Kazakhstan,2020-07-10,77.78
Kazakhstan,2020-07-11,77.78
Kazakhstan,2020-07-12,77.78
Kazakhstan,2020-07-13,77.78
Kazakhstan,2020-07-14,77.78
Kazakhstan,2020-07-15,77.78
Kazakhstan,2020-07-16,77.78
Kazakhstan,2020-07-17,77.78
Kazakhstan,2020-07-18,77.78
Kazakhstan,2020-07-19,77.78
Kazakhstan,2020-07-20,77.78
Kazakhstan,2020-07-21,77.78
Kazakhstan,2020-07-22,77.78
Kazakhstan,2020-07-23,77.78
Kazakhstan,2020-07-24,77.78
Kazakhstan,2020-07-25,77.78
Kazakhstan,2020-07-26,77.78
Kazakhstan,2020-07-27,77.78
Kazakhstan,2020-07-28,77.78
Kazakhstan,2020-07-29,77.78
Kazakhstan,2020-07-30,77.78
Kazakhstan,2020-07-31,80.56
Kazakhstan,2020-08-01,80.56
Kazakhstan,2020-08-02,80.56
Kazakhstan,2020-08-03,80.56
Kazakhstan,2020-08-04,80.56
Kazakhstan,2020-08-05,80.56
Kazakhstan,2020-08-06,80.56
Kazakhstan,2020-08-07,80.56
Kazakhstan,2020-08-08,80.56
Kazakhstan,2020-08-09,80.56
Kazakhstan,2020-08-10,80.56
Kazakhstan,2020-08-11,80.56
Kazakhstan,2020-08-12,80.56
Kazakhstan,2020-08-13,80.56
Kazakhstan,2020-08-14,80.56
Kazakhstan,2020-08-15,80.56
Kazakhstan,2020-08-16,80.56
Kazakhstan,2020-08-17,79.63
Kazakhstan,2020-08-18,79.63
Kazakhstan,2020-08-19,79.63
Kazakhstan,2020-08-20,79.63
Kazakhstan,2020-08-21,79.63
Kazakhstan,2020-08-22,79.63
Kazakhstan,2020-08-23,79.63
Kazakhstan,2020-08-24,79.63
Kazakhstan,2020-08-25,79.63
Kazakhstan,2020-08-26,79.63
Kazakhstan,2020-08-27,79.63
Kazakhstan,2020-08-28,79.63
Kazakhstan,2020-08-29,79.63
Kazakhstan,2020-08-30,79.63
Kazakhstan,2020-08-31,79.63
Kazakhstan,2020-09-01,75.93
Kazakhstan,2020-09-02,75.93
Kazakhstan,2020-09-03,75.93
Kazakhstan,2020-09-04,75.93
Kazakhstan,2020-09-05,80.56
Kazakhstan,2020-09-06,80.56
Kazakhstan,2020-09-07,80.56
Kazakhstan,2020-09-08,80.56
