Entity,Date,Stringency Index (OxBSG)
Eritrea,2020-01-01,0.0
Eritrea,2020-01-02,0.0
Eritrea,2020-01-03,0.0
Eritrea,2020-01-04,0.0
Eritrea,2020-01-05,0.0
Eritrea,2020-01-06,0.0
Eritrea,2020-01-07,0.0
Eritrea,2020-01-08,0.0
Eritrea,2020-01-09,0.0
Eritrea,2020-01-10,0.0
Eritrea,2020-01-11,0.0
Eritrea,2020-01-12,0.0
Eritrea,2020-01-13,0.0
Eritrea,2020-01-14,0.0
Eritrea,2020-01-15,0.0
Eritrea,2020-01-16,0.0
Eritrea,2020-01-17,0.0
Eritrea,2020-01-18,0.0
Eritrea,2020-01-19,0.0
Eritrea,2020-01-20,0.0
Eritrea,2020-01-21,0.0
Eritrea,2020-01-22,0.0
Eritrea,2020-01-23,0.0
Eritrea,2020-01-24,0.0
Eritrea,2020-01-25,0.0
Eritrea,2020-01-26,0.0
Eritrea,2020-01-27,0.0
Eritrea,2020-01-28,0.0
Eritrea,2020-01-29,0.0
Eritrea,2020-01-30,0.0
Eritrea,2020-01-31,0.0
Eritrea,2020-02-01,0.0
Eritrea,2020-02-02,0.0
Eritrea,2020-02-03,0.0
Eritrea,2020-02-04,0.0
Eritrea,2020-02-05,0.0
Eritrea,2020-02-06,0.0
Eritrea,2020-02-07,0.0
Eritrea,2020-02-08,0.0
Eritrea,2020-02-09,0.0
Eritrea,2020-02-10,0.0
Eritrea,2020-02-11,0.0
Eritrea,2020-02-12,0.0
Eritrea,2020-02-13,0.0
Eritrea,2020-02-14,0.0
Eritrea,2020-02-15,0.0
Eritrea,2020-02-16,0.0
Eritrea,2020-02-17,0.0
Eritrea,2020-02-18,0.0
Eritrea,2020-02-19,0.0
Eritrea,2020-02-20,0.0
Eritrea,2020-02-21,0.0
Eritrea,2020-02-22,0.0
Eritrea,2020-02-23,0.0
Eritrea,2020-02-24,0.0
Eritrea,2020-02-25,0.0
Eritrea,2020-02-26,0.0
Eritrea,2020-02-27,0.0
Eritrea,2020-02-28,0.0
Eritrea,2020-02-29,0.0
Eritrea,2020-03-01,0.0
Eritrea,2020-03-02,0.0
Eritrea,2020-03-03,0.0
Eritrea,2020-03-04,0.0
Eritrea,2020-03-05,0.0
Eritrea,2020-03-06,0.0
Eritrea,2020-03-07,0.0
Eritrea,2020-03-08,0.0
Eritrea,2020-03-09,0.0
Eritrea,2020-03-10,0.0
Eritrea,2020-03-11,11.11
Eritrea,2020-03-12,11.11
Eritrea,2020-03-13,11.11
Eritrea,2020-03-14,11.11
Eritrea,2020-03-15,11.11
Eritrea,2020-03-16,22.22
Eritrea,2020-03-17,22.22
Eritrea,2020-03-18,22.22
Eritrea,2020-03-19,22.22
Eritrea,2020-03-20,22.22
Eritrea,2020-03-21,22.22
Eritrea,2020-03-22,22.22
Eritrea,2020-03-23,53.7
Eritrea,2020-03-24,53.7
Eritrea,2020-03-25,56.48
Eritrea,2020-03-26,56.48
Eritrea,2020-03-27,73.15
Eritrea,2020-03-28,73.15
Eritrea,2020-03-29,73.15
Eritrea,2020-03-30,73.15
Eritrea,2020-03-31,80.56
Eritrea,2020-04-01,93.52
Eritrea,2020-04-02,93.52
Eritrea,2020-04-03,93.52
Eritrea,2020-04-04,93.52
Eritrea,2020-04-05,93.52
Eritrea,2020-04-06,93.52
Eritrea,2020-04-07,93.52
Eritrea,2020-04-08,93.52
Eritrea,2020-04-09,93.52
Eritrea,2020-04-10,93.52
Eritrea,2020-04-11,93.52
Eritrea,2020-04-12,93.52
Eritrea,2020-04-13,93.52
Eritrea,2020-04-14,93.52
Eritrea,2020-04-15,93.52
Eritrea,2020-04-16,93.52
Eritrea,2020-04-17,93.52
Eritrea,2020-04-18,93.52
Eritrea,2020-04-19,93.52
Eritrea,2020-04-20,93.52
Eritrea,2020-04-21,93.52
Eritrea,2020-04-22,93.52
Eritrea,2020-04-23,93.52
Eritrea,2020-04-24,93.52
Eritrea,2020-04-25,93.52
Eritrea,2020-04-26,93.52
Eritrea,2020-04-27,93.52
Eritrea,2020-04-28,93.52
Eritrea,2020-04-29,93.52
Eritrea,2020-04-30,93.52
Eritrea,2020-05-01,93.52
Eritrea,2020-05-02,93.52
Eritrea,2020-05-03,93.52
Eritrea,2020-05-04,93.52
Eritrea,2020-05-05,93.52
Eritrea,2020-05-06,93.52
Eritrea,2020-05-07,93.52
Eritrea,2020-05-08,93.52
Eritrea,2020-05-09,93.52
Eritrea,2020-05-10,93.52
Eritrea,2020-05-11,93.52
Eritrea,2020-05-12,93.52
Eritrea,2020-05-13,93.52
Eritrea,2020-05-14,93.52
Eritrea,2020-05-15,93.52
Eritrea,2020-05-16,93.52
Eritrea,2020-05-17,93.52
Eritrea,2020-05-18,93.52
Eritrea,2020-05-19,93.52
Eritrea,2020-05-20,93.52
Eritrea,2020-05-21,93.52
Eritrea,2020-05-22,93.52
Eritrea,2020-05-23,93.52
Eritrea,2020-05-24,93.52
Eritrea,2020-05-25,93.52
Eritrea,2020-05-26,93.52
Eritrea,2020-05-27,93.52
Eritrea,2020-05-28,93.52
Eritrea,2020-05-29,93.52
Eritrea,2020-05-30,93.52
Eritrea,2020-05-31,93.52
Eritrea,2020-06-01,93.52
Eritrea,2020-06-02,93.52
Eritrea,2020-06-03,93.52
Eritrea,2020-06-04,93.52
Eritrea,2020-06-05,93.52
Eritrea,2020-06-06,93.52
Eritrea,2020-06-07,93.52
Eritrea,2020-06-08,93.52
Eritrea,2020-06-09,93.52
Eritrea,2020-06-10,93.52
Eritrea,2020-06-11,93.52
Eritrea,2020-06-12,93.52
Eritrea,2020-06-13,93.52
Eritrea,2020-06-14,93.52
Eritrea,2020-06-15,93.52
Eritrea,2020-06-16,93.52
Eritrea,2020-06-17,93.52
Eritrea,2020-06-18,93.52
Eritrea,2020-06-19,93.52
Eritrea,2020-06-20,93.52
Eritrea,2020-06-21,93.52
Eritrea,2020-06-22,93.52
Eritrea,2020-06-23,93.52
Eritrea,2020-06-24,93.52
Eritrea,2020-06-25,93.52
Eritrea,2020-06-26,93.52
Eritrea,2020-06-27,93.52
Eritrea,2020-06-28,93.52
Eritrea,2020-06-29,93.52
Eritrea,2020-06-30,93.52
Eritrea,2020-07-01,93.52
Eritrea,2020-07-02,93.52
Eritrea,2020-07-03,93.52
Eritrea,2020-07-04,93.52
Eritrea,2020-07-05,93.52
Eritrea,2020-07-06,93.52
Eritrea,2020-07-07,93.52
Eritrea,2020-07-08,93.52
Eritrea,2020-07-09,93.52
Eritrea,2020-07-10,93.52
Eritrea,2020-07-11,93.52
Eritrea,2020-07-12,93.52
Eritrea,2020-07-13,93.52
Eritrea,2020-07-14,93.52
Eritrea,2020-07-15,93.52
Eritrea,2020-07-16,93.52
Eritrea,2020-07-17,93.52
Eritrea,2020-07-18,93.52
Eritrea,2020-07-19,93.52
Eritrea,2020-07-20,93.52
Eritrea,2020-07-21,93.52
Eritrea,2020-07-22,93.52
Eritrea,2020-07-23,93.52
Eritrea,2020-07-24,93.52
Eritrea,2020-07-25,93.52
Eritrea,2020-07-26,93.52
Eritrea,2020-07-27,93.52
Eritrea,2020-07-28,93.52
Eritrea,2020-07-29,93.52
Eritrea,2020-07-30,93.52
Eritrea,2020-07-31,93.52
Eritrea,2020-08-01,93.52
Eritrea,2020-08-02,93.52
Eritrea,2020-08-03,93.52
Eritrea,2020-08-04,93.52
Eritrea,2020-08-05,93.52
Eritrea,2020-08-06,93.52
Eritrea,2020-08-07,93.52
Eritrea,2020-08-08,93.52
Eritrea,2020-08-09,93.52
Eritrea,2020-08-10,93.52
Eritrea,2020-08-11,93.52
Eritrea,2020-08-12,93.52
Eritrea,2020-08-13,93.52
Eritrea,2020-08-14,93.52
Eritrea,2020-08-15,93.52
Eritrea,2020-08-16,93.52
Eritrea,2020-08-17,93.52
Eritrea,2020-08-18,93.52
Eritrea,2020-08-19,93.52
Eritrea,2020-08-20,93.52
Eritrea,2020-08-21,93.52
Eritrea,2020-08-22,93.52
Eritrea,2020-08-23,93.52
Eritrea,2020-08-24,93.52
Eritrea,2020-08-25,93.52
Eritrea,2020-08-26,93.52
Eritrea,2020-08-27,93.52
Eritrea,2020-08-28,93.52
Eritrea,2020-08-29,93.52
Eritrea,2020-08-30,93.52
Eritrea,2020-08-31,93.52
Eritrea,2020-09-01,93.52
Eritrea,2020-09-02,93.52
Eritrea,2020-09-03,93.52
Eritrea,2020-09-04,93.52
Eritrea,2020-09-05,93.52
Eritrea,2020-09-06,93.52
Eritrea,2020-09-07,96.3
Eritrea,2020-09-08,96.3
Eritrea,2020-09-09,96.3
Eritrea,2020-09-10,96.3
Eritrea,2020-09-11,96.3
Eritrea,2020-09-12,96.3
Eritrea,2020-09-13,96.3
Eritrea,2020-09-14,96.3
Eritrea,2020-09-15,96.3
Eritrea,2020-09-16,96.3
Eritrea,2020-09-17,96.3
Eritrea,2020-09-18,89.81
Eritrea,2020-09-19,89.81
Eritrea,2020-09-20,89.81
Eritrea,2020-09-21,89.81
Eritrea,2020-09-22,89.81
Eritrea,2020-09-23,89.81
Eritrea,2020-09-24,89.81
Eritrea,2020-09-25,89.81
Eritrea,2020-09-26,89.81
Eritrea,2020-09-27,89.81
Eritrea,2020-09-28,89.81
Eritrea,2020-09-29,86.11
Eritrea,2020-09-30,86.11
Eritrea,2020-10-01,86.11
Eritrea,2020-10-02,86.11
Eritrea,2020-10-03,86.11
Eritrea,2020-10-04,86.11
Eritrea,2020-10-05,86.11
Eritrea,2020-10-06,86.11
Eritrea,2020-10-07,86.11
Eritrea,2020-10-08,86.11
Eritrea,2020-10-09,86.11
Eritrea,2020-10-10,86.11
Eritrea,2020-10-11,86.11
Eritrea,2020-10-12,86.11
Eritrea,2020-10-13,86.11
Eritrea,2020-10-14,86.11
Eritrea,2020-10-15,86.11
Eritrea,2020-10-16,86.11
Eritrea,2020-10-17,86.11
Eritrea,2020-10-18,86.11
Eritrea,2020-10-19,86.11
