Entity,Date,Stringency Index (OxBSG)
Ukraine,2020-01-01,0.0
Ukraine,2020-01-02,0.0
Ukraine,2020-01-03,0.0
Ukraine,2020-01-04,0.0
Ukraine,2020-01-05,0.0
Ukraine,2020-01-06,0.0
Ukraine,2020-01-07,0.0
Ukraine,2020-01-08,0.0
Ukraine,2020-01-09,0.0
Ukraine,2020-01-10,0.0
Ukraine,2020-01-11,0.0
Ukraine,2020-01-12,0.0
Ukraine,2020-01-13,0.0
Ukraine,2020-01-14,0.0
Ukraine,2020-01-15,0.0
Ukraine,2020-01-16,0.0
Ukraine,2020-01-17,0.0
Ukraine,2020-01-18,0.0
Ukraine,2020-01-19,0.0
Ukraine,2020-01-20,0.0
Ukraine,2020-01-21,0.0
Ukraine,2020-01-22,0.0
Ukraine,2020-01-23,0.0
Ukraine,2020-01-24,0.0
Ukraine,2020-01-25,0.0
Ukraine,2020-01-26,0.0
Ukraine,2020-01-27,0.0
Ukraine,2020-01-28,0.0
Ukraine,2020-01-29,0.0
Ukraine,2020-01-30,0.0
Ukraine,2020-01-31,0.0
Ukraine,2020-02-01,0.0
Ukraine,2020-02-02,0.0
Ukraine,2020-02-03,0.0
Ukraine,2020-02-04,0.0
Ukraine,2020-02-05,0.0
Ukraine,2020-02-06,0.0
Ukraine,2020-02-07,0.0
Ukraine,2020-02-08,0.0
Ukraine,2020-02-09,0.0
Ukraine,2020-02-10,0.0
Ukraine,2020-02-11,0.0
Ukraine,2020-02-12,0.0
Ukraine,2020-02-13,0.0
Ukraine,2020-02-14,0.0
Ukraine,2020-02-15,0.0
Ukraine,2020-02-16,0.0
Ukraine,2020-02-17,0.0
Ukraine,2020-02-18,0.0
Ukraine,2020-02-19,0.0
Ukraine,2020-02-20,0.0
Ukraine,2020-02-21,0.0
Ukraine,2020-02-22,0.0
Ukraine,2020-02-23,0.0
Ukraine,2020-02-24,0.0
Ukraine,2020-02-25,0.0
Ukraine,2020-02-26,0.0
Ukraine,2020-02-27,0.0
Ukraine,2020-02-28,0.0
Ukraine,2020-02-29,0.0
Ukraine,2020-03-01,0.0
Ukraine,2020-03-02,0.0
Ukraine,2020-03-03,11.11
Ukraine,2020-03-04,11.11
Ukraine,2020-03-05,11.11
Ukraine,2020-03-06,11.11
Ukraine,2020-03-07,11.11
Ukraine,2020-03-08,11.11
Ukraine,2020-03-09,11.11
Ukraine,2020-03-10,11.11
Ukraine,2020-03-11,11.11
Ukraine,2020-03-12,50.0
Ukraine,2020-03-13,50.0
Ukraine,2020-03-14,50.0
Ukraine,2020-03-15,50.0
Ukraine,2020-03-16,64.81
Ukraine,2020-03-17,77.78
Ukraine,2020-03-18,88.89
Ukraine,2020-03-19,88.89
Ukraine,2020-03-20,88.89
Ukraine,2020-03-21,88.89
Ukraine,2020-03-22,88.89
Ukraine,2020-03-23,88.89
Ukraine,2020-03-24,88.89
Ukraine,2020-03-25,88.89
Ukraine,2020-03-26,88.89
Ukraine,2020-03-27,88.89
Ukraine,2020-03-28,88.89
Ukraine,2020-03-29,88.89
Ukraine,2020-03-30,88.89
Ukraine,2020-03-31,88.89
Ukraine,2020-04-01,88.89
Ukraine,2020-04-02,88.89
Ukraine,2020-04-03,88.89
Ukraine,2020-04-04,88.89
Ukraine,2020-04-05,88.89
Ukraine,2020-04-06,88.89
Ukraine,2020-04-07,88.89
Ukraine,2020-04-08,88.89
Ukraine,2020-04-09,88.89
Ukraine,2020-04-10,88.89
Ukraine,2020-04-11,88.89
Ukraine,2020-04-12,88.89
Ukraine,2020-04-13,88.89
Ukraine,2020-04-14,88.89
Ukraine,2020-04-15,88.89
Ukraine,2020-04-16,88.89
Ukraine,2020-04-17,88.89
Ukraine,2020-04-18,88.89
Ukraine,2020-04-19,88.89
Ukraine,2020-04-20,88.89
Ukraine,2020-04-21,88.89
Ukraine,2020-04-22,88.89
Ukraine,2020-04-23,88.89
Ukraine,2020-04-24,88.89
Ukraine,2020-04-25,88.89
Ukraine,2020-04-26,88.89
Ukraine,2020-04-27,88.89
Ukraine,2020-04-28,88.89
Ukraine,2020-04-29,88.89
Ukraine,2020-04-30,88.89
Ukraine,2020-05-01,88.89
Ukraine,2020-05-02,88.89
Ukraine,2020-05-03,88.89
Ukraine,2020-05-04,88.89
Ukraine,2020-05-05,88.89
Ukraine,2020-05-06,88.89
Ukraine,2020-05-07,88.89
Ukraine,2020-05-08,88.89
Ukraine,2020-05-09,88.89
Ukraine,2020-05-10,88.89
Ukraine,2020-05-11,88.89
Ukraine,2020-05-12,88.89
Ukraine,2020-05-13,88.89
Ukraine,2020-05-14,88.89
Ukraine,2020-05-15,88.89
Ukraine,2020-05-16,88.89
Ukraine,2020-05-17,88.89
Ukraine,2020-05-18,88.89
Ukraine,2020-05-19,88.89
Ukraine,2020-05-20,88.89
Ukraine,2020-05-21,88.89
Ukraine,2020-05-22,83.33
Ukraine,2020-05-23,83.33
Ukraine,2020-05-24,83.33
Ukraine,2020-05-25,79.63
Ukraine,2020-05-26,79.63
Ukraine,2020-05-27,79.63
Ukraine,2020-05-28,79.63
Ukraine,2020-05-29,79.63
Ukraine,2020-05-30,79.63
Ukraine,2020-05-31,79.63
Ukraine,2020-06-01,72.69
Ukraine,2020-06-02,72.69
Ukraine,2020-06-03,72.69
Ukraine,2020-06-04,72.69
Ukraine,2020-06-05,72.69
Ukraine,2020-06-06,72.69
Ukraine,2020-06-07,72.69
Ukraine,2020-06-08,72.69
Ukraine,2020-06-09,72.69
Ukraine,2020-06-10,72.69
Ukraine,2020-06-11,72.69
Ukraine,2020-06-12,72.69
Ukraine,2020-06-13,72.69
Ukraine,2020-06-14,72.69
Ukraine,2020-06-15,64.35
Ukraine,2020-06-16,64.35
Ukraine,2020-06-17,64.35
Ukraine,2020-06-18,64.35
Ukraine,2020-06-19,64.35
Ukraine,2020-06-20,64.35
Ukraine,2020-06-21,64.35
Ukraine,2020-06-22,37.96
Ukraine,2020-06-23,37.96
Ukraine,2020-06-24,37.96
Ukraine,2020-06-25,37.96
Ukraine,2020-06-26,37.96
Ukraine,2020-06-27,37.96
Ukraine,2020-06-28,37.96
Ukraine,2020-06-29,37.96
Ukraine,2020-06-30,37.96
Ukraine,2020-07-01,37.96
Ukraine,2020-07-02,37.96
Ukraine,2020-07-03,37.96
Ukraine,2020-07-04,37.96
Ukraine,2020-07-05,37.96
Ukraine,2020-07-06,37.96
Ukraine,2020-07-07,37.96
Ukraine,2020-07-08,37.96
Ukraine,2020-07-09,37.96
Ukraine,2020-07-10,37.96
Ukraine,2020-07-11,37.96
Ukraine,2020-07-12,37.96
Ukraine,2020-07-13,37.96
Ukraine,2020-07-14,37.96
Ukraine,2020-07-15,37.96
Ukraine,2020-07-16,37.96
Ukraine,2020-07-17,37.96
Ukraine,2020-07-18,37.96
Ukraine,2020-07-19,37.96
Ukraine,2020-07-20,37.96
Ukraine,2020-07-21,37.96
Ukraine,2020-07-22,37.96
Ukraine,2020-07-23,37.96
Ukraine,2020-07-24,37.96
Ukraine,2020-07-25,37.96
Ukraine,2020-07-26,37.96
Ukraine,2020-07-27,37.96
Ukraine,2020-07-28,37.96
Ukraine,2020-07-29,37.96
Ukraine,2020-07-30,37.96
Ukraine,2020-07-31,37.96
Ukraine,2020-08-01,44.91
Ukraine,2020-08-02,44.91
Ukraine,2020-08-03,54.17
Ukraine,2020-08-04,54.17
Ukraine,2020-08-05,54.17
Ukraine,2020-08-06,54.17
Ukraine,2020-08-07,54.17
Ukraine,2020-08-08,54.17
Ukraine,2020-08-09,54.17
Ukraine,2020-08-10,54.17
Ukraine,2020-08-11,54.17
Ukraine,2020-08-12,54.17
Ukraine,2020-08-13,54.17
Ukraine,2020-08-14,54.17
Ukraine,2020-08-15,54.17
Ukraine,2020-08-16,54.17
Ukraine,2020-08-17,54.17
Ukraine,2020-08-18,54.17
Ukraine,2020-08-19,54.17
Ukraine,2020-08-20,54.17
Ukraine,2020-08-21,54.17
Ukraine,2020-08-22,54.17
Ukraine,2020-08-23,54.17
Ukraine,2020-08-24,54.17
Ukraine,2020-08-25,54.17
Ukraine,2020-08-26,54.17
Ukraine,2020-08-27,54.17
Ukraine,2020-08-28,62.5
Ukraine,2020-08-29,62.5
Ukraine,2020-08-30,62.5
Ukraine,2020-08-31,62.5
Ukraine,2020-09-01,62.5
Ukraine,2020-09-02,62.5
Ukraine,2020-09-03,62.5
Ukraine,2020-09-04,62.5
Ukraine,2020-09-05,62.5
Ukraine,2020-09-06,62.5
Ukraine,2020-09-07,51.39
Ukraine,2020-09-08,62.5
Ukraine,2020-09-09,62.5
Ukraine,2020-09-10,62.5
Ukraine,2020-09-11,62.5
Ukraine,2020-09-12,62.5
Ukraine,2020-09-13,62.5
Ukraine,2020-09-14,64.35
Ukraine,2020-09-15,64.35
Ukraine,2020-09-16,64.35
Ukraine,2020-09-17,64.35
Ukraine,2020-09-18,64.35
Ukraine,2020-09-19,64.35
Ukraine,2020-09-20,64.35
Ukraine,2020-09-21,64.35
Ukraine,2020-09-22,64.35
Ukraine,2020-09-23,64.35
Ukraine,2020-09-24,64.35
Ukraine,2020-09-25,64.35
Ukraine,2020-09-26,64.35
Ukraine,2020-09-27,64.35
Ukraine,2020-09-28,64.35
Ukraine,2020-09-29,58.8
Ukraine,2020-09-30,58.8
Ukraine,2020-10-01,58.8
Ukraine,2020-10-02,58.8
Ukraine,2020-10-03,58.8
Ukraine,2020-10-04,58.8
Ukraine,2020-10-05,58.8
Ukraine,2020-10-06,58.8
