Entity,Date,Stringency Index (OxBSG)
Lebanon,2020-01-01,0.0
Lebanon,2020-01-02,0.0
Lebanon,2020-01-03,0.0
Lebanon,2020-01-04,0.0
Lebanon,2020-01-05,0.0
Lebanon,2020-01-06,0.0
Lebanon,2020-01-07,0.0
Lebanon,2020-01-08,0.0
Lebanon,2020-01-09,0.0
Lebanon,2020-01-10,0.0
Lebanon,2020-01-11,0.0
Lebanon,2020-01-12,0.0
Lebanon,2020-01-13,0.0
Lebanon,2020-01-14,0.0
Lebanon,2020-01-15,0.0
Lebanon,2020-01-16,0.0
Lebanon,2020-01-17,0.0
Lebanon,2020-01-18,0.0
Lebanon,2020-01-19,0.0
Lebanon,2020-01-20,0.0
Lebanon,2020-01-21,0.0
Lebanon,2020-01-22,0.0
Lebanon,2020-01-23,0.0
Lebanon,2020-01-24,0.0
Lebanon,2020-01-25,0.0
Lebanon,2020-01-26,0.0
Lebanon,2020-01-27,0.0
Lebanon,2020-01-28,0.0
Lebanon,2020-01-29,0.0
Lebanon,2020-01-30,0.0
Lebanon,2020-01-31,0.0
Lebanon,2020-02-01,0.0
Lebanon,2020-02-02,0.0
Lebanon,2020-02-03,0.0
Lebanon,2020-02-04,0.0
Lebanon,2020-02-05,0.0
Lebanon,2020-02-06,0.0
Lebanon,2020-02-07,0.0
Lebanon,2020-02-08,2.78
Lebanon,2020-02-09,2.78
Lebanon,2020-02-10,2.78
Lebanon,2020-02-11,2.78
Lebanon,2020-02-12,2.78
Lebanon,2020-02-13,2.78
Lebanon,2020-02-14,2.78
Lebanon,2020-02-15,2.78
Lebanon,2020-02-16,2.78
Lebanon,2020-02-17,2.78
Lebanon,2020-02-18,2.78
Lebanon,2020-02-19,2.78
Lebanon,2020-02-20,2.78
Lebanon,2020-02-21,8.33
Lebanon,2020-02-22,8.33
Lebanon,2020-02-23,8.33
Lebanon,2020-02-24,8.33
Lebanon,2020-02-25,8.33
Lebanon,2020-02-26,8.33
Lebanon,2020-02-27,8.33
Lebanon,2020-02-28,13.89
Lebanon,2020-02-29,25.0
Lebanon,2020-03-01,25.0
Lebanon,2020-03-02,25.0
Lebanon,2020-03-03,25.0
Lebanon,2020-03-04,25.0
Lebanon,2020-03-05,25.0
Lebanon,2020-03-06,37.96
Lebanon,2020-03-07,37.96
Lebanon,2020-03-08,37.96
Lebanon,2020-03-09,37.96
Lebanon,2020-03-10,37.96
Lebanon,2020-03-11,37.96
Lebanon,2020-03-12,37.96
Lebanon,2020-03-13,37.96
Lebanon,2020-03-14,37.96
Lebanon,2020-03-15,37.96
Lebanon,2020-03-16,52.78
Lebanon,2020-03-17,52.78
Lebanon,2020-03-18,85.19
Lebanon,2020-03-19,85.19
Lebanon,2020-03-20,85.19
Lebanon,2020-03-21,85.19
Lebanon,2020-03-22,85.19
Lebanon,2020-03-23,85.19
Lebanon,2020-03-24,85.19
Lebanon,2020-03-25,85.19
Lebanon,2020-03-26,85.19
Lebanon,2020-03-27,85.19
Lebanon,2020-03-28,85.19
Lebanon,2020-03-29,85.19
Lebanon,2020-03-30,85.19
Lebanon,2020-03-31,85.19
Lebanon,2020-04-01,85.19
