Entity,Date,Stringency Index (OxBSG)
Ireland,2020-01-01,0.0
Ireland,2020-01-02,0.0
Ireland,2020-01-03,0.0
Ireland,2020-01-04,0.0
Ireland,2020-01-05,0.0
Ireland,2020-01-06,0.0
Ireland,2020-01-07,0.0
Ireland,2020-01-08,0.0
Ireland,2020-01-09,0.0
Ireland,2020-01-10,0.0
Ireland,2020-01-11,0.0
Ireland,2020-01-12,0.0
Ireland,2020-01-13,0.0
Ireland,2020-01-14,0.0
Ireland,2020-01-15,0.0
Ireland,2020-01-16,0.0
Ireland,2020-01-17,0.0
Ireland,2020-01-18,0.0
Ireland,2020-01-19,0.0
Ireland,2020-01-20,0.0
Ireland,2020-01-21,0.0
Ireland,2020-01-22,0.0
Ireland,2020-01-23,0.0
Ireland,2020-01-24,0.0
Ireland,2020-01-25,0.0
Ireland,2020-01-26,0.0
Ireland,2020-01-27,0.0
Ireland,2020-01-28,0.0
Ireland,2020-01-29,0.0
Ireland,2020-01-30,0.0
Ireland,2020-01-31,0.0
Ireland,2020-02-01,0.0
Ireland,2020-02-02,0.0
Ireland,2020-02-03,0.0
Ireland,2020-02-04,5.56
Ireland,2020-02-05,5.56
Ireland,2020-02-06,5.56
Ireland,2020-02-07,5.56
Ireland,2020-02-08,5.56
Ireland,2020-02-09,5.56
Ireland,2020-02-10,5.56
Ireland,2020-02-11,5.56
Ireland,2020-02-12,5.56
Ireland,2020-02-13,5.56
Ireland,2020-02-14,5.56
Ireland,2020-02-15,5.56
Ireland,2020-02-16,5.56
Ireland,2020-02-17,5.56
Ireland,2020-02-18,5.56
Ireland,2020-02-19,5.56
Ireland,2020-02-20,5.56
Ireland,2020-02-21,5.56
Ireland,2020-02-22,5.56
Ireland,2020-02-23,5.56
Ireland,2020-02-24,5.56
Ireland,2020-02-25,5.56
Ireland,2020-02-26,5.56
Ireland,2020-02-27,5.56
Ireland,2020-02-28,5.56
Ireland,2020-02-29,11.11
Ireland,2020-03-01,11.11
Ireland,2020-03-02,11.11
Ireland,2020-03-03,11.11
Ireland,2020-03-04,11.11
Ireland,2020-03-05,11.11
Ireland,2020-03-06,11.11
Ireland,2020-03-07,11.11
Ireland,2020-03-08,11.11
Ireland,2020-03-09,11.11
Ireland,2020-03-10,11.11
Ireland,2020-03-11,11.11
Ireland,2020-03-12,31.48
Ireland,2020-03-13,42.59
Ireland,2020-03-14,42.59
Ireland,2020-03-15,48.15
Ireland,2020-03-16,48.15
Ireland,2020-03-17,48.15
Ireland,2020-03-18,48.15
Ireland,2020-03-19,48.15
Ireland,2020-03-20,48.15
Ireland,2020-03-21,48.15
Ireland,2020-03-22,48.15
Ireland,2020-03-23,48.15
Ireland,2020-03-24,48.15
Ireland,2020-03-25,48.15
Ireland,2020-03-26,57.41
Ireland,2020-03-27,75.93
Ireland,2020-03-28,85.19
Ireland,2020-03-29,85.19
Ireland,2020-03-30,85.19
Ireland,2020-03-31,85.19
Ireland,2020-04-01,85.19
Ireland,2020-04-02,85.19
Ireland,2020-04-03,85.19
Ireland,2020-04-04,85.19
Ireland,2020-04-05,85.19
Ireland,2020-04-06,90.74
Ireland,2020-04-07,90.74
Ireland,2020-04-08,90.74
Ireland,2020-04-09,90.74
Ireland,2020-04-10,90.74
Ireland,2020-04-11,90.74
Ireland,2020-04-12,90.74
Ireland,2020-04-13,90.74
Ireland,2020-04-14,90.74
Ireland,2020-04-15,90.74
Ireland,2020-04-16,90.74
Ireland,2020-04-17,90.74
Ireland,2020-04-18,90.74
Ireland,2020-04-19,90.74
Ireland,2020-04-20,90.74
Ireland,2020-04-21,90.74
Ireland,2020-04-22,90.74
Ireland,2020-04-23,90.74
Ireland,2020-04-24,90.74
Ireland,2020-04-25,90.74
Ireland,2020-04-26,90.74
Ireland,2020-04-27,90.74
Ireland,2020-04-28,90.74
Ireland,2020-04-29,90.74
Ireland,2020-04-30,90.74
Ireland,2020-05-01,90.74
Ireland,2020-05-02,90.74
Ireland,2020-05-03,90.74
Ireland,2020-05-04,90.74
Ireland,2020-05-05,90.74
Ireland,2020-05-06,90.74
Ireland,2020-05-07,90.74
Ireland,2020-05-08,90.74
Ireland,2020-05-09,90.74
Ireland,2020-05-10,90.74
Ireland,2020-05-11,90.74
Ireland,2020-05-12,90.74
Ireland,2020-05-13,90.74
Ireland,2020-05-14,90.74
Ireland,2020-05-15,90.74
Ireland,2020-05-16,90.74
Ireland,2020-05-17,90.74
Ireland,2020-05-18,83.33
Ireland,2020-05-19,83.33
Ireland,2020-05-20,83.33
Ireland,2020-05-21,83.33
Ireland,2020-05-22,83.33
Ireland,2020-05-23,83.33
Ireland,2020-05-24,83.33
Ireland,2020-05-25,83.33
Ireland,2020-05-26,83.33
Ireland,2020-05-27,83.33
Ireland,2020-05-28,83.33
Ireland,2020-05-29,83.33
Ireland,2020-05-30,83.33
Ireland,2020-05-31,83.33
Ireland,2020-06-01,83.33
Ireland,2020-06-02,83.33
Ireland,2020-06-03,83.33
Ireland,2020-06-04,83.33
Ireland,2020-06-05,72.22
Ireland,2020-06-06,72.22
Ireland,2020-06-07,72.22
Ireland,2020-06-08,72.22
Ireland,2020-06-09,72.22
Ireland,2020-06-10,72.22
Ireland,2020-06-11,72.22
Ireland,2020-06-12,72.22
Ireland,2020-06-13,72.22
Ireland,2020-06-14,72.22
Ireland,2020-06-15,72.22
Ireland,2020-06-16,72.22
Ireland,2020-06-17,72.22
Ireland,2020-06-18,72.22
Ireland,2020-06-19,72.22
Ireland,2020-06-20,72.22
Ireland,2020-06-21,72.22
Ireland,2020-06-22,72.22
Ireland,2020-06-23,72.22
Ireland,2020-06-24,72.22
Ireland,2020-06-25,72.22
Ireland,2020-06-26,38.89
Ireland,2020-06-27,38.89
Ireland,2020-06-28,38.89
Ireland,2020-06-29,38.89
Ireland,2020-06-30,38.89
Ireland,2020-07-01,38.89
Ireland,2020-07-02,38.89
Ireland,2020-07-03,38.89
Ireland,2020-07-04,38.89
Ireland,2020-07-05,38.89
Ireland,2020-07-06,38.89
Ireland,2020-07-07,38.89
Ireland,2020-07-08,38.89
Ireland,2020-07-09,38.89
Ireland,2020-07-10,38.89
Ireland,2020-07-11,38.89
Ireland,2020-07-12,38.89
Ireland,2020-07-13,38.89
Ireland,2020-07-14,38.89
Ireland,2020-07-15,38.89
Ireland,2020-07-16,38.89
Ireland,2020-07-17,38.89
Ireland,2020-07-18,38.89
Ireland,2020-07-19,38.89
Ireland,2020-07-20,38.89
Ireland,2020-07-21,38.89
Ireland,2020-07-22,38.89
Ireland,2020-07-23,38.89
Ireland,2020-07-24,38.89
Ireland,2020-07-25,38.89
Ireland,2020-07-26,38.89
Ireland,2020-07-27,38.89
Ireland,2020-07-28,38.89
Ireland,2020-07-29,38.89
Ireland,2020-07-30,38.89
Ireland,2020-07-31,38.89
Ireland,2020-08-01,38.89
Ireland,2020-08-02,38.89
Ireland,2020-08-03,38.89
Ireland,2020-08-04,38.89
Ireland,2020-08-05,38.89
Ireland,2020-08-06,38.89
Ireland,2020-08-07,38.89
Ireland,2020-08-08,59.72
Ireland,2020-08-09,59.72
Ireland,2020-08-10,59.72
Ireland,2020-08-11,59.72
Ireland,2020-08-12,59.72
Ireland,2020-08-13,59.72
Ireland,2020-08-14,59.72
Ireland,2020-08-15,59.72
Ireland,2020-08-16,59.72
Ireland,2020-08-17,59.72
Ireland,2020-08-18,70.83
Ireland,2020-08-19,70.83
Ireland,2020-08-20,70.83
Ireland,2020-08-21,70.83
Ireland,2020-08-22,70.83
Ireland,2020-08-23,70.83
Ireland,2020-08-24,70.83
Ireland,2020-08-25,70.83
Ireland,2020-08-26,70.83
Ireland,2020-08-27,70.83
Ireland,2020-08-28,70.83
Ireland,2020-08-29,70.83
Ireland,2020-08-30,70.83
Ireland,2020-08-31,70.83
Ireland,2020-09-01,70.83
Ireland,2020-09-02,70.83
Ireland,2020-09-03,70.83
Ireland,2020-09-04,70.83
Ireland,2020-09-05,70.83
Ireland,2020-09-06,70.83
Ireland,2020-09-07,70.83
Ireland,2020-09-08,70.83
Ireland,2020-09-09,70.83
Ireland,2020-09-10,70.83
Ireland,2020-09-11,70.83
Ireland,2020-09-12,70.83
Ireland,2020-09-13,70.83
Ireland,2020-09-14,70.83
Ireland,2020-09-15,70.83
Ireland,2020-09-16,70.83
Ireland,2020-09-17,70.83
Ireland,2020-09-18,63.43
Ireland,2020-09-19,63.43
Ireland,2020-09-20,63.43
Ireland,2020-09-21,52.31
Ireland,2020-09-22,52.31
Ireland,2020-09-23,52.31
Ireland,2020-09-24,52.31
Ireland,2020-09-25,52.31
Ireland,2020-09-26,52.31
Ireland,2020-09-27,52.31
Ireland,2020-09-28,52.31
Ireland,2020-09-29,52.31
Ireland,2020-09-30,52.31
Ireland,2020-10-01,52.31
Ireland,2020-10-02,52.31
Ireland,2020-10-03,52.31
Ireland,2020-10-04,52.31
Ireland,2020-10-05,52.31
Ireland,2020-10-06,52.31
Ireland,2020-10-07,61.57
Ireland,2020-10-08,61.57
Ireland,2020-10-09,61.57
Ireland,2020-10-10,61.57
Ireland,2020-10-11,61.57
