Entity,Date,Stringency Index (OxBSG)
Central African Republic,2020-01-01,0.0
Central African Republic,2020-01-02,0.0
Central African Republic,2020-01-03,0.0
Central African Republic,2020-01-04,0.0
Central African Republic,2020-01-05,0.0
Central African Republic,2020-01-06,0.0
Central African Republic,2020-01-07,0.0
Central African Republic,2020-01-08,0.0
Central African Republic,2020-01-09,0.0
Central African Republic,2020-01-10,0.0
Central African Republic,2020-01-11,0.0
Central African Republic,2020-01-12,0.0
Central African Republic,2020-01-13,0.0
Central African Republic,2020-01-14,0.0
Central African Republic,2020-01-15,0.0
Central African Republic,2020-01-16,0.0
Central African Republic,2020-01-17,0.0
Central African Republic,2020-01-18,0.0
Central African Republic,2020-01-19,0.0
Central African Republic,2020-01-20,0.0
Central African Republic,2020-01-21,0.0
Central African Republic,2020-01-22,0.0
Central African Republic,2020-01-23,0.0
Central African Republic,2020-01-24,0.0
Central African Republic,2020-01-25,0.0
Central African Republic,2020-01-26,0.0
Central African Republic,2020-01-27,0.0
Central African Republic,2020-01-28,0.0
Central African Republic,2020-01-29,0.0
Central African Republic,2020-01-30,0.0
Central African Republic,2020-01-31,0.0
Central African Republic,2020-02-01,0.0
Central African Republic,2020-02-02,0.0
Central African Republic,2020-02-03,0.0
Central African Republic,2020-02-04,0.0
Central African Republic,2020-02-05,0.0
Central African Republic,2020-02-06,0.0
Central African Republic,2020-02-07,0.0
Central African Republic,2020-02-08,0.0
Central African Republic,2020-02-09,0.0
Central African Republic,2020-02-10,0.0
Central African Republic,2020-02-11,0.0
Central African Republic,2020-02-12,0.0
Central African Republic,2020-02-13,0.0
Central African Republic,2020-02-14,0.0
Central African Republic,2020-02-15,0.0
Central African Republic,2020-02-16,0.0
Central African Republic,2020-02-17,0.0
Central African Republic,2020-02-18,0.0
Central African Republic,2020-02-19,0.0
Central African Republic,2020-02-20,0.0
Central African Republic,2020-02-21,0.0
Central African Republic,2020-02-22,0.0
Central African Republic,2020-02-23,0.0
Central African Republic,2020-02-24,0.0
Central African Republic,2020-02-25,0.0
Central African Republic,2020-02-26,0.0
Central African Republic,2020-02-27,0.0
Central African Republic,2020-02-28,0.0
Central African Republic,2020-02-29,0.0
Central African Republic,2020-03-01,0.0
Central African Republic,2020-03-02,0.0
Central African Republic,2020-03-03,0.0
Central African Republic,2020-03-04,0.0
Central African Republic,2020-03-05,0.0
Central African Republic,2020-03-06,0.0
Central African Republic,2020-03-07,0.0
Central African Republic,2020-03-08,0.0
Central African Republic,2020-03-09,0.0
Central African Republic,2020-03-10,0.0
Central African Republic,2020-03-11,0.0
Central African Republic,2020-03-12,0.0
Central African Republic,2020-03-13,0.0
Central African Republic,2020-03-14,11.11
Central African Republic,2020-03-15,11.11
Central African Republic,2020-03-16,11.11
Central African Republic,2020-03-17,11.11
Central African Republic,2020-03-18,11.11
Central African Republic,2020-03-19,11.11
Central African Republic,2020-03-20,11.11
Central African Republic,2020-03-21,11.11
Central African Republic,2020-03-22,11.11
Central African Republic,2020-03-23,11.11
Central African Republic,2020-03-24,11.11
Central African Republic,2020-03-25,11.11
Central African Republic,2020-03-26,68.52
Central African Republic,2020-03-27,68.52
Central African Republic,2020-03-28,68.52
Central African Republic,2020-03-29,68.52
Central African Republic,2020-03-30,68.52
Central African Republic,2020-03-31,68.52
Central African Republic,2020-04-01,68.52
Central African Republic,2020-04-02,68.52
Central African Republic,2020-04-03,68.52
Central African Republic,2020-04-04,68.52
Central African Republic,2020-04-05,68.52
Central African Republic,2020-04-06,68.52
Central African Republic,2020-04-07,68.52
Central African Republic,2020-04-08,68.52
Central African Republic,2020-04-09,68.52
Central African Republic,2020-04-10,68.52
Central African Republic,2020-04-11,68.52
Central African Republic,2020-04-12,68.52
Central African Republic,2020-04-13,68.52
Central African Republic,2020-04-14,68.52
Central African Republic,2020-04-15,68.52
Central African Republic,2020-04-16,68.52
Central African Republic,2020-04-17,68.52
Central African Republic,2020-04-18,68.52
Central African Republic,2020-04-19,68.52
Central African Republic,2020-04-20,68.52
Central African Republic,2020-04-21,68.52
Central African Republic,2020-04-22,68.52
Central African Republic,2020-04-23,68.52
Central African Republic,2020-04-24,68.52
Central African Republic,2020-04-25,68.52
Central African Republic,2020-04-26,68.52
Central African Republic,2020-04-27,68.52
Central African Republic,2020-04-28,68.52
Central African Republic,2020-04-29,68.52
Central African Republic,2020-04-30,68.52
Central African Republic,2020-05-01,68.52
Central African Republic,2020-05-02,68.52
Central African Republic,2020-05-03,68.52
Central African Republic,2020-05-04,68.52
Central African Republic,2020-05-05,68.52
Central African Republic,2020-05-06,68.52
Central African Republic,2020-05-07,68.52
Central African Republic,2020-05-08,75.93
Central African Republic,2020-05-09,75.93
Central African Republic,2020-05-10,75.93
Central African Republic,2020-05-11,75.93
Central African Republic,2020-05-12,75.93
Central African Republic,2020-05-13,75.93
Central African Republic,2020-05-14,75.93
Central African Republic,2020-05-15,75.93
Central African Republic,2020-05-16,75.93
Central African Republic,2020-05-17,75.93
Central African Republic,2020-05-18,75.93
Central African Republic,2020-05-19,75.93
Central African Republic,2020-05-20,75.93
Central African Republic,2020-05-21,75.93
Central African Republic,2020-05-22,75.93
Central African Republic,2020-05-23,75.93
Central African Republic,2020-05-24,75.93
Central African Republic,2020-05-25,75.93
Central African Republic,2020-05-26,75.93
Central African Republic,2020-05-27,75.93
Central African Republic,2020-05-28,75.93
Central African Republic,2020-05-29,75.93
Central African Republic,2020-05-30,75.93
Central African Republic,2020-05-31,75.93
Central African Republic,2020-06-01,75.93
Central African Republic,2020-06-02,75.93
Central African Republic,2020-06-03,75.93
Central African Republic,2020-06-04,75.93
Central African Republic,2020-06-05,75.93
Central African Republic,2020-06-06,75.93
Central African Republic,2020-06-07,75.93
Central African Republic,2020-06-08,75.93
Central African Republic,2020-06-09,75.93
Central African Republic,2020-06-10,75.93
Central African Republic,2020-06-11,64.81
Central African Republic,2020-06-12,64.81
Central African Republic,2020-06-13,64.81
Central African Republic,2020-06-14,64.81
Central African Republic,2020-06-15,64.81
Central African Republic,2020-06-16,64.81
Central African Republic,2020-06-17,64.81
Central African Republic,2020-06-18,64.81
Central African Republic,2020-06-19,64.81
Central African Republic,2020-06-20,64.81
Central African Republic,2020-06-21,64.81
Central African Republic,2020-06-22,64.81
Central African Republic,2020-06-23,64.81
Central African Republic,2020-06-24,64.81
Central African Republic,2020-06-25,64.81
Central African Republic,2020-06-26,64.81
Central African Republic,2020-06-27,64.81
Central African Republic,2020-06-28,64.81
Central African Republic,2020-06-29,64.81
Central African Republic,2020-06-30,64.81
Central African Republic,2020-07-01,64.81
Central African Republic,2020-07-02,64.81
Central African Republic,2020-07-03,64.81
Central African Republic,2020-07-04,64.81
Central African Republic,2020-07-05,64.81
Central African Republic,2020-07-06,64.81
Central African Republic,2020-07-07,64.81
Central African Republic,2020-07-08,64.81
Central African Republic,2020-07-09,64.81
Central African Republic,2020-07-10,64.81
Central African Republic,2020-07-11,64.81
Central African Republic,2020-07-12,64.81
Central African Republic,2020-07-13,64.81
Central African Republic,2020-07-14,53.7
Central African Republic,2020-07-15,53.7
Central African Republic,2020-07-16,53.7
Central African Republic,2020-07-17,53.7
Central African Republic,2020-07-18,53.7
Central African Republic,2020-07-19,53.7
Central African Republic,2020-07-20,53.7
Central African Republic,2020-07-21,53.7
Central African Republic,2020-07-22,53.7
Central African Republic,2020-07-23,53.7
Central African Republic,2020-07-24,54.63
Central African Republic,2020-07-25,54.63
Central African Republic,2020-07-26,54.63
Central African Republic,2020-07-27,54.63
Central African Republic,2020-07-28,54.63
Central African Republic,2020-07-29,54.63
Central African Republic,2020-07-30,54.63
Central African Republic,2020-07-31,54.63
Central African Republic,2020-08-01,54.63
Central African Republic,2020-08-02,54.63
Central African Republic,2020-08-03,54.63
Central African Republic,2020-08-04,54.63
Central African Republic,2020-08-05,54.63
Central African Republic,2020-08-06,54.63
Central African Republic,2020-08-07,54.63
Central African Republic,2020-08-08,54.63
Central African Republic,2020-08-09,54.63
Central African Republic,2020-08-10,54.63
Central African Republic,2020-08-11,54.63
Central African Republic,2020-08-12,54.63
Central African Republic,2020-08-13,54.63
Central African Republic,2020-08-14,54.63
Central African Republic,2020-08-15,54.63
Central African Republic,2020-08-16,54.63
Central African Republic,2020-08-17,54.63
Central African Republic,2020-08-18,54.63
Central African Republic,2020-08-19,54.63
Central African Republic,2020-08-20,54.63
Central African Republic,2020-08-21,54.63
Central African Republic,2020-08-22,54.63
Central African Republic,2020-08-23,54.63
Central African Republic,2020-08-24,54.63
Central African Republic,2020-08-25,54.63
Central African Republic,2020-08-26,54.63
Central African Republic,2020-08-27,54.63
Central African Republic,2020-08-28,54.63
Central African Republic,2020-08-29,54.63
Central African Republic,2020-08-30,54.63
Central African Republic,2020-08-31,54.63
Central African Republic,2020-09-01,54.63
Central African Republic,2020-09-02,54.63
Central African Republic,2020-09-03,54.63
Central African Republic,2020-09-04,54.63
Central African Republic,2020-09-05,54.63
Central African Republic,2020-09-06,54.63
Central African Republic,2020-09-07,54.63
Central African Republic,2020-09-08,54.63
Central African Republic,2020-09-09,54.63
Central African Republic,2020-09-10,54.63
Central African Republic,2020-09-11,54.63
Central African Republic,2020-09-12,54.63
Central African Republic,2020-09-13,54.63
Central African Republic,2020-09-14,54.63
Central African Republic,2020-09-15,56.48
Central African Republic,2020-09-16,56.48
Central African Republic,2020-09-17,56.48
Central African Republic,2020-09-18,56.48
Central African Republic,2020-09-19,56.48
Central African Republic,2020-09-20,56.48
Central African Republic,2020-09-21,56.48
Central African Republic,2020-09-22,56.48
Central African Republic,2020-09-23,56.48
Central African Republic,2020-09-24,56.48
Central African Republic,2020-09-25,56.48
Central African Republic,2020-09-26,56.48
Central African Republic,2020-09-27,56.48
Central African Republic,2020-09-28,56.48
Central African Republic,2020-09-29,56.48
Central African Republic,2020-09-30,56.48
Central African Republic,2020-10-01,56.48
Central African Republic,2020-10-02,56.48
Central African Republic,2020-10-03,56.48
Central African Republic,2020-10-04,56.48
Central African Republic,2020-10-05,56.48
Central African Republic,2020-10-06,56.48
Central African Republic,2020-10-07,56.48
Central African Republic,2020-10-08,56.48
Central African Republic,2020-10-09,56.48
Central African Republic,2020-10-10,56.48
Central African Republic,2020-10-11,56.48
Central African Republic,2020-10-12,56.48
Central African Republic,2020-10-13,56.48
Central African Republic,2020-10-14,56.48
Central African Republic,2020-10-15,56.48
Central African Republic,2020-10-16,56.48
Central African Republic,2020-10-17,31.48
Central African Republic,2020-10-18,31.48
Central African Republic,2020-10-19,31.48
Central African Republic,2020-10-20,31.48
Central African Republic,2020-10-21,31.48
Central African Republic,2020-10-22,31.48
Central African Republic,2020-10-23,31.48
Central African Republic,2020-10-24,31.48
Central African Republic,2020-10-25,31.48
Central African Republic,2020-10-26,31.48
