Entity,Date,Stringency Index (OxBSG)
United Arab Emirates,2020-01-01,0.0
United Arab Emirates,2020-01-02,0.0
United Arab Emirates,2020-01-03,0.0
United Arab Emirates,2020-01-04,0.0
United Arab Emirates,2020-01-05,0.0
United Arab Emirates,2020-01-06,0.0
United Arab Emirates,2020-01-07,0.0
United Arab Emirates,2020-01-08,0.0
United Arab Emirates,2020-01-09,0.0
United Arab Emirates,2020-01-10,0.0
United Arab Emirates,2020-01-11,0.0
United Arab Emirates,2020-01-12,0.0
United Arab Emirates,2020-01-13,0.0
United Arab Emirates,2020-01-14,0.0
United Arab Emirates,2020-01-15,0.0
United Arab Emirates,2020-01-16,0.0
United Arab Emirates,2020-01-17,0.0
United Arab Emirates,2020-01-18,0.0
United Arab Emirates,2020-01-19,0.0
United Arab Emirates,2020-01-20,0.0
United Arab Emirates,2020-01-21,0.0
United Arab Emirates,2020-01-22,0.0
United Arab Emirates,2020-01-23,2.78
United Arab Emirates,2020-01-24,2.78
United Arab Emirates,2020-01-25,2.78
United Arab Emirates,2020-01-26,2.78
United Arab Emirates,2020-01-27,2.78
United Arab Emirates,2020-01-28,2.78
United Arab Emirates,2020-01-29,2.78
United Arab Emirates,2020-01-30,2.78
United Arab Emirates,2020-01-31,2.78
United Arab Emirates,2020-02-01,2.78
United Arab Emirates,2020-02-02,2.78
United Arab Emirates,2020-02-03,2.78
United Arab Emirates,2020-02-04,2.78
United Arab Emirates,2020-02-05,2.78
United Arab Emirates,2020-02-06,2.78
United Arab Emirates,2020-02-07,2.78
United Arab Emirates,2020-02-08,2.78
United Arab Emirates,2020-02-09,2.78
United Arab Emirates,2020-02-10,2.78
United Arab Emirates,2020-02-11,2.78
United Arab Emirates,2020-02-12,2.78
United Arab Emirates,2020-02-13,2.78
United Arab Emirates,2020-02-14,2.78
United Arab Emirates,2020-02-15,2.78
United Arab Emirates,2020-02-16,2.78
United Arab Emirates,2020-02-17,2.78
United Arab Emirates,2020-02-18,2.78
United Arab Emirates,2020-02-19,2.78
United Arab Emirates,2020-02-20,2.78
United Arab Emirates,2020-02-21,2.78
United Arab Emirates,2020-02-22,2.78
United Arab Emirates,2020-02-23,2.78
United Arab Emirates,2020-02-24,8.33
United Arab Emirates,2020-02-25,8.33
United Arab Emirates,2020-02-26,8.33
United Arab Emirates,2020-02-27,8.33
United Arab Emirates,2020-02-28,8.33
United Arab Emirates,2020-02-29,8.33
United Arab Emirates,2020-03-01,15.74
United Arab Emirates,2020-03-02,15.74
United Arab Emirates,2020-03-03,15.74
United Arab Emirates,2020-03-04,15.74
United Arab Emirates,2020-03-05,15.74
United Arab Emirates,2020-03-06,15.74
United Arab Emirates,2020-03-07,15.74
United Arab Emirates,2020-03-08,21.3
United Arab Emirates,2020-03-09,21.3
United Arab Emirates,2020-03-10,21.3
United Arab Emirates,2020-03-11,32.41
United Arab Emirates,2020-03-12,32.41
United Arab Emirates,2020-03-13,34.26
United Arab Emirates,2020-03-14,34.26
United Arab Emirates,2020-03-15,34.26
United Arab Emirates,2020-03-16,45.37
United Arab Emirates,2020-03-17,45.37
United Arab Emirates,2020-03-18,45.37
United Arab Emirates,2020-03-19,45.37
United Arab Emirates,2020-03-20,45.37
United Arab Emirates,2020-03-21,45.37
United Arab Emirates,2020-03-22,45.37
United Arab Emirates,2020-03-23,62.04
United Arab Emirates,2020-03-24,62.04
United Arab Emirates,2020-03-25,70.37
United Arab Emirates,2020-03-26,73.15
United Arab Emirates,2020-03-27,84.26
United Arab Emirates,2020-03-28,84.26
United Arab Emirates,2020-03-29,84.26
United Arab Emirates,2020-03-30,84.26
United Arab Emirates,2020-03-31,84.26
United Arab Emirates,2020-04-01,84.26
United Arab Emirates,2020-04-02,84.26
United Arab Emirates,2020-04-03,84.26
United Arab Emirates,2020-04-04,89.81
United Arab Emirates,2020-04-05,89.81
United Arab Emirates,2020-04-06,89.81
United Arab Emirates,2020-04-07,89.81
United Arab Emirates,2020-04-08,89.81
United Arab Emirates,2020-04-09,89.81
United Arab Emirates,2020-04-10,89.81
United Arab Emirates,2020-04-11,89.81
United Arab Emirates,2020-04-12,89.81
United Arab Emirates,2020-04-13,89.81
United Arab Emirates,2020-04-14,89.81
United Arab Emirates,2020-04-15,89.81
United Arab Emirates,2020-04-16,89.81
United Arab Emirates,2020-04-17,87.04
United Arab Emirates,2020-04-18,87.04
United Arab Emirates,2020-04-19,87.04
United Arab Emirates,2020-04-20,87.04
United Arab Emirates,2020-04-21,87.04
United Arab Emirates,2020-04-22,87.04
