Entity,Date,Stringency Index (OxBSG)
Mali,2020-01-01,0.0
Mali,2020-01-02,0.0
Mali,2020-01-03,0.0
Mali,2020-01-04,0.0
Mali,2020-01-05,0.0
Mali,2020-01-06,0.0
Mali,2020-01-07,0.0
Mali,2020-01-08,0.0
Mali,2020-01-09,0.0
Mali,2020-01-10,0.0
Mali,2020-01-11,0.0
Mali,2020-01-12,0.0
Mali,2020-01-13,0.0
Mali,2020-01-14,0.0
Mali,2020-01-15,0.0
Mali,2020-01-16,0.0
Mali,2020-01-17,0.0
Mali,2020-01-18,0.0
Mali,2020-01-19,0.0
Mali,2020-01-20,0.0
Mali,2020-01-21,0.0
Mali,2020-01-22,0.0
Mali,2020-01-23,0.0
Mali,2020-01-24,0.0
Mali,2020-01-25,0.0
Mali,2020-01-26,0.0
Mali,2020-01-27,0.0
Mali,2020-01-28,0.0
Mali,2020-01-29,0.0
Mali,2020-01-30,0.0
Mali,2020-01-31,0.0
Mali,2020-02-01,0.0
Mali,2020-02-02,0.0
Mali,2020-02-03,0.0
Mali,2020-02-04,0.0
Mali,2020-02-05,0.0
Mali,2020-02-06,0.0
Mali,2020-02-07,0.0
Mali,2020-02-08,0.0
Mali,2020-02-09,0.0
Mali,2020-02-10,0.0
Mali,2020-02-11,0.0
Mali,2020-02-12,0.0
Mali,2020-02-13,0.0
Mali,2020-02-14,0.0
Mali,2020-02-15,0.0
Mali,2020-02-16,0.0
Mali,2020-02-17,0.0
Mali,2020-02-18,0.0
Mali,2020-02-19,0.0
Mali,2020-02-20,0.0
Mali,2020-02-21,0.0
Mali,2020-02-22,0.0
Mali,2020-02-23,0.0
Mali,2020-02-24,0.0
Mali,2020-02-25,0.0
Mali,2020-02-26,0.0
Mali,2020-02-27,0.0
Mali,2020-02-28,0.0
Mali,2020-02-29,0.0
Mali,2020-03-01,0.0
Mali,2020-03-02,0.0
Mali,2020-03-03,0.0
Mali,2020-03-04,0.0
Mali,2020-03-05,0.0
Mali,2020-03-06,0.0
Mali,2020-03-07,0.0
Mali,2020-03-08,0.0
Mali,2020-03-09,0.0
Mali,2020-03-10,0.0
Mali,2020-03-11,0.0
Mali,2020-03-12,0.0
Mali,2020-03-13,0.0
Mali,2020-03-14,0.0
Mali,2020-03-15,0.0
Mali,2020-03-16,0.0
Mali,2020-03-17,0.0
Mali,2020-03-18,11.11
Mali,2020-03-19,22.22
Mali,2020-03-20,22.22
Mali,2020-03-21,22.22
Mali,2020-03-22,22.22
Mali,2020-03-23,22.22
Mali,2020-03-24,22.22
Mali,2020-03-25,72.22
Mali,2020-03-26,72.22
Mali,2020-03-27,72.22
Mali,2020-03-28,72.22
Mali,2020-03-29,72.22
Mali,2020-03-30,72.22
Mali,2020-03-31,72.22
Mali,2020-04-01,72.22
Mali,2020-04-02,72.22
Mali,2020-04-03,72.22
Mali,2020-04-04,72.22
Mali,2020-04-05,72.22
Mali,2020-04-06,72.22
Mali,2020-04-07,72.22
Mali,2020-04-08,72.22
Mali,2020-04-09,72.22
Mali,2020-04-10,72.22
Mali,2020-04-11,72.22
Mali,2020-04-12,72.22
Mali,2020-04-13,72.22
Mali,2020-04-14,72.22
Mali,2020-04-15,72.22
Mali,2020-04-16,72.22
Mali,2020-04-17,72.22
Mali,2020-04-18,72.22
Mali,2020-04-19,72.22
Mali,2020-04-20,72.22
Mali,2020-04-21,72.22
Mali,2020-04-22,72.22
Mali,2020-04-23,72.22
Mali,2020-04-24,72.22
Mali,2020-04-25,72.22
Mali,2020-04-26,72.22
Mali,2020-04-27,72.22
Mali,2020-04-28,72.22
Mali,2020-04-29,72.22
Mali,2020-04-30,72.22
Mali,2020-05-01,69.44
Mali,2020-05-02,69.44
Mali,2020-05-03,69.44
Mali,2020-05-04,69.44
Mali,2020-05-05,69.44
Mali,2020-05-06,69.44
Mali,2020-05-07,69.44
Mali,2020-05-08,69.44
Mali,2020-05-09,69.44
Mali,2020-05-10,56.48
Mali,2020-05-11,56.48
Mali,2020-05-12,56.48
Mali,2020-05-13,56.48
Mali,2020-05-14,56.48
Mali,2020-05-15,56.48
Mali,2020-05-16,56.48
Mali,2020-05-17,56.48
Mali,2020-05-18,56.48
Mali,2020-05-19,56.48
Mali,2020-05-20,56.48
Mali,2020-05-21,56.48
Mali,2020-05-22,56.48
Mali,2020-05-23,56.48
Mali,2020-05-24,56.48
Mali,2020-05-25,56.48
Mali,2020-05-26,56.48
Mali,2020-05-27,56.48
Mali,2020-05-28,56.48
Mali,2020-05-29,56.48
Mali,2020-05-30,56.48
Mali,2020-05-31,56.48
Mali,2020-06-01,56.48
Mali,2020-06-02,52.78
Mali,2020-06-03,52.78
Mali,2020-06-04,52.78
Mali,2020-06-05,52.78
Mali,2020-06-06,52.78
Mali,2020-06-07,52.78
Mali,2020-06-08,52.78
Mali,2020-06-09,52.78
