Entity,Date,Stringency Index (OxBSG)
Egypt,2020-01-01,0.0
Egypt,2020-01-02,0.0
Egypt,2020-01-03,0.0
Egypt,2020-01-04,0.0
Egypt,2020-01-05,0.0
Egypt,2020-01-06,0.0
Egypt,2020-01-07,0.0
Egypt,2020-01-08,0.0
Egypt,2020-01-09,0.0
Egypt,2020-01-10,0.0
Egypt,2020-01-11,0.0
Egypt,2020-01-12,0.0
Egypt,2020-01-13,0.0
Egypt,2020-01-14,0.0
Egypt,2020-01-15,0.0
Egypt,2020-01-16,0.0
Egypt,2020-01-17,0.0
Egypt,2020-01-18,0.0
Egypt,2020-01-19,0.0
Egypt,2020-01-20,0.0
Egypt,2020-01-21,0.0
Egypt,2020-01-22,0.0
Egypt,2020-01-23,0.0
Egypt,2020-01-24,0.0
Egypt,2020-01-25,0.0
Egypt,2020-01-26,0.0
Egypt,2020-01-27,0.0
Egypt,2020-01-28,0.0
Egypt,2020-01-29,0.0
Egypt,2020-01-30,0.0
Egypt,2020-01-31,0.0
Egypt,2020-02-01,0.0
Egypt,2020-02-02,0.0
Egypt,2020-02-03,0.0
Egypt,2020-02-04,0.0
Egypt,2020-02-05,0.0
Egypt,2020-02-06,0.0
Egypt,2020-02-07,0.0
Egypt,2020-02-08,0.0
Egypt,2020-02-09,0.0
Egypt,2020-02-10,0.0
Egypt,2020-02-11,0.0
Egypt,2020-02-12,0.0
Egypt,2020-02-13,0.0
Egypt,2020-02-14,0.0
Egypt,2020-02-15,0.0
Egypt,2020-02-16,0.0
Egypt,2020-02-17,0.0
Egypt,2020-02-18,0.0
Egypt,2020-02-19,0.0
Egypt,2020-02-20,0.0
Egypt,2020-02-21,0.0
Egypt,2020-02-22,0.0
Egypt,2020-02-23,0.0
Egypt,2020-02-24,0.0
Egypt,2020-02-25,0.0
Egypt,2020-02-26,0.0
Egypt,2020-02-27,0.0
Egypt,2020-02-28,0.0
Egypt,2020-02-29,0.0
Egypt,2020-03-01,0.0
Egypt,2020-03-02,0.0
Egypt,2020-03-03,0.0
Egypt,2020-03-04,0.0
Egypt,2020-03-05,0.0
Egypt,2020-03-06,0.0
Egypt,2020-03-07,0.0
Egypt,2020-03-08,0.0
Egypt,2020-03-09,0.0
Egypt,2020-03-10,0.0
Egypt,2020-03-11,0.0
Egypt,2020-03-12,0.0
Egypt,2020-03-13,0.0
Egypt,2020-03-14,0.0
Egypt,2020-03-15,11.11
Egypt,2020-03-16,18.52
Egypt,2020-03-17,18.52
Egypt,2020-03-18,18.52
Egypt,2020-03-19,29.63
Egypt,2020-03-20,29.63
Egypt,2020-03-21,40.74
Egypt,2020-03-22,40.74
Egypt,2020-03-23,40.74
Egypt,2020-03-24,51.85
Egypt,2020-03-25,84.26
Egypt,2020-03-26,84.26
Egypt,2020-03-27,84.26
Egypt,2020-03-28,84.26
Egypt,2020-03-29,84.26
Egypt,2020-03-30,84.26
Egypt,2020-03-31,84.26
Egypt,2020-04-01,84.26
Egypt,2020-04-02,84.26
Egypt,2020-04-03,84.26
Egypt,2020-04-04,84.26
Egypt,2020-04-05,84.26
Egypt,2020-04-06,84.26
Egypt,2020-04-07,84.26
Egypt,2020-04-08,84.26
Egypt,2020-04-09,84.26
Egypt,2020-04-10,84.26
Egypt,2020-04-11,84.26
Egypt,2020-04-12,84.26
Egypt,2020-04-13,84.26
Egypt,2020-04-14,84.26
Egypt,2020-04-15,84.26
Egypt,2020-04-16,84.26
Egypt,2020-04-17,84.26
Egypt,2020-04-18,84.26
Egypt,2020-04-19,84.26
Egypt,2020-04-20,84.26
Egypt,2020-04-21,84.26
Egypt,2020-04-22,84.26
Egypt,2020-04-23,84.26
Egypt,2020-04-24,84.26
Egypt,2020-04-25,84.26
Egypt,2020-04-26,84.26
Egypt,2020-04-27,84.26
Egypt,2020-04-28,84.26
Egypt,2020-04-29,84.26
Egypt,2020-04-30,84.26
Egypt,2020-05-01,84.26
Egypt,2020-05-02,84.26
Egypt,2020-05-03,84.26
Egypt,2020-05-04,84.26
Egypt,2020-05-05,84.26
Egypt,2020-05-06,84.26
Egypt,2020-05-07,84.26
Egypt,2020-05-08,84.26
Egypt,2020-05-09,84.26
Egypt,2020-05-10,84.26
Egypt,2020-05-11,84.26
Egypt,2020-05-12,84.26
Egypt,2020-05-13,84.26
Egypt,2020-05-14,84.26
Egypt,2020-05-15,84.26
Egypt,2020-05-16,84.26
Egypt,2020-05-17,84.26
Egypt,2020-05-18,84.26
Egypt,2020-05-19,84.26
Egypt,2020-05-20,84.26
Egypt,2020-05-21,84.26
Egypt,2020-05-22,84.26
Egypt,2020-05-23,84.26
Egypt,2020-05-24,84.26
Egypt,2020-05-25,84.26
Egypt,2020-05-26,84.26
Egypt,2020-05-27,84.26
Egypt,2020-05-28,84.26
Egypt,2020-05-29,84.26
Egypt,2020-05-30,84.26
Egypt,2020-05-31,84.26
Egypt,2020-06-01,84.26
Egypt,2020-06-02,84.26
Egypt,2020-06-03,84.26
Egypt,2020-06-04,84.26
Egypt,2020-06-05,84.26
Egypt,2020-06-06,84.26
Egypt,2020-06-07,71.3
Egypt,2020-06-08,71.3
Egypt,2020-06-09,71.3
Egypt,2020-06-10,71.3
Egypt,2020-06-11,71.3
Egypt,2020-06-12,71.3
Egypt,2020-06-13,71.3
Egypt,2020-06-14,71.3
Egypt,2020-06-15,71.3
Egypt,2020-06-16,71.3
Egypt,2020-06-17,71.3
Egypt,2020-06-18,71.3
Egypt,2020-06-19,71.3
Egypt,2020-06-20,71.3
Egypt,2020-06-21,71.3
Egypt,2020-06-22,71.3
Egypt,2020-06-23,71.3
Egypt,2020-06-24,71.3
Egypt,2020-06-25,71.3
Egypt,2020-06-26,71.3
Egypt,2020-06-27,71.3
Egypt,2020-06-28,71.3
Egypt,2020-06-29,71.3
Egypt,2020-06-30,71.3
Egypt,2020-07-01,60.19
Egypt,2020-07-02,60.19
Egypt,2020-07-03,60.19
Egypt,2020-07-04,60.19
Egypt,2020-07-05,60.19
Egypt,2020-07-06,60.19
Egypt,2020-07-07,60.19
Egypt,2020-07-08,60.19
Egypt,2020-07-09,60.19
Egypt,2020-07-10,60.19
Egypt,2020-07-11,60.19
Egypt,2020-07-12,60.19
Egypt,2020-07-13,60.19
Egypt,2020-07-14,60.19
Egypt,2020-07-15,60.19
Egypt,2020-07-16,60.19
Egypt,2020-07-17,60.19
Egypt,2020-07-18,60.19
Egypt,2020-07-19,60.19
Egypt,2020-07-20,60.19
Egypt,2020-07-21,60.19
Egypt,2020-07-22,60.19
Egypt,2020-07-23,60.19
Egypt,2020-07-24,60.19
Egypt,2020-07-25,60.19
Egypt,2020-07-26,60.19
Egypt,2020-07-27,60.19
Egypt,2020-07-28,60.19
Egypt,2020-07-29,60.19
Egypt,2020-07-30,60.19
Egypt,2020-07-31,60.19
Egypt,2020-08-01,60.19
Egypt,2020-08-02,60.19
Egypt,2020-08-03,62.96
Egypt,2020-08-04,62.96
Egypt,2020-08-05,62.96
Egypt,2020-08-06,62.96
Egypt,2020-08-07,62.96
Egypt,2020-08-08,62.96
Egypt,2020-08-09,62.96
Egypt,2020-08-10,62.96
Egypt,2020-08-11,62.96
Egypt,2020-08-12,62.96
Egypt,2020-08-13,62.96
Egypt,2020-08-14,62.96
Egypt,2020-08-15,62.96
Egypt,2020-08-16,62.96
Egypt,2020-08-17,62.96
Egypt,2020-08-18,62.96
Egypt,2020-08-19,62.96
Egypt,2020-08-20,62.96
Egypt,2020-08-21,62.96
Egypt,2020-08-22,62.96
Egypt,2020-08-23,62.96
Egypt,2020-08-24,62.96
Egypt,2020-08-25,62.96
Egypt,2020-08-26,62.96
Egypt,2020-08-27,62.96
Egypt,2020-08-28,62.96
Egypt,2020-08-29,62.96
Egypt,2020-08-30,62.96
Egypt,2020-08-31,62.96
Egypt,2020-09-01,62.96
Egypt,2020-09-02,62.96
Egypt,2020-09-03,62.96
Egypt,2020-09-04,62.96
Egypt,2020-09-05,62.96
Egypt,2020-09-06,62.96
Egypt,2020-09-07,62.96
Egypt,2020-09-08,62.96
Egypt,2020-09-09,62.96
Egypt,2020-09-10,62.96
Egypt,2020-09-11,62.96
Egypt,2020-09-12,62.96
