time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,1,0,1,0,0
2020-03-13,1,0,1,0,0
2020-03-14,2,1,2,0,0
2020-03-15,2,0,2,0,0
2020-03-16,4,2,4,0,0
2020-03-17,5,1,5,0,0
2020-03-18,7,2,7,0,0
2020-03-19,9,2,9,0,0
2020-03-20,9,0,9,0,0
2020-03-21,49,40,49,0,0
2020-03-22,50,1,50,0,0
2020-03-23,51,1,51,0,0
2020-03-24,57,6,57,0,0
2020-03-25,60,3,59,1,0
2020-03-26,65,5,64,1,0
2020-03-27,66,1,63,2,1
2020-03-28,76,10,72,3,1
2020-03-29,78,2,74,3,0
2020-03-30,83,5,79,3,0
2020-03-31,87,4,83,3,0
2020-04-01,90,3,84,5,2
2020-04-02,94,4,88,5,0
2020-04-03,98,4,91,6,1
2020-04-04,103,5,96,6,0
2020-04-05,104,1,96,7,1
2020-04-06,105,1,96,8,1
2020-04-07,107,2,98,8,0
2020-04-08,107,0,98,8,0
2020-04-09,109,2,100,8,0
2020-04-10,109,0,100,8,0
2020-04-11,112,3,92,8,0
2020-04-12,113,1,89,8,0
2020-04-13,113,0,89,8,0
2020-04-14,113,0,88,8,0
2020-04-15,114,1,87,8,0
2020-04-16,114,0,86,8,0
2020-04-17,114,0,86,8,0
2020-04-18,114,0,85,8,0
2020-04-19,114,0,85,8,0
2020-04-20,114,0,84,8,0
2020-04-21,115,1,79,8,0
2020-04-22,115,0,70,8,0
2020-04-23,115,0,62,8,0
2020-04-24,115,0,59,8,0
2020-04-25,115,0,54,8,0
2020-04-26,115,0,53,8,0
2020-04-27,116,1,49,8,0
2020-04-28,116,0,49,8,0
2020-04-29,116,0,37,8,0
2020-04-30,116,0,36,8,0
2020-05-01,116,0,27,8,0
2020-05-02,116,0,20,8,0
2020-05-03,116,0,20,8,0
2020-05-04,116,0,9,8,0
2020-05-05,116,0,6,8,0
2020-05-06,116,0,5,8,0
2020-05-07,116,0,5,8,0
2020-05-08,116,0,5,8,0
2020-05-09,116,0,4,8,0
2020-05-10,116,0,1,8,0
2020-05-11,116,0,1,8,0
2020-05-12,116,0,1,8,0
2020-05-13,116,0,1,8,0
2020-05-14,116,0,1,8,0
2020-05-15,116,0,1,8,0
2020-05-16,116,0,1,8,0
2020-05-17,116,0,1,8,0
