time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,1,0,1,0,0
2020-03-03,1,0,1,0,0
2020-03-04,1,0,1,0,0
2020-03-05,1,0,1,0,0
2020-03-06,1,0,1,0,0
2020-03-07,1,0,1,0,0
2020-03-08,2,1,2,0,0
2020-03-09,5,3,5,0,0
2020-03-10,6,1,6,0,0
2020-03-11,7,1,7,0,0
2020-03-12,13,6,13,0,0
2020-03-13,16,3,16,0,0
2020-03-14,18,2,18,0,0
2020-03-15,20,2,20,0,0
2020-03-16,24,4,24,0,0
2020-03-17,27,3,26,0,0
2020-03-18,29,2,28,0,0
2020-03-19,39,10,37,1,1
2020-03-20,54,15,52,1,0
2020-03-21,60,6,58,1,0
2020-03-22,75,15,71,3,2
2020-03-23,89,14,85,3,0
2020-03-24,114,25,109,4,1
2020-03-25,173,59,166,5,1
2020-03-26,197,24,190,5,0
2020-03-27,227,30,218,7,2
2020-03-28,278,51,268,8,1
2020-03-29,312,34,302,8,0
2020-03-30,362,50,350,9,1
2020-03-31,394,32,381,10,1
2020-04-01,423,29,406,12,2
2020-04-02,455,32,436,14,2
2020-04-03,495,40,470,20,6
2020-04-04,553,58,528,20,0
2020-04-05,574,21,543,26,6
2020-04-06,596,22,565,26,0
2020-04-07,623,27,571,27,1
2020-04-08,628,5,575,28,1
2020-04-09,643,15,589,29,1
2020-04-10,671,28,617,29,0
2020-04-11,685,14,610,32,3
2020-04-12,707,22,629,35,3
2020-04-13,726,19,645,38,3
2020-04-14,747,21,666,38,0
2020-04-15,780,33,698,39,1
2020-04-16,822,42,738,41,2
2020-04-17,864,42,780,41,0
2020-04-18,866,2,782,41,0
2020-04-19,879,13,794,42,1
2020-04-20,884,5,694,42,0
2020-04-21,901,17,689,42,0
2020-04-22,909,8,677,42,0
2020-04-23,918,9,686,42,0
2020-04-24,922,4,686,42,0
2020-04-25,939,17,690,42,0
2020-04-26,949,10,691,42,0
2020-04-27,967,18,645,43,1
2020-04-28,975,8,652,44,1
2020-04-29,980,5,642,44,0
2020-04-30,994,14,644,45,1
2020-05-01,998,4,637,45,0
2020-05-02,1009,11,640,46,1
2020-05-03,1013,4,639,46,0
2020-05-04,1018,5,565,47,1
2020-05-05,1022,4,493,47,0
2020-05-06,1025,3,387,47,0
2020-05-07,1026,1,378,48,1
2020-05-08,1030,4,343,49,1
2020-05-09,1032,2,323,49,0
2020-05-10,1032,0,323,49,0
2020-05-11,1032,0,283,49,0
2020-05-12,1032,0,243,49,0
2020-05-13,1032,0,224,49,0
2020-05-14,1032,0,213,49,0
2020-05-15,1035,3,184,49,0
2020-05-16,1037,2,181,49,0
