time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,1,0,1,0,0
2020-03-03,1,0,1,0,0
2020-03-04,1,0,1,0,0
2020-03-05,1,0,1,0,0
2020-03-06,1,0,1,0,0
2020-03-07,1,0,1,0,0
2020-03-08,1,0,1,0,0
2020-03-09,1,0,1,0,0
2020-03-10,1,0,1,0,0
2020-03-11,1,0,1,0,0
2020-03-12,1,0,1,0,0
2020-03-13,1,0,0,0,0
2020-03-14,1,0,0,0,0
2020-03-15,12,11,11,0,0
2020-03-16,29,17,28,0,0
2020-03-17,48,19,47,0,0
2020-03-18,56,8,55,0,0
2020-03-19,69,13,68,0,0
2020-03-20,84,15,83,0,0
2020-03-21,100,16,99,0,0
2020-03-22,112,12,111,0,0
2020-03-23,127,15,126,0,0
2020-03-24,154,27,153,0,0
2020-03-25,172,18,171,0,0
2020-03-26,212,40,211,0,0
2020-03-27,235,23,216,1,1
2020-03-28,246,11,227,1,0
2020-03-29,259,13,238,3,2
2020-03-30,268,9,237,5,2
2020-03-31,274,6,239,5,0
2020-04-01,278,4,237,5,0
2020-04-02,299,21,249,5,0
2020-04-03,310,11,247,5,0
2020-04-04,323,13,244,5,0
2020-04-05,345,22,230,5,0
2020-04-06,349,4,217,6,1
2020-04-07,353,4,209,6,0
2020-04-08,358,5,202,6,0
2020-04-09,372,14,204,7,1
2020-04-10,372,0,195,7,0
2020-04-11,381,9,197,7,0
2020-04-12,389,8,181,7,0
2020-04-13,391,2,169,7,0
2020-04-14,397,6,155,7,0
2020-04-15,401,4,144,7,0
2020-04-16,402,1,136,7,0
2020-04-17,407,5,135,7,0
2020-04-18,413,6,137,7,0
2020-04-19,417,4,134,7,0
2020-04-20,425,8,136,7,0
2020-04-21,428,3,124,7,0
2020-04-22,435,7,113,7,0
2020-04-23,437,2,112,7,0
2020-04-24,441,4,108,7,0
2020-04-25,444,3,105,7,0
2020-04-26,447,3,103,7,0
2020-04-27,449,2,100,7,0
2020-04-28,449,0,93,8,1
2020-04-29,451,2,87,8,0
2020-04-30,453,2,83,8,0
2020-05-01,459,6,87,8,0
2020-05-02,460,1,84,9,1
2020-05-03,461,1,85,9,0
2020-05-04,465,4,86,9,0
2020-05-05,471,6,87,9,0
2020-05-06,473,2,87,9,0
2020-05-07,494,21,104,9,0
2020-05-08,508,14,114,9,0
2020-05-09,522,14,126,9,0
2020-05-10,540,18,142,9,0
2020-05-11,562,22,163,9,0
2020-05-12,576,14,177,9,0
2020-05-13,582,6,181,9,0
2020-05-14,586,4,184,9,0
2020-05-15,596,10,186,9,0
2020-05-16,607,11,194,9,0
2020-05-17,613,6,196,9,0
