time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,16,0,9,0,0
2020-02-16,16,0,9,0,0
2020-02-17,16,0,9,0,0
2020-02-18,16,0,9,0,0
2020-02-19,16,0,2,0,0
2020-02-20,16,0,2,0,0
2020-02-21,16,0,1,0,0
2020-02-22,16,0,1,0,0
2020-02-23,16,0,1,0,0
2020-02-24,16,0,1,0,0
2020-02-25,16,0,0,0,0
2020-02-26,16,0,0,0,0
2020-02-27,16,0,0,0,0
2020-02-28,16,0,0,0,0
2020-02-29,16,0,0,0,0
2020-03-01,16,0,0,0,0
2020-03-02,16,0,0,0,0
2020-03-03,16,0,0,0,0
2020-03-04,16,0,0,0,0
2020-03-05,16,0,0,0,0
2020-03-06,17,1,1,0,0
2020-03-07,20,3,4,0,0
2020-03-08,30,10,14,0,0
2020-03-09,31,1,15,0,0
2020-03-10,34,3,18,0,0
2020-03-11,39,5,23,0,0
2020-03-12,44,5,28,0,0
2020-03-13,44,0,28,0,0
2020-03-14,53,9,37,0,0
2020-03-15,57,4,41,0,0
2020-03-16,61,4,45,0,0
2020-03-17,66,5,50,0,0
2020-03-18,76,10,60,0,0
2020-03-19,85,9,69,0,0
2020-03-20,91,6,74,0,0
2020-03-21,94,3,77,0,0
2020-03-22,113,19,96,0,0
2020-03-23,123,10,106,0,0
2020-03-24,134,11,117,0,0
2020-03-25,148,14,131,0,0
2020-03-26,153,5,133,0,0
2020-03-27,163,10,143,0,0
2020-03-28,174,11,153,0,0
2020-03-29,194,20,169,0,0
2020-03-30,204,10,149,0,0
2020-03-31,212,8,154,0,0
2020-04-01,218,6,155,0,0
2020-04-02,233,15,158,0,0
2020-04-03,239,6,154,0,0
2020-04-04,240,1,150,0,0
2020-04-05,241,1,151,0,0
2020-04-06,245,4,150,0,0
2020-04-07,251,6,128,0,0
2020-04-08,251,0,125,0,0
2020-04-09,255,4,127,0,0
2020-04-10,257,2,113,0,0
2020-04-11,258,1,114,0,0
2020-04-12,262,4,118,0,0
2020-04-13,265,3,119,0,0
2020-04-14,266,1,97,0,0
2020-04-15,268,2,97,0,0
2020-04-16,268,0,91,0,0
2020-04-17,268,0,70,0,0
2020-04-18,268,0,67,0,0
2020-04-19,268,0,66,0,0
2020-04-20,268,0,54,0,0
2020-04-21,268,0,52,0,0
2020-04-22,268,0,45,0,0
2020-04-23,268,0,44,0,0
2020-04-24,270,2,50,0,0
2020-04-25,270,0,45,0,0
2020-04-26,270,0,45,0,0
2020-04-27,270,0,45,0,0
2020-04-28,270,0,45,0,0
2020-04-29,270,0,48,0,0
2020-04-30,270,0,51,0,0
2020-05-01,270,0,51,0,0
2020-05-02,270,0,51,0,0
2020-05-03,271,1,52,0,0
2020-05-04,271,0,52,0,0
2020-05-05,271,0,39,0,0
2020-05-06,271,0,39,0,0
2020-05-07,288,17,55,0,0
2020-05-08,288,0,47,0,0
2020-05-09,288,0,47,0,0
2020-05-10,288,0,47,0,0
2020-05-11,288,0,39,0,0
2020-05-12,288,0,36,0,0
2020-05-13,288,0,36,0,0
2020-05-14,312,24,52,0,0
2020-05-15,314,2,54,0,0
2020-05-16,318,4,58,0,0
2020-05-17,320,2,60,0,0
2020-05-18,324,4,61,0,0
