time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,1,0,1,0,0
2020-03-14,1,0,1,0,0
2020-03-15,1,0,0,1,0
2020-03-16,8,7,7,1,0
2020-03-17,8,0,7,1,0
2020-03-18,8,0,7,1,0
2020-03-19,9,1,8,1,0
2020-03-20,12,3,11,1,0
2020-03-21,17,5,16,1,0
2020-03-22,19,2,18,1,0
2020-03-23,20,1,19,1,0
2020-03-24,21,1,20,1,0
2020-03-25,24,3,19,1,0
2020-03-26,25,1,20,1,0
2020-03-27,28,3,23,1,0
2020-03-28,34,6,23,1,0
2020-03-29,34,0,23,1,0
2020-03-30,36,2,25,1,0
2020-03-31,38,2,25,1,0
2020-04-01,39,1,26,1,0
2020-04-02,47,8,34,1,0
2020-04-03,50,3,37,1,0
2020-04-04,61,11,44,2,1
2020-04-05,70,9,52,3,1
2020-04-06,70,0,52,3,0
2020-04-07,77,7,57,3,0
2020-04-08,87,10,67,3,0
2020-04-09,95,8,75,3,0
2020-04-10,126,31,106,3,0
2020-04-11,137,11,115,3,0
2020-04-12,155,18,131,5,2
2020-04-13,156,1,132,5,0
2020-04-14,167,11,143,5,0
2020-04-15,180,13,156,5,0
2020-04-16,196,16,172,5,0
2020-04-17,214,18,186,7,2
2020-04-18,235,21,207,7,0
2020-04-19,257,22,229,7,0
2020-04-20,289,32,261,7,0
2020-04-21,294,5,263,7,0
2020-04-22,316,22,284,8,1
2020-04-23,342,26,307,10,2
2020-04-24,384,42,343,11,1
2020-04-25,430,46,389,11,0
2020-04-26,473,43,415,13,2
2020-04-27,500,27,436,15,2
2020-04-28,530,30,466,15,0
2020-04-29,557,27,479,16,1
2020-04-30,585,28,504,16,0
2020-05-01,599,14,517,16,0
2020-05-02,644,45,556,16,0
2020-05-03,688,44,599,17,1
2020-05-04,703,15,614,17,0
2020-05-05,730,27,632,19,2
2020-05-06,763,33,665,19,0
2020-05-07,798,35,691,21,2
2020-05-08,832,34,719,23,2
2020-05-09,900,68,775,24,1
2020-05-10,967,67,839,24,0
2020-05-11,1052,85,916,26,2
2020-05-12,1114,62,977,26,0
2020-05-13,1199,85,1052,27,1
2020-05-14,1342,143,1192,29,2
2020-05-15,1518,176,1360,29,0
2020-05-16,1643,125,1478,30,1
2020-05-17,1763,120,1592,33,3
