time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,1,0,1,0,0
2020-03-03,1,0,1,0,0
2020-03-04,1,0,1,0,0
2020-03-05,1,0,1,0,0
2020-03-06,1,0,1,0,0
2020-03-07,1,0,1,0,0
2020-03-08,1,0,1,0,0
2020-03-09,1,0,1,0,0
2020-03-10,1,0,1,0,0
2020-03-11,1,0,1,0,0
2020-03-12,1,0,1,0,0
2020-03-13,1,0,1,0,0
2020-03-14,1,0,1,0,0
2020-03-15,5,4,5,0,0
2020-03-16,14,9,14,0,0
2020-03-17,39,25,38,0,0
2020-03-18,53,14,52,0,0
2020-03-19,74,21,73,0,0
2020-03-20,75,1,74,0,0
2020-03-21,88,13,87,0,0
2020-03-22,113,25,111,1,1
2020-03-23,133,20,131,1,0
2020-03-24,164,31,162,1,0
2020-03-25,188,24,186,1,0
2020-03-26,224,36,220,3,2
2020-03-27,267,43,263,3,0
2020-03-28,308,41,304,3,0
2020-03-29,334,26,327,6,3
2020-03-30,370,36,352,8,2
2020-03-31,376,6,354,12,4
2020-04-01,390,14,366,14,2
2020-04-02,428,38,403,15,1
2020-04-03,439,11,407,16,1
2020-04-04,466,27,428,17,1
2020-04-05,501,35,457,18,1
2020-04-06,525,24,473,21,3
2020-04-07,545,20,484,22,1
2020-04-08,564,19,489,23,1
2020-04-09,583,19,500,25,2
2020-04-10,601,18,504,26,1
2020-04-11,601,0,504,26,0
2020-04-12,638,37,481,29,3
2020-04-13,646,8,489,29,0
2020-04-14,659,13,500,31,2
2020-04-15,673,14,471,33,2
2020-04-16,673,0,471,33,0
2020-04-17,696,23,470,35,2
2020-04-18,704,8,464,35,0
2020-04-19,713,9,442,36,1
2020-04-20,717,4,432,37,1
2020-04-21,717,0,398,37,0
2020-04-22,723,6,377,37,0
2020-04-23,723,0,353,37,0
2020-04-24,731,8,347,40,3
2020-04-25,738,7,354,40,0
2020-04-26,738,0,354,40,0
2020-04-27,743,5,318,40,0
2020-04-28,743,0,304,41,1
2020-04-29,743,0,278,42,1
2020-04-30,745,2,235,42,0
2020-05-01,745,0,234,43,1
2020-05-02,747,2,231,44,1
2020-05-03,748,1,210,45,1
2020-05-04,750,2,206,45,0
2020-05-05,751,1,191,46,1
2020-05-06,751,0,184,46,0
2020-05-07,752,1,179,47,1
2020-05-08,752,0,168,47,0
2020-05-09,754,2,161,48,1
2020-05-10,755,1,157,48,0
2020-05-11,755,0,157,48,0
2020-05-12,758,3,142,48,0
2020-05-13,760,2,135,49,1
2020-05-14,761,1,116,49,0
2020-05-15,761,0,108,49,0
2020-05-16,761,0,95,51,2
2020-05-17,761,0,93,51,0
