time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,1,0,1,0,0
2020-02-16,1,0,1,0,0
2020-02-17,1,0,1,0,0
2020-02-18,1,0,1,0,0
2020-02-19,1,0,1,0,0
2020-02-20,1,0,1,0,0
2020-02-21,1,0,1,0,0
2020-02-22,1,0,1,0,0
2020-02-23,1,0,1,0,0
2020-02-24,1,0,1,0,0
2020-02-25,1,0,1,0,0
2020-02-26,2,1,2,0,0
2020-02-27,3,1,3,0,0
2020-02-28,11,8,11,0,0
2020-02-29,14,3,14,0,0
2020-03-01,14,0,14,0,0
2020-03-02,19,5,19,0,0
2020-03-03,32,13,31,0,0
2020-03-04,62,30,61,0,0
2020-03-05,87,25,86,0,0
2020-03-06,146,59,145,0,0
2020-03-07,179,33,178,0,0
2020-03-08,225,46,224,0,0
2020-03-09,326,101,325,0,0
2020-03-10,424,98,423,0,0
2020-03-11,620,196,618,1,1
2020-03-12,771,151,769,1,0
2020-03-13,923,152,920,2,1
2020-03-14,994,71,990,3,1
2020-03-15,1063,69,1057,5,2
2020-03-16,1146,83,1138,7,2
2020-03-17,1265,119,1256,8,1
2020-03-18,1410,145,1381,14,6
2020-03-19,1553,143,1516,21,7
2020-03-20,1733,180,1687,30,9
2020-03-21,1869,136,1815,38,8
2020-03-22,1986,117,1921,49,11
2020-03-23,2168,182,2092,60,11
2020-03-24,2398,230,2301,81,21
2020-03-25,2712,314,2593,103,22
2020-03-26,2998,286,2848,134,31
2020-03-27,3364,366,3182,166,32
2020-03-28,3664,300,3447,201,35
2020-03-29,3944,280,3689,239,38
2020-03-30,4360,416,4060,284,45
2020-03-31,4835,475,4487,332,48
2020-04-01,5321,486,4833,385,53
2020-04-02,5875,554,5317,455,70
2020-04-03,6476,601,5736,535,80
2020-04-04,6833,357,6023,605,70
2020-04-05,7173,340,6278,690,85
2020-04-06,7562,389,6577,780,90
2020-04-07,8300,738,7231,864,84
2020-04-08,8954,654,7770,979,115
2020-04-09,9599,645,8329,1065,86
2020-04-10,10053,454,8517,1155,90
2020-04-11,10448,395,8809,1258,103
2020-04-12,10912,464,9176,1355,97
2020-04-13,11349,437,9528,1440,85
2020-04-14,11828,479,9916,1531,91
2020-04-15,12432,604,10405,1646,115
2020-04-16,13055,623,10748,1757,111
2020-04-17,13743,688,11354,1839,82
2020-04-18,14275,532,11800,1925,86
2020-04-19,14663,388,12100,2013,88
2020-04-20,15124,461,12477,2097,84
2020-04-21,15831,707,13122,2159,62
2020-04-22,16553,722,13767,2236,77
2020-04-23,17311,758,14439,2322,86
2020-04-24,18091,780,15130,2411,89
2020-04-25,18564,473,15075,2484,73
2020-04-26,18864,300,15300,2559,75
2020-04-27,19427,563,15790,2632,73
2020-04-28,20169,742,16450,2714,82
2020-04-29,20968,799,17165,2798,84
2020-04-30,21603,635,17722,2876,78
2020-05-01,22135,532,18176,2954,78
2020-05-02,22434,299,18402,3027,73
2020-05-03,22695,261,18588,3102,75
2020-05-04,23172,477,15912,3186,84
2020-05-05,23829,657,16497,3258,72
2020-05-06,24574,745,17169,3331,73
2020-05-07,25358,784,16976,3411,80
2020-05-08,26058,700,17616,3471,60
2020-05-09,26567,509,18056,3540,69
2020-05-10,26846,279,18261,3614,74
2020-05-11,27301,455,18652,3678,64
2020-05-12,28055,754,19345,3739,61
2020-05-13,28753,698,19993,3789,50
2020-05-14,29410,657,20604,3835,46
2020-05-15,30098,688,21234,3893,58
2020-05-16,30456,358,21543,3942,49
2020-05-17,30715,259,21749,3995,53
2020-05-18,31145,430,22118,4056,61
2020-05-19,31811,666,22744,4096,40
2020-05-20,32619,808,23498,4150,54
2020-05-21,33229,610,24054,4204,54
2020-05-22,33761,532,24530,4260,56
2020-05-23,34164,403,24877,4316,56
2020-05-24,34374,210,25043,4360,44
2020-05-25,34865,491,25492,4402,42
2020-05-26,35611,746,26210,4430,28
2020-05-27,36411,800,26971,4469,39
2020-05-28,37185,774,27705,4509,40
2020-05-29,37958,773,28438,4549,40
2020-05-30,38390,432,28831,4588,39
2020-05-31,38655,265,29051,4633,45
2020-06-01,39303,648,29659,4673,40
2020-06-02,40204,901,27197,4710,37
2020-06-03,41250,1046,28217,4736,26
2020-06-04,42289,1039,29211,4781,45
2020-06-05,43435,1146,30319,4819,38
2020-06-06,44215,780,31068,4850,31
2020-06-07,44677,462,31497,4883,33
2020-06-08,45354,677,32136,4921,38
2020-06-09,46290,936,33039,4954,33
2020-06-10,47727,1437,34436,4994,40
2020-06-11,49020,1293,35693,5030,36
2020-06-12,50349,1329,36992,5060,30
2020-06-13,51381,1032,37991,5093,33
2020-06-14,51799,418,38382,5120,27
2020-06-15,52484,685,39036,5151,31
2020-06-16,53693,1209,40217,5179,28
2020-06-17,55150,1457,41641,5212,33
2020-06-18,56644,1494,43106,5241,29
2020-06-19,57853,1209,44286,5270,29
2020-06-20,58551,698,44955,5299,29
2020-06-21,58871,320,45254,5320,21
2020-06-22,59671,800,46033,5341,21
2020-06-23,60982,1311,47319,5366,25
2020-06-24,62680,1698,48995,5388,22
2020-06-25,63958,1278,50249,5412,24
2020-06-26,65163,1205,51442,5424,12
2020-06-27,65918,755,52183,5438,14
2020-06-28,66333,415,52576,5460,22
2020-06-29,67060,727,53285,5478,18
2020-06-30,67863,803,54068,5498,20
2020-07-01,68547,684,54735,5515,17
2020-07-02,69234,687,55407,5530,15
2020-07-03,69928,694,56093,5538,8
2020-07-04,70292,364,56442,5553,15
2020-07-05,70607,315,56748,5562,9
2020-07-06,70858,251,56983,5578,16
2020-07-07,71136,278,57249,5590,12
2020-07-08,71669,533,57771,5601,11
2020-07-09,72003,334,58090,5616,15
2020-07-10,72372,369,58445,5630,14
2020-07-11,72680,308,58743,5640,10
2020-07-12,72786,106,58840,5649,9
2020-07-13,72956,170,58996,5663,14
2020-07-14,73268,312,59300,5671,8
2020-07-15,73555,287,59581,5677,6
2020-07-16,73823,268,59842,5684,7
2020-07-17,74107,284,60119,5691,7
2020-07-18,74298,191,60299,5702,11
2020-07-19,74408,110,60401,5710,8
2020-07-20,74539,131,60525,5717,7
2020-07-21,74765,226,60744,5724,7
2020-07-22,75062,297,61035,5730,6
2020-07-23,75282,220,61250,5735,5
2020-07-24,75544,262,61509,5738,3
2020-07-25,75682,138,61646,5739,1
2020-07-26,75724,42,61686,5741,2
2020-07-27,75795,71,61751,5747,6
2020-07-28,76078,283,62028,5753,6
2020-07-29,76379,301,62327,5755,2
2020-07-30,76681,302,62629,5755,0
2020-07-31,76939,258,62884,5758,3
2020-08-01,77242,303,63184,5761,3
2020-08-02,77280,38,63219,5764,3
2020-08-03,77445,165,63380,5768,4
2020-08-04,77778,333,63711,5770,2
2020-08-05,78203,425,64133,5773,3
2020-08-06,78581,378,64507,5777,4
2020-08-07,78961,380,64884,5780,3
2020-08-08,79221,260,65143,5781,1
2020-08-09,79294,73,65212,5785,4
2020-08-10,79490,196,65406,5787,2
2020-08-11,79907,417,65819,5791,4
2020-08-12,80351,444,66260,5794,3
2020-08-13,80714,363,66617,5800,6
2020-08-14,81058,344,66959,5802,2
2020-08-15,81284,226,67184,5803,1
2020-08-16,81347,63,67247,5803,0
2020-08-17,81521,174,67418,5806,3
2020-08-18,81835,314,67727,5811,5
2020-08-19,82186,351,68077,5812,1
2020-08-20,82519,333,68408,5814,2
2020-08-21,82817,298,68701,5819,5
2020-08-22,82977,160,68860,5820,1
2020-08-23,83034,57,68914,5823,3
2020-08-24,83208,174,69087,5824,1
2020-08-25,83430,222,69307,5826,2
2020-08-26,83674,244,69549,5828,2
2020-08-27,83876,202,69750,5829,1
2020-08-28,84055,179,69928,5830,1
2020-08-29,84186,131,70058,5831,1
2020-08-30,84234,48,70103,5834,3
2020-08-31,84396,162,70263,5836,2
2020-09-01,84567,171,70431,5839,3
2020-09-02,84780,213,70641,5842,3
2020-09-03,85066,286,70925,5844,2
2020-09-04,85328,262,71187,5844,0
2020-09-05,85499,171,57325,5844,0
2020-09-06,85566,67,57389,5847,3
2020-09-07,85751,185,57573,5848,1
2020-09-08,85987,236,57808,5849,1
2020-09-09,86301,314,58122,5849,0
2020-09-10,86558,257,58376,5852,3
2020-09-11,86850,292,58662,5858,6
2020-09-12,87056,206,58866,5860,2
2020-09-13,87162,106,58970,5862,2
2020-09-14,87382,220,59187,5865,3
2020-09-15,87675,293,59479,5866,1
2020-09-16,88005,330,59807,5868,2
2020-09-17,88394,389,60195,5869,1
2020-09-18,88831,437,60630,5871,2
2020-09-19,89110,279,60908,5872,1
2020-09-20,89243,133,61037,5876,4
2020-09-21,89511,268,61301,5880,4
2020-09-22,89949,438,61739,5880,0
2020-09-23,90502,553,62290,5882,2
2020-09-24,91042,540,62829,5883,1
2020-09-25,91673,631,63456,5887,4
2020-09-26,91998,325,63779,5889,2
2020-09-27,92165,167,63945,5890,1
2020-09-28,92545,380,64325,5890,0
2020-09-29,93160,615,64940,5890,0
2020-09-30,93847,687,65627,5890,0
2020-10-01,94283,436,66063,5890,0
2020-10-02,94283,0,66058,5895,5
2020-10-03,94283,0,66058,5895,0
2020-10-04,94283,0,66058,5895,0
