time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,3,0,3,0,0
2020-03-09,3,0,3,0,0
2020-03-10,3,0,3,0,0
2020-03-11,3,0,3,0,0
2020-03-12,3,0,3,0,0
2020-03-13,3,0,2,0,0
2020-03-14,5,2,3,0,0
2020-03-15,5,0,3,0,0
2020-03-16,8,3,5,0,0
2020-03-17,10,2,7,0,0
2020-03-18,14,4,10,1,0
2020-03-19,18,4,14,1,0
2020-03-20,20,2,16,1,0
2020-03-21,24,4,19,2,1
2020-03-22,27,3,22,2,0
2020-03-23,33,6,25,3,1
2020-03-24,39,6,30,4,1
2020-03-25,39,0,27,5,1
2020-03-26,44,5,28,5,0
2020-03-27,48,4,32,5,0
2020-03-28,48,0,28,5,0
2020-03-29,48,0,28,5,0
2020-03-30,49,1,25,5,0
2020-03-31,51,2,21,5,0
2020-04-01,54,3,23,6,1
2020-04-02,56,2,25,6,0
2020-04-03,61,5,29,6,0
2020-04-04,70,9,32,8,2
2020-04-05,88,18,46,9,1
2020-04-06,123,35,78,12,3
2020-04-07,164,41,114,17,5
2020-04-08,218,54,165,20,3
2020-04-09,330,112,276,21,1
2020-04-10,424,94,364,27,6
2020-04-11,482,58,416,30,3
2020-04-12,621,139,548,34,4
2020-04-13,803,182,722,39,5
2020-04-14,1012,209,924,46,7
2020-04-15,1231,219,1132,50,4
2020-04-16,1572,341,1463,60,10
2020-04-17,1838,266,1705,75,15
2020-04-18,2144,306,1994,84,9
2020-04-19,2456,312,2290,91,7
2020-04-20,2948,492,2762,101,10
2020-04-21,3382,434,3185,110,9
2020-04-22,3772,390,3560,120,10
2020-04-23,4186,414,3951,127,7
2020-04-24,4689,503,4446,131,4
2020-04-25,4998,309,4745,140,9
2020-04-26,5416,418,5149,145,5
2020-04-27,5913,497,5630,152,7
2020-04-28,6462,549,6168,155,3
2020-04-29,7103,641,6790,163,8
2020-04-30,7667,564,7339,168,5
2020-05-01,8238,571,7894,170,2
2020-05-02,8790,552,8438,175,5
2020-05-03,9455,665,8215,177,2
2020-05-04,10143,688,8752,182,5
2020-05-05,10929,786,9343,183,1
2020-05-06,11719,790,10130,186,3
2020-05-07,12425,706,10316,199,13
2020-05-08,13134,709,10827,206,7
2020-05-09,13770,636,11142,214,8
2020-05-10,14657,887,11779,228,14
2020-05-11,15691,1034,12550,239,11
2020-05-12,16660,969,13263,250,11
2020-05-13,17822,1162,14192,269,19
2020-05-14,18863,1041,14977,283,14
