time,total_cases,daily_cases,total_currently_infected
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,1,0,1
2020-03-11,1,0,1
2020-03-12,1,0,1
2020-03-13,1,0,1
2020-03-14,1,0,1
2020-03-15,1,0,1
2020-03-16,4,3,4
2020-03-17,5,1,5
2020-03-18,6,1,6
2020-03-19,6,0,6
2020-03-20,6,0,6
2020-03-21,10,4,10
2020-03-22,10,0,10
2020-03-23,10,0,10
2020-03-24,10,0,10
2020-03-25,10,0,10
2020-03-26,11,1,11
2020-03-27,11,0,11
2020-03-28,12,1,12
2020-03-29,12,0,12
2020-03-30,12,0,10
2020-03-31,12,0,10
2020-04-01,14,2,12
2020-04-02,14,0,12
2020-04-03,14,0,12
2020-04-04,14,0,12
2020-04-05,14,0,12
2020-04-06,15,1,13
2020-04-07,15,0,11
2020-04-08,16,1,12
2020-04-09,16,0,12
2020-04-10,16,0,12
2020-04-11,16,0,12
2020-04-12,16,0,12
2020-04-13,17,1,13
2020-04-14,30,13,25
2020-04-15,30,0,25
2020-04-16,31,1,26
2020-04-17,31,0,26
2020-04-18,31,0,26
2020-04-19,32,1,25
2020-04-20,33,1,26
2020-04-21,34,1,26
2020-04-22,35,1,27
2020-04-23,35,0,27
2020-04-24,36,1,27
2020-04-25,37,1,28
2020-04-26,38,1,29
2020-04-27,38,0,28
2020-04-28,38,0,28
2020-04-29,38,0,28
2020-04-30,38,0,28
2020-05-01,38,0,28
2020-05-02,39,1,29
2020-05-03,39,0,29
2020-05-04,40,1,28
2020-05-05,41,1,28
2020-05-06,41,0,28
2020-05-07,41,0,28
2020-05-08,42,1,29
2020-05-09,42,0,28
2020-05-10,42,0,28
2020-05-11,42,0,28
2020-05-12,42,0,27
2020-05-13,42,0,27
2020-05-14,61,19,46
2020-05-15,98,37,78
