time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,1,1,1,0,0
2020-03-01,1,0,1,0,0
2020-03-02,1,0,1,0,0
2020-03-03,2,1,2,0,0
2020-03-04,6,4,6,0,0
2020-03-05,13,7,13,0,0
2020-03-06,18,5,18,0,0
2020-03-07,19,1,19,0,0
2020-03-08,21,2,21,0,0
2020-03-09,24,3,24,0,0
2020-03-10,34,10,34,0,0
2020-03-11,43,9,42,1,1
2020-03-12,70,27,69,1,0
2020-03-13,90,20,89,1,0
2020-03-14,129,39,127,2,1
2020-03-15,170,41,167,2,0
2020-03-16,223,53,216,2,0
2020-03-17,292,69,285,2,0
2020-03-18,366,74,359,2,0
2020-03-19,557,191,549,3,1
2020-03-20,683,126,675,3,0
2020-03-21,785,102,777,3,0
2020-03-22,906,121,897,4,1
2020-03-23,1125,219,1114,6,2
2020-03-24,1329,204,1317,7,1
2020-03-25,1564,235,1550,9,2
2020-03-26,1819,255,1795,19,10
2020-03-27,2121,302,2094,22,3
2020-03-28,2415,294,2374,36,14
2020-03-29,2615,200,2564,46,10
2020-03-30,2910,295,2851,54,8
2020-03-31,3235,325,3159,71,17
2020-04-01,3447,212,3357,85,14
2020-04-02,3849,402,3746,98,13
2020-04-03,4273,424,4128,120,22
2020-04-04,4604,331,4442,137,17
2020-04-05,4994,390,4811,158,21
2020-04-06,5364,370,5165,174,16
2020-04-07,5709,345,5474,210,36
2020-04-08,6074,365,5814,235,25
2020-04-09,6574,500,6286,263,28
2020-04-10,8082,1508,7770,287,24
2020-04-11,8921,839,8576,320,33
2020-04-12,9648,727,9289,334,14
2020-04-13,10640,992,10250,365,31
2020-04-14,11472,832,11041,406,41
2020-04-15,12540,1068,12019,444,38
2020-04-16,13264,724,12701,486,42
2020-04-17,13973,709,13367,529,43
2020-04-18,14751,778,14104,570,41
2020-04-19,15244,493,14558,609,39
2020-04-20,15645,401,14883,685,76
2020-04-21,16033,388,6073,727,42
2020-04-22,16664,631,6665,766,39
2020-04-23,17600,936,7576,791,25
2020-04-24,18177,577,7939,1005,214
2020-04-25,18554,377,8268,1053,48
2020-04-26,19255,701,8945,1077,24
2020-04-27,19641,386,9316,1092,15
2020-04-28,19870,229,9489,1148,56
2020-04-29,20246,376,5681,1179,31
2020-04-30,20605,359,5998,1221,42
2020-05-01,20826,221,6186,1254,33
2020-05-02,21169,343,6508,1275,21
2020-05-03,21499,330,6821,1292,17
2020-05-04,21765,266,7071,1308,16
2020-05-05,21976,211,7262,1328,20
2020-05-06,22241,265,3767,1364,36
2020-05-07,22378,137,3876,1392,28
2020-05-08,22534,156,4006,1418,26
2020-05-09,22753,219,4208,1435,17
2020-05-10,22989,236,4432,1447,12
