time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,1,0,1,0,0
2020-03-19,1,0,1,0,0
2020-03-20,1,0,1,0,0
2020-03-21,1,0,1,0,0
2020-03-22,1,0,1,0,0
2020-03-23,3,2,3,0,0
2020-03-24,3,0,3,0,0
2020-03-25,11,8,11,0,0
2020-03-26,11,0,11,0,0
2020-03-27,12,1,12,0,0
2020-03-28,14,2,14,0,0
2020-03-29,18,4,18,0,0
2020-03-30,18,0,18,0,0
2020-03-31,30,12,30,0,0
2020-04-01,33,3,33,0,0
2020-04-02,40,7,40,0,0
2020-04-03,49,9,41,0,0
2020-04-04,50,1,42,0,0
2020-04-05,59,9,50,0,0
2020-04-06,90,31,81,0,0
2020-04-07,90,0,81,0,0
2020-04-08,135,45,110,0,0
2020-04-09,140,5,111,1,0
2020-04-10,150,10,113,1,0
2020-04-11,187,37,149,2,1
2020-04-12,214,27,176,2,0
2020-04-13,298,84,255,2,0
2020-04-14,363,65,308,2,0
2020-04-15,435,72,362,2,0
2020-04-16,591,156,516,2,0
2020-04-17,732,141,654,2,0
2020-04-18,732,0,654,2,0
2020-04-19,846,114,742,2,0
2020-04-20,846,0,742,2,0
2020-04-21,945,99,831,2,0
2020-04-22,974,29,789,2,0
2020-04-23,986,12,732,2,0
2020-04-24,999,13,667,2,0
2020-04-25,1008,9,633,2,0
2020-04-26,1023,15,610,2,0
2020-04-27,1035,12,556,2,0
2020-04-28,1072,37,572,2,0
2020-04-29,1077,5,476,2,0
2020-04-30,1089,12,445,2,0
2020-05-01,1097,8,423,2,0
2020-05-02,1112,15,424,2,0
2020-05-03,1112,0,424,2,0
2020-05-04,1116,4,401,2,0
2020-05-05,1120,4,373,2,0
2020-05-06,1124,4,366,3,1
2020-05-07,1133,9,331,3,0
2020-05-08,1135,2,308,3,0
2020-05-09,1189,54,352,3,0
2020-05-10,1210,21,360,3,0
2020-05-11,1227,17,352,3,0
2020-05-12,1256,29,367,3,0
2020-05-13,1268,12,365,3,0
2020-05-14,1284,16,376,3,0
2020-05-15,1309,25,370,4,1
2020-05-16,1331,22,377,4,0
