time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,2,0,2,0,0
2020-03-14,2,0,2,0,0
2020-03-15,2,0,2,0,0
2020-03-16,2,0,2,0,0
2020-03-17,3,1,3,0,0
2020-03-18,4,1,4,0,0
2020-03-19,5,1,4,0,0
2020-03-20,5,0,4,0,0
2020-03-21,5,0,4,0,0
2020-03-22,9,4,8,0,0
2020-03-23,9,0,8,0,0
2020-03-24,17,8,16,0,0
2020-03-25,19,2,18,0,0
2020-03-26,28,9,27,0,0
2020-03-27,33,5,32,0,0
2020-03-28,46,13,45,0,0
2020-03-29,50,4,49,0,0
2020-03-30,50,0,49,0,0
2020-03-31,55,5,54,0,0
2020-04-01,55,0,54,0,0
2020-04-02,60,5,59,0,0
2020-04-03,62,2,61,0,0
2020-04-04,64,2,63,0,0
2020-04-05,64,0,63,0,0
2020-04-06,71,7,69,0,0
2020-04-07,74,3,60,0,0
2020-04-08,77,3,63,0,0
2020-04-09,82,5,62,0,0
2020-04-10,86,4,59,0,0
2020-04-11,92,6,63,0,0
2020-04-12,92,0,60,0,0
2020-04-13,92,0,60,0,0
2020-04-14,92,0,60,0,0
2020-04-15,93,1,53,1,0
2020-04-16,95,2,54,2,1
2020-04-17,96,1,51,2,0
2020-04-18,96,0,50,2,0
2020-04-19,97,1,46,2,0
2020-04-20,97,0,46,2,0
2020-04-21,97,0,44,2,0
2020-04-22,100,3,30,2,0
2020-04-23,100,0,30,2,0
2020-04-24,100,0,29,2,0
2020-04-25,100,0,29,2,0
2020-04-26,100,0,25,2,0
2020-04-27,100,0,25,2,0
2020-04-28,100,0,25,2,0
2020-04-29,100,0,25,2,0
2020-04-30,100,0,19,2,0
2020-05-01,100,0,17,2,0
2020-05-02,100,0,17,2,0
2020-05-03,100,0,17,2,0
2020-05-04,100,0,17,2,0
2020-05-05,101,1,17,2,0
2020-05-06,101,0,10,2,0
2020-05-07,101,0,9,3,1
2020-05-08,101,0,9,3,0
2020-05-09,101,0,9,3,0
2020-05-10,101,0,9,3,0
2020-05-11,101,0,9,3,0
2020-05-12,101,0,9,3,0
2020-05-13,101,0,7,3,0
2020-05-14,101,0,5,3,0
2020-05-15,101,0,5,3,0
2020-05-16,101,0,5,3,0
2020-05-17,101,0,5,3,0
