time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,1,0,1,0,0
2020-03-14,1,0,1,0,0
2020-03-15,1,0,1,0,0
2020-03-16,1,0,1,0,0
2020-03-17,3,2,3,0,0
2020-03-18,3,0,3,0,0
2020-03-19,3,0,3,0,0
2020-03-20,4,1,3,1,0
2020-03-21,5,1,4,1,0
2020-03-22,5,0,4,1,0
2020-03-23,6,1,5,1,0
2020-03-24,6,0,5,1,0
2020-03-25,6,0,5,1,0
2020-03-26,7,1,6,1,0
2020-03-27,7,0,6,1,0
2020-03-28,7,0,6,1,0
2020-03-29,7,0,6,1,0
2020-03-30,7,0,6,1,0
2020-03-31,16,9,15,1,0
2020-04-01,18,2,17,1,0
2020-04-02,21,3,20,1,0
2020-04-03,21,0,19,1,0
2020-04-04,21,0,19,1,0
2020-04-05,21,0,19,1,0
2020-04-06,24,3,22,1,0
2020-04-07,30,6,28,1,0
2020-04-08,34,4,32,1,0
2020-04-09,44,10,42,1,0
2020-04-10,44,0,42,1,0
2020-04-11,46,2,44,1,0
2020-04-12,49,3,47,1,0
2020-04-13,57,8,55,1,0
2020-04-14,57,0,55,1,0
2020-04-15,80,23,75,1,0
2020-04-16,80,0,75,1,0
2020-04-17,108,28,100,1,0
2020-04-18,108,0,100,1,0
2020-04-19,109,1,101,1,0
2020-04-20,120,11,112,1,0
2020-04-21,156,36,139,1,0
2020-04-22,166,10,141,1,0
2020-04-23,167,1,141,2,1
2020-04-24,172,5,143,3,1
2020-04-25,176,4,143,3,0
2020-04-26,176,0,143,3,0
2020-04-27,211,35,165,3,0
2020-04-28,238,27,182,3,0
2020-04-29,276,38,206,3,0
2020-04-30,276,0,206,3,0
2020-05-01,276,0,206,3,0
2020-05-02,335,59,245,5,2
2020-05-03,335,0,245,5,0
2020-05-04,367,32,268,6,1
2020-05-05,397,30,298,6,0
2020-05-06,397,0,298,6,0
2020-05-07,504,107,386,8,2
2020-05-08,620,116,502,8,0
2020-05-09,661,41,543,8,0
2020-05-10,661,0,543,8,0
2020-05-11,802,141,666,9,1
2020-05-12,863,61,717,9,0
2020-05-13,1004,141,843,9,0
2020-05-14,1104,100,912,10,1
2020-05-15,1209,105,980,10,0
2020-05-16,1320,111,1065,11,1
2020-05-17,1320,0,1065,11,0
