time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,2,0,2,0,0
2020-03-19,2,0,2,0,0
2020-03-20,2,0,2,0,0
2020-03-21,2,0,2,0,0
2020-03-22,3,1,3,0,0
2020-03-23,3,0,3,0,0
2020-03-24,3,0,3,0,0
2020-03-25,12,9,12,0,0
2020-03-26,16,4,16,0,0
2020-03-27,22,6,22,0,0
2020-03-28,28,6,28,0,0
2020-03-29,29,1,29,0,0
2020-03-30,35,6,35,0,0
2020-03-31,36,1,36,0,0
2020-04-01,36,0,36,0,0
2020-04-02,39,3,38,1,0
2020-04-03,39,0,36,1,0
2020-04-04,39,0,36,1,0
2020-04-05,39,0,35,1,0
2020-04-06,39,0,33,1,0
2020-04-07,39,0,31,1,0
2020-04-08,39,0,31,1,0
2020-04-09,39,0,14,1,0
2020-04-10,40,1,13,2,1
2020-04-11,40,0,10,2,0
2020-04-12,43,3,11,2,0
2020-04-13,45,2,13,2,0
2020-04-14,45,0,13,2,0
2020-04-15,48,3,16,2,0
2020-04-16,48,0,16,2,0
2020-04-17,52,4,20,2,0
2020-04-18,57,5,22,2,0
2020-04-19,61,4,25,3,1
2020-04-20,65,4,27,3,0
2020-04-21,70,5,32,3,0
2020-04-22,74,4,36,3,0
2020-04-23,76,2,36,3,0
2020-04-24,84,8,44,3,0
2020-04-25,84,0,44,3,0
2020-04-26,88,4,43,3,0
2020-04-27,89,1,44,3,0
2020-04-28,95,6,50,3,0
2020-04-29,97,2,40,3,0
2020-04-30,106,9,48,3,0
2020-05-01,109,3,32,3,0
2020-05-02,119,10,41,3,0
2020-05-03,124,5,43,3,0
2020-05-04,137,13,56,3,0
2020-05-05,138,1,43,3,0
2020-05-06,146,8,41,4,1
2020-05-07,153,7,46,4,0
2020-05-08,167,14,52,4,0
2020-05-09,252,85,133,7,3
2020-05-10,267,15,143,7,0
2020-05-11,267,0,143,7,0
2020-05-12,441,174,317,7,0
2020-05-13,446,5,315,7,0
2020-05-14,654,208,523,7,0
2020-05-15,654,0,523,7,0
2020-05-16,679,25,489,7,0
2020-05-17,753,74,558,7,0
