time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,1,0,0,0,0
2020-02-16,1,0,0,0,0
2020-02-17,1,0,0,0,0
2020-02-18,1,0,0,0,0
2020-02-19,1,0,0,0,0
2020-02-20,1,0,0,0,0
2020-02-21,1,0,0,0,0
2020-02-22,1,0,0,0,0
2020-02-23,1,0,0,0,0
2020-02-24,1,0,0,0,0
2020-02-25,1,0,0,0,0
2020-02-26,1,0,0,0,0
2020-02-27,1,0,0,0,0
2020-02-28,1,0,0,0,0
2020-02-29,1,0,0,0,0
2020-03-01,1,0,0,0,0
2020-03-02,1,0,0,0,0
2020-03-03,1,0,0,0,0
2020-03-04,1,0,0,0,0
2020-03-05,1,0,0,0,0
2020-03-06,1,0,0,0,0
2020-03-07,1,0,0,0,0
2020-03-08,1,0,0,0,0
2020-03-09,1,0,0,0,0
2020-03-10,1,0,0,0,0
2020-03-11,1,0,0,0,0
2020-03-12,1,0,0,0,0
2020-03-13,1,0,0,0,0
2020-03-14,1,0,0,0,0
2020-03-15,1,0,0,0,0
2020-03-16,1,0,0,0,0
2020-03-17,1,0,0,0,0
2020-03-18,1,0,0,0,0
2020-03-19,1,0,0,0,0
2020-03-20,1,0,0,0,0
2020-03-21,1,0,0,0,0
2020-03-22,1,0,0,0,0
2020-03-23,2,1,1,0,0
2020-03-24,2,0,1,0,0
2020-03-25,3,1,2,0,0
2020-03-26,3,0,2,0,0
2020-03-27,4,1,3,0,0
2020-03-28,5,1,4,0,0
2020-03-29,5,0,4,0,0
2020-03-30,5,0,4,0,0
2020-03-31,5,0,4,0,0
2020-04-01,5,0,4,0,0
2020-04-02,6,1,5,0,0
2020-04-03,6,0,5,0,0
2020-04-04,9,3,8,0,0
2020-04-05,9,0,8,0,0
2020-04-06,9,0,8,0,0
2020-04-07,9,0,8,0,0
2020-04-08,9,0,8,0,0
2020-04-09,9,0,8,0,0
2020-04-10,9,0,8,0,0
2020-04-11,9,0,8,0,0
2020-04-12,12,3,11,0,0
2020-04-13,14,2,13,0,0
2020-04-14,16,2,15,0,0
2020-04-15,16,0,15,0,0
2020-04-16,16,0,14,0,0
2020-04-17,30,14,28,0,0
2020-04-18,31,1,28,0,0
2020-04-19,31,0,27,0,0
2020-04-20,31,0,27,0,0
2020-04-21,42,11,38,0,0
2020-04-22,45,3,38,0,0
2020-04-23,48,3,39,0,0
2020-04-24,49,1,39,0,0
2020-04-25,49,0,37,0,0
2020-04-26,52,3,36,0,0
2020-04-27,52,0,36,0,0
2020-04-28,54,2,38,0,0
2020-04-29,57,3,41,0,0
2020-04-30,57,0,41,0,0
2020-05-01,59,2,43,0,0
2020-05-02,59,0,43,0,0
2020-05-03,75,16,59,0,0
2020-05-04,75,0,59,0,0
2020-05-05,82,7,66,0,0
2020-05-06,99,17,77,0,0
2020-05-07,101,2,79,0,0
2020-05-08,102,1,71,0,0
2020-05-09,109,7,78,0,0
